stage_history_id,opp_id,stage,entered_at,exited_at,days_in_stage
69,21,Proposal,2023-11-26T00:00:00,2023-11-27T00:00:00,1
70,21,Negotiation,2023-11-27T00:00:00,2023-11-30T00:00:00,3
71,21,Closed Won,2023-11-30T00:00:00,2023-12-02T00:00:00,2
72,21,Closed Lost,2023-12-02T00:00:00,2023-12-02T00:00:00,0
73,22,Prospecting,2024-08-14T00:00:00,,
74,23,Prospecting,2024-05-13T00:00:00,2024-05-16T00:00:00,3
75,23,Discovery,2024-05-16T00:00:00,2024-05-23T00:00:00,7
76,23,Qualification,2024-05-23T00:00:00,2024-05-26T00:00:00,3
77,23,Proposal,2024-05-26T00:00:00,2024-05-28T00:00:00,2
78,23,Negotiation,2024-05-28T00:00:00,2024-06-01T00:00:00,4
79,23,Closed Won,2024-06-01T00:00:00,2024-06-03T00:00:00,2
80,23,Closed Lost,2024-06-03T00:00:00,2024-06-03T00:00:00,0
81,24,Prospecting,2023-01-18T00:00:00,2023-01-30T00:00:00,12
82,24,Discovery,2023-01-30T00:00:00,,
83,25,Prospecting,2024-11-11T00:00:00,2024-11-22T00:00:00,11
84,25,Discovery,2024-11-22T00:00:00,2024-12-13T00:00:00,21
85,25,Qualification,2024-12-13T00:00:00,2024-12-28T00:00:00,15
86,25,Proposal,2024-12-28T00:00:00,2025-01-08T00:00:00,11
87,25,Negotiation,2025-01-08T00:00:00,,
88,26,Prospecting,2023-04-03T00:00:00,2023-04-12T00:00:00,9
89,26,Discovery,2023-04-12T00:00:00,2023-04-30T00:00:00,18
90,26,Qualification,2023-04-30T00:00:00,,
91,27,Prospecting,2024-04-18T00:00:00,2024-05-01T00:00:00,13
92,27,Discovery,2024-05-01T00:00:00,,
93,28,Prospecting,2024-12-28T00:00:00,2025-01-16T00:00:00,19
94,28,Discovery,2025-01-16T00:00:00,,
95,29,Prospecting,2023-03-14T00:00:00,,
96,30,Prospecting,2024-12-13T00:00:00,2024-12-29T00:00:00,16
97,30,Discovery,2024-12-29T00:00:00,,
98,31,Prospecting,2024-12-08T00:00:00,2024-12-15T00:00:00,7
99,31,Discovery,2024-12-15T00:00:00,2025-01-03T00:00:00,19
100,31,Qualification,2025-01-03T00:00:00,,
101,32,Prospecting,2023-01-27T00:00:00,2023-02-06T00:00:00,10
102,32,Discovery,2023-02-06T00:00:00,2023-03-01T00:00:00,23
103,32,Qualification,2023-03-01T00:00:00,,
104,33,Prospecting,2022-06-07T00:00:00,2022-06-20T00:00:00,13
105,33,Discovery,2022-06-20T00:00:00,2022-07-07T00:00:00,17
106,33,Qualification,2022-07-07T00:00:00,2022-07-25T00:00:00,18
107,33,Proposal,2022-07-25T00:00:00,2022-08-03T00:00:00,9
108,33,Negotiation,2022-08-03T00:00:00,2022-08-11T00:00:00,8
109,33,Closed Won,2022-08-11T00:00:00,2022-08-31T00:00:00,20
110,33,Closed Lost,2022-08-31T00:00:00,2022-08-31T00:00:00,0
111,34,Prospecting,2024-03-10T00:00:00,,
112,35,Prospecting,2024-09-13T00:00:00,2024-10-05T00:00:00,22
113,35,Discovery,2024-10-05T00:00:00,2024-10-16T00:00:00,11
114,35,Qualification,2024-10-16T00:00:00,,
115,36,Prospecting,2024-02-14T00:00:00,2024-02-21T00:00:00,7
116,36,Discovery,2024-02-21T00:00:00,2024-03-07T00:00:00,15
117,36,Qualification,2024-03-07T00:00:00,,
118,37,Prospecting,2021-02-22T00:00:00,2021-03-04T00:00:00,10
119,37,Discovery,2021-03-04T00:00:00,2021-04-02T00:00:00,29
120,37,Qualification,2021-04-02T00:00:00,2021-04-21T00:00:00,19
121,37,Proposal,2021-04-21T00:00:00,2021-05-08T00:00:00,17
122,37,Negotiation,2021-05-08T00:00:00,2021-06-07T00:00:00,30
123,37,Closed Won,2021-06-07T00:00:00,2021-06-20T00:00:00,13
124,37,Closed Lost,2021-06-20T00:00:00,2021-06-20T00:00:00,0
125,38,Prospecting,2024-12-15T00:00:00,2024-12-18T00:00:00,3
126,38,Discovery,2024-12-18T00:00:00,2024-12-20T00:00:00,2
127,38,Qualification,2024-12-20T00:00:00,2024-12-22T00:00:00,2
128,38,Proposal,2024-12-22T00:00:00,2024-12-24T00:00:00,2
129,38,Negotiation,2024-12-24T00:00:00,2024-12-26T00:00:00,2
130,38,Closed Won,2024-12-26T00:00:00,2024-12-29T00:00:00,3
131,38,Closed Lost,2024-12-29T00:00:00,2024-12-29T00:00:00,0
132,39,Prospecting,2024-12-05T00:00:00,2024-12-15T00:00:00,10
133,39,Discovery,2024-12-15T00:00:00,2024-12-26T00:00:00,11
134,39,Qualification,2024-12-26T00:00:00,2025-01-14T00:00:00,19
135,39,Proposal,2025-01-14T00:00:00,,
136,40,Prospecting,2023-12-08T00:00:00,2023-12-18T00:00:00,10
137,40,Discovery,2023-12-18T00:00:00,2023-12-31T00:00:00,13
138,40,Qualification,2023-12-31T00:00:00,,
139,41,Prospecting,2024-11-11T00:00:00,2024-11-27T00:00:00,16
140,41,Discovery,2024-11-27T00:00:00,2024-12-09T00:00:00,12
141,41,Qualification,2024-12-09T00:00:00,,
142,42,Prospecting,2023-06-13T00:00:00,2023-08-03T00:00:00,51
143,42,Discovery,2023-08-03T00:00:00,2023-08-31T00:00:00,28
144,42,Qualification,2023-08-31T00:00:00,2023-10-20T00:00:00,50
145,42,Proposal,2023-10-20T00:00:00,2023-11-04T00:00:00,15
146,42,Negotiation,2023-11-04T00:00:00,2023-11-23T00:00:00,19
147,42,Closed Won,2023-11-23T00:00:00,2023-12-15T00:00:00,22
148,42,Closed Lost,2023-12-15T00:00:00,2023-12-15T00:00:00,0
149,43,Prospecting,2023-09-18T00:00:00,2023-10-02T00:00:00,14
150,43,Discovery,2023-10-02T00:00:00,2023-10-20T00:00:00,18
151,43,Qualification,2023-10-20T00:00:00,2023-11-04T00:00:00,15
152,43,Proposal,2023-11-04T00:00:00,,
153,1,Prospecting,2024-03-14T00:00:00,2024-04-05T00:00:00,22
154,1,Discovery,2024-04-05T00:00:00,2024-04-28T00:00:00,23
155,1,Qualification,2024-04-28T00:00:00,2024-06-11T00:00:00,44
156,1,Proposal,2024-06-11T00:00:00,2024-07-19T00:00:00,38
157,1,Negotiation,2024-07-19T00:00:00,2024-08-06T00:00:00,18
158,1,Closed Won,2024-08-06T00:00:00,2024-08-30T00:00:00,24
159,1,Closed Lost,2024-08-30T00:00:00,2024-08-30T00:00:00,0
160,45,Prospecting,2023-09-14T00:00:00,2023-09-22T00:00:00,8
161,45,Discovery,2023-09-22T00:00:00,,
162,46,Prospecting,2024-10-11T00:00:00,2024-10-25T00:00:00,14
163,46,Discovery,2024-10-25T00:00:00,2024-11-13T00:00:00,19
164,46,Qualification,2024-11-13T00:00:00,2024-11-21T00:00:00,8
165,46,Proposal,2024-11-21T00:00:00,2024-12-04T00:00:00,13
166,46,Negotiation,2024-12-04T00:00:00,,
167,47,Prospecting,2024-02-19T00:00:00,,
168,48,Prospecting,2023-10-26T00:00:00,2023-10-29T00:00:00,3
169,48,Discovery,2023-10-29T00:00:00,2023-11-08T00:00:00,10
170,48,Qualification,2023-11-08T00:00:00,2023-11-14T00:00:00,6
171,48,Proposal,2023-11-14T00:00:00,2023-11-16T00:00:00,2
172,48,Negotiation,2023-11-16T00:00:00,2023-11-28T00:00:00,12
173,48,Closed Won,2023-11-28T00:00:00,2023-12-03T00:00:00,5
174,48,Closed Lost,2023-12-03T00:00:00,2023-12-03T00:00:00,0
175,49,Prospecting,2023-06-18T00:00:00,,
176,50,Prospecting,2024-10-12T00:00:00,,
177,51,Prospecting,2022-02-16T00:00:00,2022-02-20T00:00:00,4
178,51,Discovery,2022-02-20T00:00:00,2022-02-22T00:00:00,2
179,51,Qualification,2022-02-22T00:00:00,2022-02-25T00:00:00,3
180,51,Proposal,2022-02-25T00:00:00,2022-03-01T00:00:00,4
181,51,Negotiation,2022-03-01T00:00:00,2022-03-09T00:00:00,8
182,51,Closed Won,2022-03-09T00:00:00,2022-03-12T00:00:00,3
183,51,Closed Lost,2022-03-12T00:00:00,2022-03-12T00:00:00,0
184,52,Prospecting,2024-09-24T00:00:00,2024-10-05T00:00:00,11
185,52,Discovery,2024-10-05T00:00:00,2024-10-24T00:00:00,19
186,52,Qualification,2024-10-24T00:00:00,2024-11-13T00:00:00,20
187,52,Proposal,2024-11-13T00:00:00,2024-11-21T00:00:00,8
188,52,Negotiation,2024-11-21T00:00:00,2024-12-07T00:00:00,16
189,52,Closed Won,2024-12-07T00:00:00,2024-12-10T00:00:00,3
190,52,Closed Lost,2024-12-10T00:00:00,2024-12-10T00:00:00,0
191,53,Prospecting,2023-09-07T00:00:00,,
192,54,Prospecting,2024-02-26T00:00:00,2024-03-09T00:00:00,12
193,54,Discovery,2024-03-09T00:00:00,2024-03-19T00:00:00,10
194,54,Qualification,2024-03-19T00:00:00,2024-04-20T00:00:00,32
195,54,Proposal,2024-04-20T00:00:00,2024-04-29T00:00:00,9
196,54,Negotiation,2024-04-29T00:00:00,2024-05-28T00:00:00,29
197,54,Closed Won,2024-05-28T00:00:00,2024-06-14T00:00:00,17
198,54,Closed Lost,2024-06-14T00:00:00,2024-06-14T00:00:00,0
199,55,Prospecting,2024-01-24T00:00:00,2024-01-29T00:00:00,5
200,55,Discovery,2024-01-29T00:00:00,,
201,56,Prospecting,2021-09-03T00:00:00,2021-09-12T00:00:00,9
202,56,Discovery,2021-09-12T00:00:00,2021-10-10T00:00:00,28
203,56,Qualification,2021-10-10T00:00:00,2021-10-17T00:00:00,7
204,56,Proposal,2021-10-17T00:00:00,2021-10-27T00:00:00,10
205,56,Negotiation,2021-10-27T00:00:00,2021-12-07T00:00:00,41
206,56,Closed Won,2021-12-07T00:00:00,2021-12-13T00:00:00,6
207,56,Closed Lost,2021-12-13T00:00:00,2021-12-13T00:00:00,0
208,57,Prospecting,2022-01-11T00:00:00,,
209,58,Prospecting,2024-08-17T00:00:00,2024-09-01T00:00:00,15
210,58,Discovery,2024-09-01T00:00:00,2024-09-18T00:00:00,17
211,58,Qualification,2024-09-18T00:00:00,2024-10-01T00:00:00,13
212,58,Proposal,2024-10-01T00:00:00,,
213,59,Prospecting,2024-03-08T00:00:00,2024-04-08T00:00:00,31
214,59,Discovery,2024-04-08T00:00:00,2024-06-11T00:00:00,64
215,59,Qualification,2024-06-11T00:00:00,2024-07-05T00:00:00,24
216,59,Proposal,2024-07-05T00:00:00,2024-08-04T00:00:00,30
217,59,Negotiation,2024-08-04T00:00:00,2024-09-12T00:00:00,39
218,59,Closed Won,2024-09-12T00:00:00,2024-09-12T00:00:00,0
219,60,Prospecting,2024-06-15T00:00:00,,
220,61,Prospecting,2024-03-28T00:00:00,2024-04-11T00:00:00,14
221,61,Discovery,2024-04-11T00:00:00,,
222,62,Prospecting,2023-11-30T00:00:00,2023-12-12T00:00:00,12
223,62,Discovery,2023-12-12T00:00:00,2023-12-30T00:00:00,18
224,62,Qualification,2023-12-30T00:00:00,2024-01-14T00:00:00,15
225,62,Proposal,2024-01-14T00:00:00,2024-01-23T00:00:00,9
226,62,Negotiation,2024-01-23T00:00:00,,
227,63,Prospecting,2023-06-25T00:00:00,2023-07-04T00:00:00,9
228,63,Discovery,2023-07-04T00:00:00,,
229,64,Prospecting,2023-05-01T00:00:00,2023-05-12T00:00:00,11
230,64,Discovery,2023-05-12T00:00:00,2023-05-26T00:00:00,14
231,64,Qualification,2023-05-26T00:00:00,2023-06-07T00:00:00,12
232,64,Proposal,2023-06-07T00:00:00,,
233,65,Prospecting,2023-12-08T00:00:00,2023-12-23T00:00:00,15
234,65,Discovery,2023-12-23T00:00:00,2024-01-10T00:00:00,18
235,65,Qualification,2024-01-10T00:00:00,2024-01-25T00:00:00,15
236,65,Proposal,2024-01-25T00:00:00,,
237,66,Prospecting,2023-11-14T00:00:00,2023-11-26T00:00:00,12
238,66,Discovery,2023-11-26T00:00:00,2023-12-15T00:00:00,19
239,66,Qualification,2023-12-15T00:00:00,,
240,67,Prospecting,2022-08-01T00:00:00,,
241,68,Prospecting,2023-03-08T00:00:00,2023-03-24T00:00:00,16
242,68,Discovery,2023-03-24T00:00:00,,
243,69,Prospecting,2023-06-10T00:00:00,2023-06-21T00:00:00,11
244,69,Discovery,2023-06-21T00:00:00,,
245,70,Prospecting,2024-01-11T00:00:00,2024-01-23T00:00:00,12
246,70,Discovery,2024-01-23T00:00:00,2024-02-04T00:00:00,12
247,70,Qualification,2024-02-04T00:00:00,,
248,71,Prospecting,2023-06-18T00:00:00,2023-07-02T00:00:00,14
249,71,Discovery,2023-07-02T00:00:00,2023-07-31T00:00:00,29
250,71,Qualification,2023-07-31T00:00:00,2023-08-15T00:00:00,15
251,71,Proposal,2023-08-15T00:00:00,2023-09-01T00:00:00,17
252,71,Negotiation,2023-09-01T00:00:00,2023-09-27T00:00:00,26
253,71,Closed Won,2023-09-27T00:00:00,2023-10-20T00:00:00,23
254,71,Closed Lost,2023-10-20T00:00:00,2023-10-20T00:00:00,0
255,72,Prospecting,2024-06-14T00:00:00,,
256,73,Prospecting,2023-06-07T00:00:00,2023-06-24T00:00:00,17
257,73,Discovery,2023-06-24T00:00:00,2023-07-11T00:00:00,17
258,73,Qualification,2023-07-11T00:00:00,,
259,74,Prospecting,2024-05-27T00:00:00,2024-06-18T00:00:00,22
260,74,Discovery,2024-06-18T00:00:00,2024-07-13T00:00:00,25
261,74,Qualification,2024-07-13T00:00:00,2024-08-08T00:00:00,26
262,74,Proposal,2024-08-08T00:00:00,2024-08-18T00:00:00,10
263,74,Negotiation,2024-08-18T00:00:00,2024-09-06T00:00:00,19
264,74,Closed Won,2024-09-06T00:00:00,2024-09-22T00:00:00,16
265,74,Closed Lost,2024-09-22T00:00:00,2024-09-22T00:00:00,0
266,75,Prospecting,2024-11-07T00:00:00,,
267,76,Prospecting,2024-07-22T00:00:00,2024-08-02T00:00:00,11
268,76,Discovery,2024-08-02T00:00:00,2024-08-25T00:00:00,23
269,76,Qualification,2024-08-25T00:00:00,2024-09-05T00:00:00,11
270,76,Proposal,2024-09-05T00:00:00,,
271,77,Prospecting,2023-10-07T00:00:00,2023-10-16T00:00:00,9
272,77,Discovery,2023-10-16T00:00:00,2023-11-06T00:00:00,21
273,77,Qualification,2023-11-06T00:00:00,,
274,78,Prospecting,2024-07-20T00:00:00,2024-07-31T00:00:00,11
275,78,Discovery,2024-07-31T00:00:00,2024-08-13T00:00:00,13
276,78,Qualification,2024-08-13T00:00:00,2024-08-28T00:00:00,15
277,78,Proposal,2024-08-28T00:00:00,2024-09-01T00:00:00,4
278,78,Negotiation,2024-09-01T00:00:00,2024-09-09T00:00:00,8
279,78,Closed Won,2024-09-09T00:00:00,2024-09-09T00:00:00,0
280,79,Prospecting,2022-09-16T00:00:00,2022-09-26T00:00:00,10
281,79,Discovery,2022-09-26T00:00:00,,
282,80,Prospecting,2024-12-08T00:00:00,2024-12-19T00:00:00,11
283,80,Discovery,2024-12-19T00:00:00,,
284,81,Prospecting,2024-01-18T00:00:00,2024-01-22T00:00:00,4
285,81,Discovery,2024-01-22T00:00:00,2024-02-09T00:00:00,18
286,81,Qualification,2024-02-09T00:00:00,2024-02-27T00:00:00,18
287,81,Proposal,2024-02-27T00:00:00,,
288,82,Prospecting,2024-10-14T00:00:00,2024-10-29T00:00:00,15
289,82,Discovery,2024-10-29T00:00:00,2024-11-11T00:00:00,13
290,82,Qualification,2024-11-11T00:00:00,2024-11-23T00:00:00,12
291,82,Proposal,2024-11-23T00:00:00,2024-12-04T00:00:00,11
292,82,Negotiation,2024-12-04T00:00:00,,
293,83,Prospecting,2024-06-02T00:00:00,2024-06-07T00:00:00,5
294,83,Discovery,2024-06-07T00:00:00,2024-06-27T00:00:00,20
295,83,Qualification,2024-06-27T00:00:00,2024-07-14T00:00:00,17
296,83,Proposal,2024-07-14T00:00:00,2024-07-24T00:00:00,10
297,83,Negotiation,2024-07-24T00:00:00,2024-07-30T00:00:00,6
298,83,Closed Won,2024-07-30T00:00:00,2024-07-30T00:00:00,0
299,84,Prospecting,2024-07-01T00:00:00,2024-07-06T00:00:00,5
300,84,Discovery,2024-07-06T00:00:00,2024-07-23T00:00:00,17
301,84,Qualification,2024-07-23T00:00:00,2024-08-05T00:00:00,13
302,84,Proposal,2024-08-05T00:00:00,2024-08-18T00:00:00,13
303,84,Negotiation,2024-08-18T00:00:00,2024-09-05T00:00:00,18
304,84,Closed Won,2024-09-05T00:00:00,2024-09-20T00:00:00,15
305,84,Closed Lost,2024-09-20T00:00:00,2024-09-20T00:00:00,0
306,85,Prospecting,2023-05-17T00:00:00,2023-05-23T00:00:00,6
307,85,Discovery,2023-05-23T00:00:00,2023-06-02T00:00:00,10
308,85,Qualification,2023-06-02T00:00:00,2023-06-19T00:00:00,17
309,85,Proposal,2023-06-19T00:00:00,2023-06-25T00:00:00,6
310,85,Negotiation,2023-06-25T00:00:00,2023-07-02T00:00:00,7
311,85,Closed Won,2023-07-02T00:00:00,2023-07-02T00:00:00,0
312,86,Prospecting,2024-05-04T00:00:00,2024-05-17T00:00:00,13
313,86,Discovery,2024-05-17T00:00:00,2024-06-05T00:00:00,19
314,86,Qualification,2024-06-05T00:00:00,2024-06-21T00:00:00,16
315,86,Proposal,2024-06-21T00:00:00,,
316,87,Prospecting,2024-08-12T00:00:00,2024-09-03T00:00:00,22
317,87,Discovery,2024-09-03T00:00:00,2024-09-19T00:00:00,16
318,87,Qualification,2024-09-19T00:00:00,2024-09-29T00:00:00,10
319,87,Proposal,2024-09-29T00:00:00,,
320,88,Prospecting,2024-05-21T00:00:00,,
321,89,Prospecting,2020-08-08T00:00:00,2020-08-16T00:00:00,8
322,89,Discovery,2020-08-16T00:00:00,2020-09-05T00:00:00,20
323,89,Qualification,2020-09-05T00:00:00,,
324,90,Prospecting,2024-05-06T00:00:00,2024-05-26T00:00:00,20
325,90,Discovery,2024-05-26T00:00:00,2024-06-20T00:00:00,25
326,90,Qualification,2024-06-20T00:00:00,2024-07-10T00:00:00,20
327,90,Proposal,2024-07-10T00:00:00,2024-07-28T00:00:00,18
328,90,Negotiation,2024-07-28T00:00:00,2024-09-25T00:00:00,59
329,90,Closed Won,2024-09-25T00:00:00,2024-09-25T00:00:00,0
330,3,Prospecting,2024-04-09T00:00:00,,
331,92,Prospecting,2024-12-06T00:00:00,2024-12-23T00:00:00,17
332,92,Discovery,2024-12-23T00:00:00,,
333,93,Prospecting,2024-06-04T00:00:00,2024-06-22T00:00:00,18
334,93,Discovery,2024-06-22T00:00:00,,
335,94,Prospecting,2024-05-18T00:00:00,2024-06-01T00:00:00,14
336,94,Discovery,2024-06-01T00:00:00,2024-06-11T00:00:00,10
337,94,Qualification,2024-06-11T00:00:00,,
338,95,Prospecting,2024-12-31T00:00:00,2025-01-03T00:00:00,3
339,95,Discovery,2025-01-03T00:00:00,2025-01-24T00:00:00,21
340,95,Qualification,2025-01-24T00:00:00,2025-02-09T00:00:00,16
341,95,Proposal,2025-02-09T00:00:00,2025-02-18T00:00:00,9
342,95,Negotiation,2025-02-18T00:00:00,2025-03-10T00:00:00,20
343,95,Closed Won,2025-03-10T00:00:00,2025-03-27T00:00:00,17
344,95,Closed Lost,2025-03-27T00:00:00,2025-03-27T00:00:00,0
345,96,Prospecting,2024-10-04T00:00:00,,
346,97,Prospecting,2024-11-25T00:00:00,2024-12-01T00:00:00,6
347,97,Discovery,2024-12-01T00:00:00,2024-12-05T00:00:00,4
348,97,Qualification,2024-12-05T00:00:00,2024-12-13T00:00:00,8
349,97,Proposal,2024-12-13T00:00:00,2024-12-14T00:00:00,1
350,97,Negotiation,2024-12-14T00:00:00,2024-12-24T00:00:00,10
351,97,Closed Won,2024-12-24T00:00:00,2024-12-28T00:00:00,4
352,97,Closed Lost,2024-12-28T00:00:00,2024-12-28T00:00:00,0
353,98,Prospecting,2021-05-27T00:00:00,2021-07-13T00:00:00,47
354,98,Discovery,2021-07-13T00:00:00,2021-08-24T00:00:00,42
355,98,Qualification,2021-08-24T00:00:00,2021-09-24T00:00:00,31
356,98,Proposal,2021-09-24T00:00:00,2021-10-16T00:00:00,22
357,98,Negotiation,2021-10-16T00:00:00,2021-11-14T00:00:00,29
358,98,Closed Won,2021-11-14T00:00:00,2021-12-25T00:00:00,41
359,98,Closed Lost,2021-12-25T00:00:00,2021-12-25T00:00:00,0
360,99,Prospecting,2024-10-22T00:00:00,,
361,100,Prospecting,2022-01-19T00:00:00,2022-02-05T00:00:00,17
362,100,Discovery,2022-02-05T00:00:00,,
363,101,Prospecting,2023-11-09T00:00:00,2023-11-24T00:00:00,15
364,101,Discovery,2023-11-24T00:00:00,2023-12-06T00:00:00,12
365,101,Qualification,2023-12-06T00:00:00,2024-01-04T00:00:00,29
366,101,Proposal,2024-01-04T00:00:00,2024-01-24T00:00:00,20
367,101,Negotiation,2024-01-24T00:00:00,2024-02-02T00:00:00,9
368,101,Closed Won,2024-02-02T00:00:00,2024-02-02T00:00:00,0
369,102,Prospecting,2024-12-20T00:00:00,2025-01-07T00:00:00,18
370,102,Discovery,2025-01-07T00:00:00,2025-01-20T00:00:00,13
371,102,Qualification,2025-01-20T00:00:00,,
372,103,Prospecting,2023-01-28T00:00:00,2023-02-11T00:00:00,14
373,103,Discovery,2023-02-11T00:00:00,2023-02-27T00:00:00,16
374,103,Qualification,2023-02-27T00:00:00,2023-03-15T00:00:00,16
375,103,Proposal,2023-03-15T00:00:00,,
376,104,Prospecting,2022-12-18T00:00:00,2022-12-24T00:00:00,6
377,104,Discovery,2022-12-24T00:00:00,2023-01-16T00:00:00,23
378,104,Qualification,2023-01-16T00:00:00,,
379,105,Prospecting,2024-04-06T00:00:00,2024-04-07T00:00:00,1
380,105,Discovery,2024-04-07T00:00:00,2024-04-10T00:00:00,3
381,105,Qualification,2024-04-10T00:00:00,2024-04-11T00:00:00,1
382,105,Proposal,2024-04-11T00:00:00,2024-04-12T00:00:00,1
383,105,Negotiation,2024-04-12T00:00:00,2024-04-15T00:00:00,3
384,105,Closed Won,2024-04-15T00:00:00,2024-04-17T00:00:00,2
385,105,Closed Lost,2024-04-17T00:00:00,2024-04-17T00:00:00,0
386,106,Prospecting,2024-05-27T00:00:00,2024-06-17T00:00:00,21
387,106,Discovery,2024-06-17T00:00:00,2024-06-26T00:00:00,9
388,106,Qualification,2024-06-26T00:00:00,,
389,107,Prospecting,2023-11-24T00:00:00,2023-11-28T00:00:00,4
390,107,Discovery,2023-11-28T00:00:00,2023-12-04T00:00:00,6
391,107,Qualification,2023-12-04T00:00:00,2023-12-09T00:00:00,5
392,107,Proposal,2023-12-09T00:00:00,2023-12-12T00:00:00,3
393,107,Negotiation,2023-12-12T00:00:00,2023-12-18T00:00:00,6
394,107,Closed Won,2023-12-18T00:00:00,2023-12-20T00:00:00,2
395,107,Closed Lost,2023-12-20T00:00:00,2023-12-20T00:00:00,0
396,108,Prospecting,2024-03-21T00:00:00,2024-04-03T00:00:00,13
397,108,Discovery,2024-04-03T00:00:00,2024-04-16T00:00:00,13
398,108,Qualification,2024-04-16T00:00:00,,
