contact_role_id,contact_id,opp_id,role,is_primary
352,1382,222,Executive Sponsor,True
353,494,223,Economic Buyer,True
354,1237,223,Technical Evaluator,False
355,2020,224,Coach,False
356,695,225,Champion,True
357,2584,226,Technical Evaluator,False
358,1856,226,Champion,True
359,583,226,Legal Reviewer,False
360,2237,227,Champion,True
361,1879,229,Executive Sponsor,True
362,2941,229,End User,False
363,2348,230,Economic Buyer,True
364,2739,230,Executive Sponsor,True
365,2195,231,Technical Evaluator,False
366,2727,231,End User,False
367,999,232,Blocker,False
368,2025,232,Coach,False
369,2993,233,End User,False
370,1960,233,Champion,True
371,1887,234,End User,False
372,1992,235,Champion,True
373,1341,235,Technical Evaluator,False
374,2881,235,End User,False
375,2576,236,Champion,True
376,2652,237,Champion,True
377,2159,237,Technical Evaluator,False
378,445,238,Legal Reviewer,False
379,1942,239,End User,False
380,261,240,Blocker,False
381,2954,240,Economic Buyer,True
382,1957,241,Champion,True
383,2756,242,Executive Sponsor,True
384,905,243,Technical Evaluator,False
385,1032,244,Executive Sponsor,True
386,683,244,Legal Reviewer,False
387,2796,245,End User,False
388,1876,246,Champion,True
389,1433,246,Executive Sponsor,True
390,2722,247,Legal Reviewer,False
391,671,248,Legal Reviewer,False
392,1008,248,Champion,True
393,167,248,Technical Evaluator,False
394,2870,248,Blocker,False
395,1646,249,Technical Evaluator,False
396,1236,249,Champion,True
397,1874,249,Blocker,False
398,2203,250,End User,False
399,1259,251,Legal Reviewer,False
400,425,252,Champion,True
401,2768,253,Economic Buyer,True
402,618,253,Champion,True
403,404,253,Technical Evaluator,False
404,2677,254,End User,False
405,555,255,End User,False
406,2259,256,End User,False
407,1876,257,Champion,True
408,1881,257,Technical Evaluator,False
409,518,258,Champion,True
410,1577,258,Executive Sponsor,True
411,885,258,End User,False
412,1727,259,Champion,True
413,2961,259,Technical Evaluator,False
414,460,260,Economic Buyer,True
415,2173,260,Champion,True
416,1282,261,End User,False
417,2493,261,Economic Buyer,True
418,2351,262,Coach,False
419,2763,263,Economic Buyer,True
420,2904,264,End User,False
421,472,264,Champion,True
422,2996,264,Technical Evaluator,False
423,1372,265,Legal Reviewer,False
424,238,266,Economic Buyer,True
425,911,266,Technical Evaluator,False
426,1389,267,Technical Evaluator,False
427,2810,5,Legal Reviewer,False
428,1613,5,Technical Evaluator,False
429,884,269,End User,False
430,2381,270,End User,False
431,350,270,Champion,True
432,2269,270,Technical Evaluator,False
433,2963,272,End User,False
434,1862,272,Technical Evaluator,False
435,2911,273,Technical Evaluator,False
436,2488,273,Champion,True
437,1798,274,End User,False
438,2722,275,Economic Buyer,True
439,386,275,Champion,True
440,1762,276,Executive Sponsor,True
441,134,278,Economic Buyer,True
442,541,278,Blocker,False
443,1246,278,Technical Evaluator,False
444,1166,279,Technical Evaluator,False
445,1254,280,Economic Buyer,True
446,1665,164,Executive Sponsor,True
447,683,282,Technical Evaluator,False
448,2986,283,Technical Evaluator,False
449,777,284,Executive Sponsor,True
450,2354,285,Champion,True
451,556,285,Economic Buyer,True
452,1605,285,End User,False
453,1907,285,Legal Reviewer,False
454,2955,286,Coach,False
455,260,286,Economic Buyer,True
456,1825,286,End User,False
457,1329,286,Technical Evaluator,False
458,2184,287,Executive Sponsor,True
459,474,288,Champion,True
460,2375,288,Economic Buyer,True
461,1843,289,Economic Buyer,True
462,1855,290,Executive Sponsor,True
463,793,290,Coach,False
464,2689,290,Champion,True
465,365,291,Coach,False
466,371,291,Champion,True
467,364,292,Champion,True
468,2996,294,Champion,True
469,1491,295,End User,False
470,1587,295,Economic Buyer,True
471,1277,296,Blocker,False
472,604,297,Coach,False
473,2775,298,Champion,True
474,2741,299,Technical Evaluator,False
475,1174,300,Executive Sponsor,True
476,2388,301,End User,False
477,2201,301,Executive Sponsor,True
478,1760,301,Technical Evaluator,False
479,1082,301,Champion,True
480,1914,302,End User,False
481,717,303,Economic Buyer,True
482,2794,304,End User,False
483,810,304,Technical Evaluator,False
484,2385,305,Legal Reviewer,False
485,1804,305,Champion,True
486,1847,305,Technical Evaluator,False
487,1234,305,Executive Sponsor,True
488,2830,305,End User,False
489,2956,306,Champion,True
490,1207,307,Technical Evaluator,False
491,2359,308,End User,False
492,1634,309,Technical Evaluator,False
493,1805,309,End User,False
494,2122,310,Champion,True
495,2729,311,Champion,True
496,403,312,Technical Evaluator,False
497,2615,312,Executive Sponsor,True
498,1373,313,Coach,False
499,2826,313,Blocker,False
500,447,314,Technical Evaluator,False
501,1077,314,Legal Reviewer,False
502,1427,315,Economic Buyer,True
503,284,316,Technical Evaluator,False
504,1377,317,End User,False
505,2995,318,End User,False
506,1589,318,Technical Evaluator,False
507,379,319,Technical Evaluator,False
508,1838,319,Economic Buyer,True
509,1227,320,Economic Buyer,True
510,1472,321,Champion,True
511,40,321,Economic Buyer,True
512,399,322,Economic Buyer,True
513,2837,322,Coach,False
514,419,323,Technical Evaluator,False
515,1290,324,Technical Evaluator,False
516,395,325,Executive Sponsor,True
517,197,325,Technical Evaluator,False
518,2722,326,Coach,False
519,386,326,End User,False
520,2341,327,Economic Buyer,True
521,289,328,Executive Sponsor,True
522,2808,329,Economic Buyer,True
523,1305,330,Technical Evaluator,False
524,1343,330,Champion,True
525,1185,331,Executive Sponsor,True
526,702,332,Champion,True
527,1242,333,Economic Buyer,True
528,358,335,Technical Evaluator,False
529,1447,335,Executive Sponsor,True
530,390,336,Champion,True
531,2294,336,Executive Sponsor,True
532,1731,336,Blocker,False
533,2168,337,Economic Buyer,True
534,2909,338,Technical Evaluator,False
535,1411,339,End User,False
536,749,339,Technical Evaluator,False
537,216,340,Technical Evaluator,False
538,2349,341,Legal Reviewer,False
539,353,341,Champion,True
540,686,342,End User,False
541,397,342,Technical Evaluator,False
542,838,343,Economic Buyer,True
543,2995,344,Champion,True
544,2664,345,Coach,False
545,1686,346,Champion,True
546,985,346,Blocker,False
547,2268,346,End User,False
548,1113,347,Economic Buyer,True
549,2110,348,Technical Evaluator,False
550,1057,349,Champion,True
551,430,349,End User,False
552,185,349,Executive Sponsor,True
553,823,349,Legal Reviewer,False
554,383,350,Champion,True
555,816,350,Economic Buyer,True
556,28,351,Technical Evaluator,False
557,475,352,End User,False
558,281,352,Blocker,False
559,1622,353,End User,False
560,245,354,Technical Evaluator,False
561,653,355,Technical Evaluator,False
562,838,356,Champion,True
563,292,357,Technical Evaluator,False
564,1027,358,Champion,True
565,1321,358,Blocker,False
566,2866,359,Technical Evaluator,False
567,1458,360,Economic Buyer,True
568,1505,362,Champion,True
569,2243,362,Coach,False
570,2295,363,Technical Evaluator,False
571,1594,363,Champion,True
572,2803,364,Economic Buyer,True
573,2888,364,Technical Evaluator,False
574,2316,365,Economic Buyer,True
575,2232,366,Legal Reviewer,False
576,1453,366,Champion,True
577,2106,367,Champion,True
578,2755,367,Technical Evaluator,False
579,2100,367,Legal Reviewer,False
580,1019,367,Blocker,False
581,2944,368,Technical Evaluator,False
582,340,368,Champion,True
583,2384,369,End User,False
584,397,370,Technical Evaluator,False
585,1714,371,Blocker,False
586,139,371,Executive Sponsor,True
587,1225,372,Coach,False
588,1002,372,End User,False
589,1896,373,Champion,True
590,934,373,Technical Evaluator,False
591,775,374,Technical Evaluator,False
592,1656,375,Technical Evaluator,False
593,364,376,Technical Evaluator,False
594,280,377,Economic Buyer,True
595,2913,378,Champion,True
596,2757,378,Coach,False
597,1305,379,Legal Reviewer,False
598,731,379,Technical Evaluator,False
599,2131,379,Champion,True
600,694,380,Champion,True
601,1942,381,Technical Evaluator,False
602,393,382,Champion,True
603,1099,382,Technical Evaluator,False
604,280,383,Economic Buyer,True
605,2317,383,Blocker,False
606,525,384,Technical Evaluator,False
607,1278,385,Blocker,False
608,1637,385,Legal Reviewer,False
609,1960,386,Legal Reviewer,False
610,2993,386,Champion,True
611,885,387,Champion,True
612,1577,387,Technical Evaluator,False
613,518,387,Economic Buyer,True
614,2593,388,Champion,True
615,874,388,Executive Sponsor,True
616,196,389,Economic Buyer,True
617,2480,389,End User,False
618,667,390,End User,False
619,2389,390,Champion,True
620,1767,391,Champion,True
621,1210,391,Executive Sponsor,True
622,27,392,Champion,True
623,2803,393,Technical Evaluator,False
624,2888,393,End User,False
625,1497,394,Champion,True
626,839,395,Economic Buyer,True
627,2345,395,Technical Evaluator,False
628,1634,396,Legal Reviewer,False
629,1588,397,Technical Evaluator,False
630,2773,398,Blocker,False
631,2862,399,End User,False
632,462,400,Economic Buyer,True
633,1756,400,End User,False
634,1578,400,Legal Reviewer,False
635,2884,401,Champion,True
636,552,402,Champion,True
637,2669,402,Technical Evaluator,False
638,538,402,Blocker,False
639,2890,403,Technical Evaluator,False
640,177,404,Economic Buyer,True
641,1672,405,Champion,True
642,1763,405,Technical Evaluator,False
643,935,406,Champion,True
644,233,406,Technical Evaluator,False
645,2882,407,Champion,True
646,1887,408,Executive Sponsor,True
647,1408,409,Technical Evaluator,False
648,2237,410,Technical Evaluator,False
649,1356,411,Blocker,False
650,233,411,End User,False
651,935,411,Champion,True
652,1909,412,Blocker,False
653,2527,412,Champion,True
654,2266,412,End User,False
655,136,413,Executive Sponsor,True
656,562,414,Coach,False
657,1939,414,Technical Evaluator,False
658,1001,415,Executive Sponsor,True
659,1427,416,End User,False
660,2004,417,Technical Evaluator,False
661,837,418,Coach,False
662,757,418,Technical Evaluator,False
663,1034,419,End User,False
664,676,419,Technical Evaluator,False
665,729,420,Champion,True
666,454,420,Coach,False
667,1474,421,Economic Buyer,True
668,792,421,Champion,True
669,750,422,Executive Sponsor,True
670,302,422,Technical Evaluator,False
671,603,422,Champion,True
672,516,423,Coach,False
673,248,423,Legal Reviewer,False
674,1345,424,Champion,True
675,1736,424,Blocker,False
676,860,425,Champion,True
677,528,425,End User,False
678,2931,426,Legal Reviewer,False
679,1875,427,Executive Sponsor,True
680,2940,428,Champion,True
681,2611,428,Executive Sponsor,True
682,1102,428,End User,False
683,490,430,Economic Buyer,True
684,230,430,End User,False
685,1858,430,Executive Sponsor,True
686,1083,431,Coach,False
687,565,431,Champion,True
688,1048,431,Executive Sponsor,True
689,1107,432,Technical Evaluator,False
690,241,433,Coach,False
691,1379,434,Champion,True
692,2134,435,Technical Evaluator,False
693,1021,436,Champion,True
694,1299,437,Champion,True
695,2258,438,Coach,False
696,1810,439,Economic Buyer,True
697,2981,440,Technical Evaluator,False
698,641,440,Legal Reviewer,False
699,2116,441,Legal Reviewer,False
700,747,441,Executive Sponsor,True
701,616,441,Technical Evaluator,False
702,34,442,Economic Buyer,True
703,2084,442,Coach,False
704,1552,443,Champion,True
705,60,443,End User,False
706,1428,445,End User,False
707,2593,446,Economic Buyer,True
708,859,447,Economic Buyer,True
709,2384,447,Executive Sponsor,True
710,1630,448,Champion,True
711,982,448,Economic Buyer,True
712,2376,448,End User,False
713,2910,448,Executive Sponsor,True
714,2938,449,Executive Sponsor,True
715,2714,449,End User,False
716,2932,449,Economic Buyer,True
717,571,450,Champion,True
718,450,450,Coach,False
719,601,451,Champion,True
720,53,452,Technical Evaluator,False
721,905,453,End User,False
722,2433,453,Legal Reviewer,False
723,515,454,Economic Buyer,True
724,506,454,Coach,False
725,2954,455,Technical Evaluator,False
726,656,456,Technical Evaluator,False
727,1219,456,Champion,True
728,2318,456,Economic Buyer,True
729,289,456,Legal Reviewer,False
730,1534,458,Technical Evaluator,False
731,1214,458,Blocker,False
732,2804,459,Technical Evaluator,False
733,204,460,Legal Reviewer,False
734,2482,460,Blocker,False
735,1231,461,Economic Buyer,True
736,2994,461,End User,False
737,229,461,Technical Evaluator,False
738,1338,462,Champion,True
739,885,463,End User,False
740,2403,464,Economic Buyer,True
741,2677,464,Champion,True
742,2403,465,Technical Evaluator,False
743,2677,465,Blocker,False
744,1337,466,Champion,True
745,107,466,Executive Sponsor,True
746,2344,466,Economic Buyer,True
747,2968,467,Blocker,False
748,2718,468,Technical Evaluator,False
749,2019,469,End User,False
750,193,469,Champion,True
751,1109,469,Coach,False
752,87,470,Technical Evaluator,False
753,2195,471,Economic Buyer,True
754,589,471,End User,False
755,140,472,Blocker,False
756,1243,473,Executive Sponsor,True
757,1015,474,Champion,True
758,2409,474,Technical Evaluator,False
759,2671,475,Economic Buyer,True
760,1422,475,End User,False
761,2408,475,Champion,True
762,533,477,Blocker,False
763,1084,479,Blocker,False
764,2652,480,End User,False
765,689,481,Economic Buyer,True
766,1734,482,Technical Evaluator,False
767,2962,483,Economic Buyer,True
768,34,484,End User,False
769,2782,484,Technical Evaluator,False
770,2084,484,Champion,True
771,2272,485,Technical Evaluator,False
772,558,485,Champion,True
773,543,486,Champion,True
774,1162,487,Blocker,False
775,547,487,Champion,True
776,1959,488,Economic Buyer,True
777,2093,488,Blocker,False
778,496,489,Technical Evaluator,False
779,1122,490,End User,False
780,1611,491,End User,False
781,1237,492,Economic Buyer,True
782,1798,493,Champion,True
783,1797,494,Technical Evaluator,False
784,953,494,Champion,True
785,2536,494,Executive Sponsor,True
786,1366,495,Technical Evaluator,False
787,2935,495,End User,False
788,268,496,Executive Sponsor,True
789,291,497,Economic Buyer,True
790,2429,497,Technical Evaluator,False
791,233,498,Technical Evaluator,False
792,935,498,Legal Reviewer,False
793,1356,498,Coach,False
794,2956,499,Champion,True
795,154,500,Coach,False
796,633,501,Economic Buyer,True
797,991,502,Champion,True
798,2009,502,Executive Sponsor,True
799,818,502,Technical Evaluator,False
800,24,502,Economic Buyer,True
801,1527,502,End User,False
802,1558,503,Economic Buyer,True
803,992,505,Executive Sponsor,True
804,1145,506,Champion,True
805,2274,507,Executive Sponsor,True
806,1269,508,Blocker,False
807,571,509,End User,False
808,292,510,Technical Evaluator,False
809,2048,511,Blocker,False
810,1869,511,Economic Buyer,True
811,1905,511,Technical Evaluator,False
812,1771,512,End User,False
813,2985,512,Blocker,False
814,1543,513,Champion,True
815,1970,514,Legal Reviewer,False
816,931,514,Economic Buyer,True
817,2947,515,Champion,True
818,1840,515,Legal Reviewer,False
819,628,516,Executive Sponsor,True
820,2150,516,Technical Evaluator,False
821,268,517,Champion,True
822,997,518,End User,False
823,2161,518,Legal Reviewer,False
824,615,518,Technical Evaluator,False
825,375,519,Technical Evaluator,False
826,1706,519,Economic Buyer,True
827,2737,520,End User,False
828,636,521,Economic Buyer,True
829,2614,522,Coach,False
830,1858,523,Champion,True
831,490,523,Technical Evaluator,False
832,508,524,Blocker,False
833,1973,524,Champion,True
834,2456,524,Technical Evaluator,False
835,1098,524,Executive Sponsor,True
836,741,524,Economic Buyer,True
837,865,525,Legal Reviewer,False
838,559,525,End User,False
839,2901,525,Executive Sponsor,True
840,1367,525,Champion,True
841,2937,526,Legal Reviewer,False
842,1198,527,Blocker,False
843,347,527,Economic Buyer,True
844,1207,528,End User,False
845,14,528,Champion,True
846,971,479,Champion,True
847,2695,530,Economic Buyer,True
848,2027,530,Champion,True
849,51,530,Coach,False
850,2527,531,Economic Buyer,True
851,1909,531,Champion,True
852,2382,532,Economic Buyer,True
853,51,533,Coach,False
854,2695,533,Champion,True
855,2293,534,Economic Buyer,True
856,157,535,Technical Evaluator,False
857,2466,536,Economic Buyer,True
858,564,536,Legal Reviewer,False
859,137,537,Blocker,False
860,1812,537,Technical Evaluator,False
861,989,537,End User,False
862,2908,538,Blocker,False
863,2036,538,End User,False
864,2535,538,Executive Sponsor,True
865,2308,539,Technical Evaluator,False
866,102,539,End User,False
867,189,540,Executive Sponsor,True
868,376,540,End User,False
869,444,540,Champion,True
870,2591,540,Blocker,False
871,1142,541,Champion,True
872,93,541,Technical Evaluator,False
873,2581,542,Executive Sponsor,True
874,685,542,Blocker,False
875,384,543,Economic Buyer,True
876,1863,543,Champion,True
877,118,543,Coach,False
878,2245,543,Technical Evaluator,False
879,478,544,End User,False
880,1318,544,Coach,False
881,663,545,Economic Buyer,True
882,1713,545,Technical Evaluator,False
883,407,546,End User,False
884,106,546,Technical Evaluator,False
885,2234,547,Blocker,False
886,1097,548,Economic Buyer,True
887,308,548,Champion,True
888,1586,548,Executive Sponsor,True
889,835,549,Champion,True
890,1334,549,End User,False
891,13,550,Coach,False
892,1420,551,Technical Evaluator,False
893,2770,551,Coach,False
894,2583,552,Blocker,False
895,1131,553,Economic Buyer,True
896,367,553,Executive Sponsor,True
897,572,554,Economic Buyer,True
898,459,555,Champion,True
899,700,556,Blocker,False
900,1805,556,Executive Sponsor,True
901,1634,556,Champion,True
902,2118,557,Coach,False
903,361,557,Champion,True
904,1852,558,Blocker,False
905,1001,559,Legal Reviewer,False
906,397,560,Economic Buyer,True
907,1390,561,Executive Sponsor,True
908,2198,562,Economic Buyer,True
909,2582,563,Champion,True
910,2101,563,End User,False
911,1542,564,Coach,False
912,1134,565,Champion,True
913,2990,566,Economic Buyer,True
914,1787,567,Blocker,False
915,79,568,Technical Evaluator,False
916,675,568,End User,False
917,1381,568,Champion,True
918,979,569,Champion,True
919,365,570,Technical Evaluator,False
920,371,570,End User,False
921,2494,571,End User,False
922,70,571,Economic Buyer,True
923,971,572,Technical Evaluator,False
924,344,572,Blocker,False
925,2469,572,Champion,True
926,1533,573,Economic Buyer,True
927,1055,573,Champion,True
928,1910,574,Executive Sponsor,True
929,2824,575,Technical Evaluator,False
930,1978,575,End User,False
931,357,576,Coach,False
