opp_id,account_id,owner_id,name,stage,amount,close_date,created_date,lead_source,forecast_category,is_won,is_closed,competitor,loss_reason,days_in_stage,next_step,opportunity_type,created_at
24,15,4,Nexus Inc - Platform Deal,Discovery,24080,2023-04-05,2023-01-18,Partner Referral,Pipeline,False,False,,,22,POC setup,New Business,2023-01-18T00:00:00
25,25,14,Apex Solutions - Platform Deal,Negotiation,22238,2025-06-28,2024-11-11,Outbound - SDR,Commit,False,False,CompetitorD,,6,Legal review,New Business,2024-11-11T00:00:00
26,740,5,Quantum Networks - Initial License,Qualification,178013,2023-07-23,2023-04-03,Partner Referral,Best Case,False,False,,,51,,New Business,2023-04-03T00:00:00
27,635,4,Horizon Partners - New Business,Discovery,135568,2024-07-08,2024-04-18,Partner Referral,Pipeline,False,False,Open Source Alternative,,3,Contract signing,New Business,2024-04-18T00:00:00
28,440,1,Acme Systems - New Business,Discovery,724044,2025-06-09,2024-12-28,Partner Referral,Pipeline,False,False,CompetitorC,,25,Contract signing,New Business,2024-12-28T00:00:00
29,20,1,Atlas Dynamics - Initial License,Prospecting,15345,2023-12-08,2023-03-14,Inbound - Content,Pipeline,False,False,CompetitorE,,25,Technical review,New Business,2023-03-14T00:00:00
30,636,9,Zenith Enterprises - Initial License,Discovery,10815,2025-05-25,2024-12-13,Outbound - AE,Pipeline,False,False,,,11,Send proposal,New Business,2024-12-13T00:00:00
31,150,16,Quantum Holdings - New Business,Qualification,25807,2025-07-28,2024-12-08,Inbound - Content,Best Case,False,False,,,3,Contract signing,New Business,2024-12-08T00:00:00
32,433,1,Nexus Software - New Business,Qualification,,2023-03-27,2023-01-27,Webinar,Best Case,False,False,,,20,Contract signing,New Business,2023-01-27T00:00:00
33,199,12,Velocity Group - Platform Deal,Closed Lost,719123,2022-05-13,2022-06-07,Inbound - Content,Omitted,False,True,,Budget Cut,13,,New Business,2022-06-07T00:00:00
34,795,2,Vertex Technologies - Initial License,Prospecting,68512,2024-11-08,2024-03-10,Product-Led,Pipeline,False,False,CompetitorB,,8,Schedule demo,New Business,2024-03-10T00:00:00
35,76,2,Optima Solutions - Platform Deal,Qualification,30941,2025-04-18,2024-09-13,Product-Led,Best Case,False,False,,,33,Legal review,New Business,2024-09-13T00:00:00
36,9,12,Apex Networks - Initial License,Qualification,954229,2024-07-10,2024-02-14,Outbound - SDR,Best Case,False,False,CompetitorC,,36,Contract signing,New Business,2024-02-14T00:00:00
37,719,1,Quantum Corp - Initial License,Closed Lost,15295,2021-06-23,2021-02-22,Event,Omitted,False,True,CompetitorD,Budget Cut,17,,New Business,2021-02-22T00:00:00
38,273,12,Synergy Technologies - New Business,Closed Lost,113060,2024-12-31,2024-12-15,Product-Led,Omitted,False,True,CompetitorC,Competitor,9,,New Business,2024-12-15T00:00:00
39,904,3,Elevate Software - Platform Deal,Proposal,36652,2025-01-19,2024-12-05,Inbound - Content,Best Case,False,False,CompetitorC,,1,Reference call,New Business,2024-12-05T00:00:00
40,831,3,Zenith Dynamics - Initial License,Qualification,976778,2024-02-18,2023-12-08,Event,Best Case,False,False,CompetitorB,,4,,New Business,2023-12-08T00:00:00
41,411,12,Vertex Labs - New Business,Qualification,72336,2025-07-08,2024-11-11,Partner Referral,Best Case,False,False,CompetitorC,,39,POC setup,New Business,2024-11-11T00:00:00
42,706,1,Elevate Software - New Business,Closed Lost,119824,2023-12-17,2023-06-13,Inbound - Web,Omitted,False,True,CompetitorA,No Decision,22,,New Business,2023-06-13T00:00:00
43,536,11,Horizon Solutions - New Business,Proposal,689779,2024-05-29,2023-09-18,Event,Best Case,False,False,,,28,Schedule demo,New Business,2023-09-18T00:00:00
1,555,10,Atlas Platforms - Platform Deal,Closed Lost,36862,2024-09-03,2024-03-14,Inbound - Content,Omitted,False,True,CompetitorD,Feature Gap,43,,New Business,2024-03-14T00:00:00
45,74,3,Pinnacle Platforms - Initial License,Discovery,105557,2024-04-20,2023-09-14,,Pipeline,False,False,CompetitorA,,22,Executive alignment,New Business,2023-09-14T00:00:00
46,725,5,Elevate Enterprises - Initial License,Negotiation,,2025-06-12,2024-10-11,Inbound - Web,Commit,False,False,CompetitorB,,32,Send proposal,New Business,2024-10-11T00:00:00
47,202,8,Apex Digital - Platform Deal,Prospecting,62125,2024-04-11,2024-02-19,Inbound - Content,Pipeline,False,False,CompetitorD,,7,POC setup,New Business,2024-02-19T00:00:00
48,933,11,Pacific Inc - Platform Deal,Closed Lost,422272,2023-12-06,2023-10-26,Inbound - Web,Omitted,False,True,,Lost to Status Quo,66,,New Business,2023-10-26T00:00:00
49,692,5,Velocity Partners - New Business,Prospecting,17283,2023-12-30,2023-06-18,Outbound - AE,Pipeline,False,False,CompetitorC,,23,Reference call,New Business,2023-06-18T00:00:00
50,820,4,Vanguard Systems - New Business,Prospecting,17877,2025-03-31,2024-10-12,Outbound - SDR,Pipeline,False,False,,,34,Executive alignment,New Business,2024-10-12T00:00:00
51,726,15,Zenith Dynamics - Initial License,Closed Lost,36078,2022-03-16,2022-02-16,,Omitted,False,True,CompetitorA,Timing,5,,New Business,2022-02-16T00:00:00
52,203,16,Zenith Networks - Initial License,Closed Lost,118556,2024-12-13,2024-09-24,Product-Led,Omitted,False,True,CompetitorA,No Decision,47,,New Business,2024-09-24T00:00:00
53,578,1,Elevate Partners - New Business,Prospecting,21548,2024-01-18,2023-09-07,Inbound - Content,Pipeline,False,False,CompetitorA,,3,Legal review,New Business,2023-09-07T00:00:00
54,79,6,Nexus Labs - Initial License,Closed Lost,663385,2024-06-17,2024-02-26,Product-Led,Omitted,False,True,CompetitorB,Timing,56,,New Business,2024-02-26T00:00:00
55,723,9,Nexus Digital - Initial License,Discovery,,2024-03-12,2024-01-24,Outbound - AE,Pipeline,False,False,Open Source Alternative,,29,POC setup,New Business,2024-01-24T00:00:00
56,331,11,Vertex Services - New Business,Closed Lost,,2021-12-16,2021-09-03,Product-Led,Omitted,False,True,CompetitorD,Competitor,65,,New Business,2021-09-03T00:00:00
57,914,12,Summit Systems - Initial License,Prospecting,106722,2021-12-18,2022-01-11,Product-Led,Pipeline,False,False,CompetitorC,,14,Reference call,New Business,2022-01-11T00:00:00
58,915,15,Nova Inc - Platform Deal,Proposal,46334,2025-03-23,2024-08-17,Inbound - Content,Best Case,False,False,,,7,Send proposal,New Business,2024-08-17T00:00:00
59,253,12,Zenith Corp - Platform Deal,Closed Won,25073,2024-09-15,2024-03-08,Outbound - AE,Closed,True,True,,,18,,New Business,2024-03-08T00:00:00
60,908,8,Horizon Networks - Platform Deal,Prospecting,54582,2025-02-23,2024-06-15,Outbound - SDR,Pipeline,False,False,,,29,Reference call,New Business,2024-06-15T00:00:00
61,294,14,Horizon Digital - New Business,Discovery,102019,2024-08-04,2024-03-28,Outbound - SDR,Pipeline,False,False,CompetitorB,,68,Legal review,New Business,2024-03-28T00:00:00
62,821,4,Atlas Platforms - Initial License,Negotiation,184273,2024-03-23,2023-11-30,,Commit,False,False,CompetitorD,,8,Reference call,New Business,2023-11-30T00:00:00
63,229,14,Nova Enterprises - Platform Deal,Discovery,634051,2023-11-14,2023-06-25,Event,Pipeline,False,False,,,47,Reference call,New Business,2023-06-25T00:00:00
64,781,3,Apex Enterprises - Platform Deal,Proposal,43858,2023-12-04,2023-05-01,Outbound - AE,Best Case,False,False,CompetitorE,,35,Schedule demo,New Business,2023-05-01T00:00:00
65,971,3,Nova Enterprises - Initial License,Proposal,665532,2024-06-21,2023-12-08,Event,Best Case,False,False,CompetitorA,,21,Technical review,New Business,2023-12-08T00:00:00
66,839,13,Quantum Solutions - Initial License,Qualification,45997,2024-07-23,2023-11-14,Inbound - Content,Best Case,False,False,,,45,Schedule demo,New Business,2023-11-14T00:00:00
67,556,13,Vertex Analytics - Platform Deal,Prospecting,35811,2022-09-01,2022-08-01,Product-Led,Pipeline,False,False,,,12,,New Business,2022-08-01T00:00:00
68,570,13,Zenith Dynamics - Initial License,Discovery,89855,2023-10-22,2023-03-08,Inbound - Content,Pipeline,False,False,CompetitorC,,22,Schedule demo,New Business,2023-03-08T00:00:00
69,837,12,Pinnacle Holdings - Platform Deal,Discovery,71590,2024-02-06,2023-06-10,,Pipeline,False,False,Open Source Alternative,,50,Schedule demo,New Business,2023-06-10T00:00:00
70,733,9,Synergy Group - Initial License,Qualification,24764,2024-06-01,2024-01-11,Event,Best Case,False,False,CompetitorA,,13,,New Business,2024-01-11T00:00:00
71,854,12,Synergy Labs - New Business,Closed Lost,38386,2023-10-23,2023-06-18,Partner Referral,Omitted,False,True,CompetitorB,Price,20,,New Business,2023-06-18T00:00:00
72,818,7,Pacific Systems - Initial License,Prospecting,20633,2024-10-26,2024-06-14,Partner Referral,Pipeline,False,False,CompetitorD,,54,Contract signing,New Business,2024-06-14T00:00:00
73,266,1,Summit Enterprises - New Business,Qualification,104101,2023-10-24,2023-06-07,Event,Best Case,False,False,Open Source Alternative,,31,,New Business,2023-06-07T00:00:00
74,186,14,Acme Inc - Initial License,Closed Lost,75431,2024-09-25,2024-05-27,,Omitted,False,True,CompetitorE,Champion Left,71,,New Business,2024-05-27T00:00:00
75,931,15,Nova Dynamics - Platform Deal,Prospecting,21718,2025-05-08,2024-11-07,Product-Led,Pipeline,False,False,CompetitorB,,13,Legal review,New Business,2024-11-07T00:00:00
76,542,8,Apex Networks - Platform Deal,Proposal,12023,2025-03-10,2024-07-22,Outbound - AE,Best Case,False,False,CompetitorD,,15,Schedule demo,New Business,2024-07-22T00:00:00
77,423,12,Quantum Platforms - Initial License,Qualification,30888,2024-03-25,2023-10-07,Inbound - Web,Best Case,False,False,CompetitorA,,4,Executive alignment,New Business,2023-10-07T00:00:00
78,604,2,Velocity Networks - Initial License,Closed Won,152802,2024-09-12,2024-07-20,Inbound - Web,Closed,True,True,CompetitorB,,31,,New Business,2024-07-20T00:00:00
79,830,10,Velocity Holdings - Initial License,Discovery,13637,2023-04-27,2022-09-16,Event,Pipeline,False,False,CompetitorE,,55,Technical review,New Business,2022-09-16T00:00:00
80,493,15,Optima Services - Initial License,Discovery,209442,2025-07-05,2024-12-08,Outbound - AE,Pipeline,False,False,CompetitorD,,36,Legal review,New Business,2024-12-08T00:00:00
81,832,4,Fusion Enterprises - New Business,Proposal,1045569,2024-04-12,2024-01-18,Partner Referral,Best Case,False,False,CompetitorB,,6,Technical review,New Business,2024-01-18T00:00:00
82,491,11,Velocity Solutions - New Business,Negotiation,40406,2025-05-04,2024-10-14,Partner Referral,Commit,False,False,Open Source Alternative,,17,Reference call,New Business,2024-10-14T00:00:00
83,520,12,Summit Analytics - Initial License,Closed Won,178453,2024-08-02,2024-06-02,Inbound - Content,Closed,True,True,CompetitorB,,28,,New Business,2024-06-02T00:00:00
84,47,15,Synergy Partners - Initial License,Closed Lost,,2024-09-23,2024-07-01,Outbound - SDR,Omitted,False,True,CompetitorB,Price,49,,New Business,2024-07-01T00:00:00
85,383,5,Summit Solutions - New Business,Closed Won,23176,2023-07-05,2023-05-17,Product-Led,Closed,True,True,,,34,,New Business,2023-05-17T00:00:00
86,556,15,Vertex Analytics - Initial License,Proposal,58667,2024-08-26,2024-05-04,Webinar,Best Case,False,False,CompetitorE,,46,POC setup,New Business,2024-05-04T00:00:00
87,132,6,Fusion Digital - Platform Deal,Proposal,77766,2025-04-22,2024-08-12,Inbound - Web,Best Case,False,False,,,32,Technical review,New Business,2024-08-12T00:00:00
88,81,10,Acme Analytics - New Business,Prospecting,123688,2024-07-26,2024-05-21,Inbound - Content,Pipeline,False,False,,,47,Contract signing,New Business,2024-05-21T00:00:00
89,681,14,Pacific Systems - Initial License,Qualification,43278,2020-10-12,2020-08-08,Outbound - SDR,Best Case,False,False,CompetitorA,,63,Send proposal,New Business,2020-08-08T00:00:00
90,581,12,Synergy Inc - Initial License,Closed Won,128292,2024-09-28,2024-05-06,Partner Referral,Closed,True,True,CompetitorD,,53,,New Business,2024-05-06T00:00:00
3,148,12,Fusion Technologies - Initial License,Prospecting,33813,2024-05-21,2024-04-09,Inbound - Content,Pipeline,False,False,CompetitorE,,53,Contract signing,New Business,2024-04-09T00:00:00
92,854,5,Synergy Labs - New Business,Discovery,46917,2025-01-31,2024-12-06,Partner Referral,Pipeline,False,False,,,38,POC setup,New Business,2024-12-06T00:00:00
93,746,10,Atlas Services - Initial License,Discovery,105549,2024-12-26,2024-06-04,Outbound - AE,Pipeline,False,False,,,28,Reference call,New Business,2024-06-04T00:00:00
94,498,8,Catalyst Labs - Initial License,Qualification,57362,2024-10-03,2024-05-18,Partner Referral,Best Case,False,False,,,20,,New Business,2024-05-18T00:00:00
95,738,12,Catalyst Enterprises - New Business,Closed Lost,16559,2024-12-31,2024-12-31,Product-Led,Omitted,False,True,,Lost to Status Quo,9,,New Business,2024-12-31T00:00:00
96,42,1,Fusion Solutions - New Business,Prospecting,122410,2025-05-24,2024-10-04,Event,Pipeline,False,False,,,7,,New Business,2024-10-04T00:00:00
97,884,16,Optima Dynamics - New Business,Closed Lost,52705,2024-12-31,2024-11-25,Product-Led,Omitted,False,True,CompetitorA,Champion Left,37,,New Business,2024-11-25T00:00:00
98,326,4,Atlas Networks - Platform Deal,Closed Lost,32287,2021-12-27,2021-05-27,Inbound - Content,Omitted,False,True,CompetitorC,Competitor,15,,New Business,2021-05-27T00:00:00
99,209,9,Apex Services - Platform Deal,Prospecting,309927,2025-06-12,2024-10-22,Partner Referral,Pipeline,False,False,CompetitorB,,11,Contract signing,New Business,2024-10-22T00:00:00
100,632,5,Optima Solutions - Platform Deal,Discovery,46021,2022-09-09,2022-01-19,Outbound - AE,Pipeline,False,False,,,26,Schedule demo,New Business,2022-01-19T00:00:00
101,52,5,Fusion Inc - Initial License,Closed Won,48103,2024-02-04,2023-11-09,Inbound - Web,Closed,True,True,,,9,,New Business,2023-11-09T00:00:00
102,734,7,Optima Networks - New Business,Qualification,34868,2025-07-18,2024-12-20,Product-Led,Best Case,False,False,CompetitorC,,31,Reference call,New Business,2024-12-20T00:00:00
103,123,10,Atlas Inc - Initial License,Proposal,52885,2023-09-04,2023-01-28,Event,Best Case,False,False,CompetitorE,,62,Technical review,New Business,2023-01-28T00:00:00
104,472,2,Vanguard Holdings - New Business,Qualification,,2023-05-03,2022-12-18,Event,Best Case,False,False,,,39,Technical review,New Business,2022-12-18T00:00:00
105,36,3,Apex Solutions - Platform Deal,Closed Lost,12932,2024-04-18,2024-04-06,Webinar,Omitted,False,True,CompetitorD,Champion Left,10,,New Business,2024-04-06T00:00:00
106,902,15,Pinnacle Platforms - Platform Deal,Qualification,210565,2024-12-17,2024-05-27,Webinar,Best Case,False,False,Open Source Alternative,,57,Technical review,New Business,2024-05-27T00:00:00
107,329,1,Horizon Digital - Initial License,Closed Lost,687803,2023-12-23,2023-11-24,Product-Led,Omitted,False,True,,Timing,19,,New Business,2023-11-24T00:00:00
108,325,6,Pacific Corp - Platform Deal,Qualification,17476,2024-10-04,2024-03-21,,Best Case,False,False,,,45,Reference call,New Business,2024-03-21T00:00:00
109,34,5,Zenith Analytics - Initial License,Discovery,32362,2024-06-19,2024-02-12,Outbound - AE,Pipeline,False,False,,,12,Schedule demo,New Business,2024-02-12T00:00:00
110,913,4,Global Networks - Initial License,Closed Won,39199,2022-08-21,2022-04-29,Webinar,Closed,True,True,,,36,,New Business,2022-04-29T00:00:00
111,209,9,Apex Services - New Business,Prospecting,250660,2024-09-10,2024-05-21,Event,Pipeline,False,False,,,20,,New Business,2024-05-21T00:00:00
112,115,4,Pacific Inc - Initial License,Qualification,112341,2021-10-17,2021-02-24,Outbound - AE,Best Case,False,False,,,27,POC setup,New Business,2021-02-24T00:00:00
113,510,16,Horizon Software - Initial License,Closed Lost,43117,2024-11-06,2024-07-13,Inbound - Web,Omitted,False,True,Open Source Alternative,No Decision,31,,New Business,2024-07-13T00:00:00
114,512,6,Global Holdings - New Business,Discovery,16980,2022-02-27,2021-12-27,Product-Led,Pipeline,False,False,CompetitorC,,24,,New Business,2021-12-27T00:00:00
115,10,13,Pacific Corp - Platform Deal,Closed Lost,16794,2024-12-31,2024-08-22,Outbound - SDR,Omitted,False,True,CompetitorD,Champion Left,70,,New Business,2024-08-22T00:00:00
116,792,13,Elevate Services - Initial License,Prospecting,35356,2024-09-26,2024-03-13,Partner Referral,Pipeline,False,False,,,7,Contract signing,New Business,2024-03-13T00:00:00
117,772,6,Summit Partners - Platform Deal,Prospecting,12486,2023-11-01,2023-09-08,Inbound - Web,Pipeline,False,False,CompetitorB,,22,POC setup,New Business,2023-09-08T00:00:00
118,791,3,Acme Group - Platform Deal,Discovery,47414,2025-01-18,2024-08-06,Inbound - Web,Pipeline,False,False,CompetitorE,,34,Schedule demo,New Business,2024-08-06T00:00:00
119,385,8,Nexus Systems - New Business,Discovery,38366,2024-09-07,2024-07-04,Product-Led,Pipeline,False,False,CompetitorD,,32,Contract signing,New Business,2024-07-04T00:00:00
120,352,15,Fusion Holdings - Initial License,Prospecting,981946,2025-04-20,2024-09-07,Event,Pipeline,False,False,,,6,POC setup,New Business,2024-09-07T00:00:00
121,141,2,Acme Platforms - Platform Deal,Proposal,37826,2024-08-15,2024-07-13,Inbound - Content,Best Case,False,False,,,13,Reference call,New Business,2024-07-13T00:00:00
122,246,15,Fusion Labs - Platform Deal,Prospecting,889085,2024-06-03,2024-01-15,Product-Led,Pipeline,False,False,,,3,Contract signing,New Business,2024-01-15T00:00:00
123,799,10,Atlas Platforms - Platform Deal,Qualification,31750,2023-01-21,2022-09-01,Event,Best Case,False,False,CompetitorC,,56,Executive alignment,New Business,2022-09-01T00:00:00
124,123,7,Atlas Inc - Initial License,Qualification,202115,2023-10-21,2023-06-30,Webinar,Best Case,False,False,,,5,POC setup,New Business,2023-06-30T00:00:00
125,944,13,Zenith Group - Initial License,Discovery,20713,2025-07-28,2024-11-02,Webinar,Pipeline,False,False,CompetitorC,,69,Executive alignment,New Business,2024-11-02T00:00:00
126,316,2,Fusion Enterprises - Initial License,Qualification,171349,2024-06-26,2023-10-28,Outbound - SDR,Best Case,False,False,,,28,Legal review,New Business,2023-10-28T00:00:00
127,367,7,Synergy Systems - Platform Deal,Prospecting,43824,2025-05-05,2024-09-01,Inbound - Content,Pipeline,False,False,Open Source Alternative,,11,,New Business,2024-09-01T00:00:00
128,567,16,Pacific Dynamics - New Business,Discovery,124019,2024-09-10,2024-03-27,Product-Led,Pipeline,False,False,Open Source Alternative,,22,Technical review,New Business,2024-03-27T00:00:00
129,163,12,Nexus Inc - Initial License,Closed Lost,46627,2024-09-09,2024-02-26,Outbound - SDR,Omitted,False,True,CompetitorA,Competitor,26,,New Business,2024-02-26T00:00:00
130,344,10,Optima Corp - New Business,Qualification,41735,2024-04-04,2023-08-16,Webinar,Best Case,False,False,CompetitorD,,45,,New Business,2023-08-16T00:00:00
131,706,16,Elevate Software - Initial License,Closed Lost,152871,2024-10-07,2024-08-04,Outbound - AE,Omitted,False,True,CompetitorA,Feature Gap,29,,New Business,2024-08-04T00:00:00
132,253,9,Zenith Corp - New Business,Qualification,41119,2023-04-21,2023-03-19,Inbound - Content,Best Case,False,False,CompetitorB,,32,Schedule demo,New Business,2023-03-19T00:00:00
133,500,15,Vanguard Platforms - Platform Deal,Closed Lost,51887,2024-12-31,2024-12-22,Outbound - SDR,Omitted,False,True,,Price,4,,New Business,2024-12-22T00:00:00
134,831,3,Zenith Dynamics - Initial License,Closed Lost,790212,2023-02-16,2022-12-04,,Omitted,False,True,,Feature Gap,5,,New Business,2022-12-04T00:00:00
135,826,3,Synergy Holdings - Platform Deal,Prospecting,22280,2024-03-24,2024-01-25,Product-Led,Pipeline,False,False,CompetitorE,,29,,New Business,2024-01-25T00:00:00
136,4,5,Vanguard Platforms - Initial License,Discovery,24447,2025-05-10,2024-08-24,Inbound - Content,Pipeline,False,False,CompetitorA,,50,Contract signing,New Business,2024-08-24T00:00:00
137,228,12,Summit Services - Initial License,Closed Lost,7667,2024-02-12,2024-01-11,Inbound - Content,Omitted,False,True,CompetitorB,Lost to Status Quo,23,,New Business,2024-01-11T00:00:00
138,95,7,Vertex Networks - Initial License,Discovery,49435,2024-06-05,2023-12-26,Inbound - Web,Pipeline,False,False,CompetitorD,,22,Contract signing,New Business,2023-12-26T00:00:00
139,698,7,Nova Digital - New Business,Closed Won,1001985,2024-10-05,2024-06-27,Inbound - Content,Closed,True,True,CompetitorE,,10,,New Business,2024-06-27T00:00:00
140,620,4,Horizon Labs - New Business,Qualification,26225,2024-11-09,2024-10-06,Outbound - AE,Best Case,False,False,,,49,,New Business,2024-10-06T00:00:00
141,38,13,Elevate Corp - Platform Deal,Closed Lost,59647,2020-10-13,2020-06-26,Inbound - Content,Omitted,False,True,CompetitorA,Timing,65,,New Business,2020-06-26T00:00:00
142,985,2,Vanguard Group - Platform Deal,Prospecting,185598,2025-03-25,2024-12-24,Partner Referral,Pipeline,False,False,CompetitorA,,29,POC setup,New Business,2024-12-24T00:00:00
143,796,8,Summit Services - Platform Deal,Qualification,56396,2024-10-08,2024-07-13,Event,Best Case,False,False,CompetitorB,,19,Reference call,New Business,2024-07-13T00:00:00
144,16,6,Horizon Digital - New Business,Proposal,14279,2021-03-04,2020-12-15,Webinar,Best Case,False,False,CompetitorC,,29,,New Business,2020-12-15T00:00:00
145,824,13,Atlas Solutions - Initial License,Closed Lost,83298,2024-12-31,2024-12-08,Product-Led,Omitted,False,True,CompetitorA,No Decision,57,,New Business,2024-12-08T00:00:00
146,471,2,Vertex Enterprises - Platform Deal,Closed Lost,9203,2023-03-22,2022-11-12,Webinar,Omitted,False,True,CompetitorA,No Decision,19,,New Business,2022-11-12T00:00:00
147,161,13,Acme Holdings - Initial License,Prospecting,146869,2025-06-18,2024-10-05,Inbound - Content,Pipeline,False,False,Open Source Alternative,,53,POC setup,New Business,2024-10-05T00:00:00
84,277,12,Vanguard Digital - New Business,Qualification,47905,2025-04-28,2024-12-31,Inbound - Content,Best Case,False,False,,,48,Reference call,New Business,2024-12-31T00:00:00
149,598,2,Atlas Corp - Initial License,Prospecting,47511,2024-03-04,2023-06-22,Inbound - Content,Pipeline,False,False,CompetitorA,,13,Reference call,New Business,2023-06-22T00:00:00
150,258,6,Atlas Services - Initial License,Prospecting,177925,2021-10-06,2021-05-12,Inbound - Content,Pipeline,False,False,CompetitorC,,27,Schedule demo,New Business,2021-05-12T00:00:00
151,743,4,Quantum Partners - New Business,Qualification,100003,2025-05-06,2024-11-23,,Best Case,False,False,,,59,Schedule demo,New Business,2024-11-23T00:00:00
152,229,14,Nova Enterprises - New Business,Discovery,611734,2023-09-13,2023-09-24,Event,Pipeline,False,False,,,50,Send proposal,New Business,2023-09-24T00:00:00
153,636,9,Zenith Enterprises - Platform Deal,Qualification,21232,2023-12-17,2023-10-04,Inbound - Content,Best Case,False,False,CompetitorD,,7,Schedule demo,New Business,2023-10-04T00:00:00
154,443,5,Zenith Analytics - Platform Deal,Qualification,6290,2025-03-04,2024-07-29,Event,Best Case,False,False,CompetitorA,,15,Executive alignment,New Business,2024-07-29T00:00:00
155,921,6,Pacific Holdings - Platform Deal,Qualification,30732,2024-08-01,2024-05-04,Partner Referral,Best Case,False,False,,,39,Schedule demo,New Business,2024-05-04T00:00:00
156,175,15,Pinnacle Solutions - Platform Deal,Qualification,21253,2025-01-10,2024-05-02,Outbound - AE,Best Case,False,False,CompetitorC,,44,Schedule demo,New Business,2024-05-02T00:00:00
157,173,1,Global Systems - Platform Deal,Negotiation,,2024-09-24,2024-02-12,Webinar,Commit,False,False,,,8,Technical review,New Business,2024-02-12T00:00:00
