campaign_id,name,channel,type,status,cost,start_date,end_date,created_at
45,Demand Gen Campaign - Event,Event,Demand Gen,Draft,130855,2024-09-04,2024-11-15,2024-08-23T00:00:00
46,Organic Search - Nurture - Q2 2024,Organic Search,Nurture,Draft,2442,2024-06-20,2024-09-01,2024-06-08T00:00:00
47,Event - Demand Gen - Q1 2024,Event,Demand Gen,Completed,135132,2024-03-19,2024-06-10,2024-03-15T00:00:00
48,Paid Search - Nurture - Q4 2022,Paid Search,Nurture,Completed,,2022-12-30,2023-01-27,2022-12-18T00:00:00
49,FY2024 Product Launch - Paid Social,Paid Social,Product Launch,Completed,72647,2024-08-18,2024-10-19,2024-08-11T00:00:00
50,ABM Campaign - Paid Social,Paid Social,ABM,Paused,43846,2022-06-03,2022-08-17,2022-05-24T00:00:00
51,Webinar - Nurture - Q3 2020,Webinar,Nurture,Active,30008,2020-07-06,2020-07-29,2020-06-28T00:00:00
52,Partner - ABM - Q4 2023,,ABM,Active,4513,2023-12-12,2024-01-25,2023-12-05T00:00:00
53,Partner - ABM - Q4 2023,Partner,ABM,Active,6819,2023-12-07,2024-03-05,2023-12-02T00:00:00
54,Paid Search - Thought Leadership - Q4 2021,Paid Search,Thought Leadership,Active,27569,2021-12-09,2022-02-23,2021-11-27T00:00:00
55,Organic Search - Thought Leadership - Q4 2023,Organic Search,Thought Leadership,Completed,3451,2023-11-14,2023-12-07,2023-11-09T00:00:00
56,FY2020 Nurture - Organic Search,Organic Search,Nurture,Active,5371,2020-07-01,2020-09-30,2020-06-25T00:00:00
57,Nurture Campaign - Direct Mail,,Nurture,Active,47216,2023-08-11,2023-11-20,2023-08-04T00:00:00
58,ABM Campaign - Paid Social,Paid Social,ABM,Draft,8716,2023-05-22,2023-07-26,2023-05-17T00:00:00
59,FY2021 Product Launch - Paid Social,Paid Social,Product Launch,Active,56325,2021-11-27,2021-12-29,2021-11-19T00:00:00
60,Organic Search - Thought Leadership - Q1 2021,Organic Search,Thought Leadership,Completed,1633,2021-03-27,2021-04-13,2021-03-22T00:00:00
61,FY2023 Product Launch - Content Syndication,Content Syndication,Product Launch,Paused,14337,2023-12-04,2024-03-10,2023-11-29T00:00:00
62,Thought Leadership Campaign - Email,Email,Thought Leadership,Completed,3785,2021-11-13,2022-02-14,2021-11-03T00:00:00
63,FY2023 Nurture - Partner,Partner,Nurture,Completed,10670,2023-10-16,2023-12-14,2023-10-07T00:00:00
64,FY2023 ABM - Content Syndication,Content Syndication,ABM,Active,49986,2023-08-17,2023-10-04,2023-08-10T00:00:00
65,Brand Awareness Campaign - Partner,Partner,Brand Awareness,Active,24438,2024-09-17,2024-12-27,2024-09-12T00:00:00
66,Brand Awareness Campaign - Event,Event,Brand Awareness,Draft,121256,2022-02-19,2022-05-14,2022-02-11T00:00:00
67,Brand Awareness Campaign - Email,Email,Brand Awareness,Completed,7046,2020-03-30,2020-05-06,2020-03-23T00:00:00
68,FY2023 Brand Awareness - Webinar,Webinar,Brand Awareness,Completed,7356,2023-05-04,2023-08-07,2023-04-25T00:00:00
69,FY2021 Nurture - Content Syndication,Content Syndication,Nurture,Completed,38102,2021-07-17,2021-08-23,2021-07-04T00:00:00
70,FY2022 ABM - Event,Event,ABM,Active,129190,2022-09-19,2022-10-08,2022-09-06T00:00:00
71,FY2021 Event Promotion - Partner,Partner,Event Promotion,Completed,7100,2021-10-05,2021-10-16,2021-09-27T00:00:00
72,Nurture Campaign - Paid Social,Paid Social,Nurture,Paused,20321,2022-03-13,2022-07-04,2022-03-09T00:00:00
73,Thought Leadership Campaign - Event,,Thought Leadership,Active,86485,2022-10-16,2022-12-23,2022-10-02T00:00:00
74,FY2024 Demand Gen - Event,Event,Demand Gen,Completed,69322,2024-07-25,2024-09-26,2024-07-19T00:00:00
75,Product Launch Campaign - Webinar,Webinar,Product Launch,Draft,26326,2024-09-08,2024-12-29,2024-08-26T00:00:00
76,Nurture Campaign - Direct Mail,Direct Mail,Nurture,Completed,33535,2024-05-28,2024-07-01,2024-05-19T00:00:00
77,Referral - Event Promotion - Q4 2023,Referral,Event Promotion,Active,4667,2023-10-26,2023-12-11,2023-10-19T00:00:00
78,Paid Search - Brand Awareness - Q3 2023,Paid Search,Brand Awareness,Draft,108236,2023-08-08,2023-09-28,2023-08-02T00:00:00
79,Nurture Campaign - Partner,Partner,Nurture,Paused,7131,2021-03-21,2021-06-16,2021-03-18T00:00:00
80,ABM Campaign - Email,Email,ABM,Active,336,2022-12-27,2023-01-17,2022-12-22T00:00:00
81,FY2020 Product Launch - Content Syndication,Content Syndication,Product Launch,Completed,23958,2020-04-17,2020-05-10,2020-04-15T00:00:00
82,Paid Social - Product Launch - Q4 2021,Paid Social,Product Launch,Completed,7476,2021-11-03,2021-12-16,2021-11-01T00:00:00
83,ABM Campaign - Organic Search,Organic Search,ABM,Draft,2849,2021-06-13,2021-08-07,2021-06-01T00:00:00
84,FY2024 Nurture - Content Syndication,Content Syndication,Nurture,Active,,2024-01-08,2024-01-19,2024-01-05T00:00:00
85,FY2020 Thought Leadership - Organic Search,Organic Search,Thought Leadership,Completed,2540,2020-09-20,2020-10-20,2020-09-11T00:00:00
86,Paid Search - ABM - Q4 2020,Paid Search,ABM,Active,6870,2020-11-24,2021-02-11,2020-11-22T00:00:00
87,FY2021 Brand Awareness - Content Syndication,Content Syndication,Brand Awareness,Paused,,2021-07-29,2021-08-22,2021-07-21T00:00:00
88,Paid Search - Thought Leadership - Q2 2022,Paid Search,Thought Leadership,Completed,12296,2022-06-13,2022-08-21,2022-06-03T00:00:00
89,FY2021 Nurture - Content Syndication,Content Syndication,Nurture,Completed,16336,2021-01-02,2021-01-30,2020-12-31T00:00:00
90,Nurture Campaign - Paid Social,Paid Social,Nurture,Active,58381,2021-11-28,2022-01-10,2021-11-18T00:00:00
91,Direct Mail - Event Promotion - Q2 2020,Direct Mail,Event Promotion,Active,23176,2020-06-02,2020-09-17,2020-05-28T00:00:00
92,Organic Search - Product Launch - Q3 2020,Organic Search,Product Launch,Completed,3846,2020-09-02,2020-11-13,2020-08-21T00:00:00
93,Direct Mail - Event Promotion - Q4 2023,Direct Mail,Event Promotion,Paused,28460,2023-12-09,2024-03-03,2023-11-28T00:00:00
94,FY2024 Product Launch - Webinar,Webinar,Product Launch,Completed,9688,2024-12-19,2025-04-14,2024-12-10T00:00:00
95,Paid Search - ABM - Q2 2022,Paid Search,ABM,Completed,64175,2022-04-28,2022-07-19,2022-04-24T00:00:00
96,Organic Search - Thought Leadership - Q4 2021,Organic Search,Thought Leadership,Active,,2021-10-29,2021-11-07,2021-10-26T00:00:00
97,Email - Thought Leadership - Q3 2021,Email,Thought Leadership,Completed,2978,2021-07-20,2021-10-24,2021-07-11T00:00:00
98,Event - Demand Gen - Q4 2022,Event,Demand Gen,Completed,131347,2022-11-22,2023-03-21,2022-11-15T00:00:00
99,Referral - ABM - Q4 2020,Referral,ABM,Active,4347,2020-12-17,2021-02-11,2020-12-06T00:00:00
100,FY2021 Event Promotion - Content Syndication,Content Syndication,Event Promotion,Completed,28948,2021-08-13,2021-10-21,2021-07-31T00:00:00
101,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Active,9410,2021-02-09,2021-06-09,2021-01-27T00:00:00
102,Paid Search - Event Promotion - Q1 2020,Paid Search,Event Promotion,Active,,2020-03-04,2020-04-16,2020-02-23T00:00:00
103,Direct Mail - ABM - Q4 2022,Direct Mail,ABM,Completed,23134,2022-12-14,2023-01-09,2022-12-04T00:00:00
104,Brand Awareness Campaign - Paid Search,Paid Search,Brand Awareness,Completed,5089,2023-06-05,2023-08-16,2023-05-24T00:00:00
105,FY2020 Event Promotion - Webinar,Webinar,Event Promotion,Draft,25365,2020-03-10,2020-03-17,2020-03-04T00:00:00
106,Demand Gen Campaign - Paid Social,Paid Social,Demand Gen,Completed,36120,2023-06-01,2023-09-02,2023-05-29T00:00:00
107,FY2022 Event Promotion - Event,Event,Event Promotion,Completed,165297,2022-09-06,2022-09-18,2022-08-31T00:00:00
108,Product Launch Campaign - Partner,Partner,Product Launch,Completed,7428,2021-06-04,2021-09-29,2021-05-30T00:00:00
109,Product Launch Campaign - Paid Search,Paid Search,Product Launch,Paused,39128,2022-12-05,2023-02-09,2022-11-29T00:00:00
110,Direct Mail - Nurture - Q1 2024,Direct Mail,Nurture,Active,34061,2024-02-14,2024-02-24,2024-02-11T00:00:00
111,FY2020 Product Launch - Direct Mail,Direct Mail,Product Launch,Active,27606,2020-05-22,2020-08-07,2020-05-11T00:00:00
112,Direct Mail - Thought Leadership - Q1 2020,Direct Mail,Thought Leadership,Completed,21045,2020-01-28,2020-03-03,2020-01-22T00:00:00
113,Direct Mail - Thought Leadership - Q4 2021,Direct Mail,Thought Leadership,Completed,23614,2021-10-22,2022-01-31,2021-10-15T00:00:00
114,FY2020 Brand Awareness - Email,Email,Brand Awareness,Paused,2522,2020-08-21,2020-09-22,2020-08-14T00:00:00
115,Event Promotion Campaign - Email,Email,Event Promotion,Completed,,2023-08-27,2023-12-15,2023-08-14T00:00:00
116,FY2024 Product Launch - Email,Email,Product Launch,Completed,833,2024-12-02,2025-03-29,2024-11-19T00:00:00
117,Webinar - Nurture - Q3 2022,Webinar,Nurture,Completed,16473,2022-07-20,2022-10-04,2022-07-18T00:00:00
118,Product Launch Campaign - Event,Event,Product Launch,Active,27774,2023-10-19,2024-02-11,2023-10-11T00:00:00
119,FY2022 Product Launch - Event,Event,Product Launch,Completed,10320,2022-10-02,2022-12-21,2022-09-23T00:00:00
120,Event Promotion Campaign - Event,Event,Event Promotion,Active,81388,2020-08-06,2020-11-30,2020-08-02T00:00:00
121,FY2021 Product Launch - Direct Mail,Direct Mail,Product Launch,Completed,21942,2021-03-25,2021-04-11,2021-03-18T00:00:00
122,Paid Social - ABM - Q2 2020,Paid Social,ABM,Active,,2020-06-25,2020-09-30,2020-06-14T00:00:00
123,Content Syndication - Nurture - Q1 2020,Content Syndication,Nurture,Active,19752,2020-01-28,2020-02-23,2020-01-14T00:00:00
124,FY2021 Thought Leadership - Email,,Thought Leadership,Active,6631,2021-11-15,2021-11-29,2021-11-01T00:00:00
125,Demand Gen Campaign - Content Syndication,Content Syndication,Demand Gen,Completed,16190,2023-08-28,2023-10-06,2023-08-17T00:00:00
126,Email - Brand Awareness - Q3 2023,Email,Brand Awareness,Completed,5863,2023-08-22,2023-12-03,2023-08-20T00:00:00
127,FY2023 Demand Gen - Referral,Referral,Demand Gen,Paused,7477,2023-09-22,2023-12-22,2023-09-10T00:00:00
128,Webinar - Product Launch - Q3 2020,Webinar,Product Launch,Completed,12007,2020-08-24,2020-10-19,2020-08-11T00:00:00
129,ABM Campaign - Webinar,Webinar,ABM,Active,3947,2024-02-09,2024-03-23,2024-01-30T00:00:00
130,Organic Search - Event Promotion - Q4 2024,,Event Promotion,Completed,3422,2024-12-21,2025-03-16,2024-12-18T00:00:00
131,FY2020 Product Launch - Partner,Partner,Product Launch,Draft,-23985,2020-09-24,2020-10-30,2020-09-14T00:00:00
132,Email - Brand Awareness - Q3 2020,Email,Brand Awareness,Active,702,2020-08-24,2020-10-28,2020-08-15T00:00:00
133,Event Promotion Campaign - Referral,Referral,Event Promotion,Completed,12203,2022-03-24,2022-06-11,2022-03-11T00:00:00
134,Paid Search - ABM - Q1 2021,Paid Search,ABM,Completed,99737,2021-03-21,2021-05-13,2021-03-19T00:00:00
135,Paid Social - Brand Awareness - Q2 2024,Paid Social,Brand Awareness,Active,10277,2024-04-21,2024-08-01,2024-04-20T00:00:00
136,Direct Mail - Product Launch - Q1 2021,Direct Mail,Product Launch,Active,35053,2021-01-03,2021-01-20,2020-12-25T00:00:00
137,Product Launch Campaign - Email,Email,Product Launch,Completed,10227,2020-09-22,2020-11-01,2020-09-12T00:00:00
138,Paid Social - Event Promotion - Q3 2024,Paid Social,Event Promotion,Completed,-94871,2024-07-22,2024-09-26,2024-07-20T00:00:00
139,Product Launch Campaign - Webinar,Webinar,Product Launch,Completed,4713,2020-08-29,2020-11-15,2020-08-25T00:00:00
140,Direct Mail - Product Launch - Q2 2021,Direct Mail,Product Launch,Active,11612,2021-06-23,2021-07-18,2021-06-21T00:00:00
141,Nurture Campaign - Direct Mail,Direct Mail,Nurture,Completed,23161,2023-01-12,2023-04-27,2023-01-04T00:00:00
142,Thought Leadership Campaign - Event,Event,Thought Leadership,Completed,123350,2022-10-13,2023-01-04,2022-10-09T00:00:00
143,Thought Leadership Campaign - Partner,Partner,Thought Leadership,Completed,18751,2022-05-31,2022-09-09,2022-05-22T00:00:00
144,Product Launch Campaign - Referral,Referral,Product Launch,Completed,7057,2022-11-16,2023-02-23,2022-11-10T00:00:00
145,Direct Mail - Product Launch - Q1 2023,Direct Mail,Product Launch,Active,19503,2023-03-18,2023-03-26,2023-03-06T00:00:00
146,Nurture Campaign - Email,Email,Nurture,Draft,9727,2023-04-30,2023-06-02,2023-04-25T00:00:00
147,Brand Awareness Campaign - Paid Search,Paid Search,Brand Awareness,Completed,88482,2023-09-22,2023-12-22,2023-09-21T00:00:00
148,Organic Search - ABM - Q3 2021,Organic Search,ABM,Completed,3107,2021-08-17,2021-10-19,2021-08-07T00:00:00
149,FY2024 Event Promotion - Webinar,Webinar,Event Promotion,Completed,6906,2024-03-12,2024-07-04,2024-03-09T00:00:00
150,FY2020 Brand Awareness - Email,Email,Brand Awareness,Completed,9381,2020-08-02,2020-10-20,2020-07-28T00:00:00
151,FY2024 ABM - Paid Search,Paid Search,ABM,Completed,19370,2024-07-13,2024-09-10,2024-06-29T00:00:00
152,FY2024 Thought Leadership - Content Syndication,Content Syndication,Thought Leadership,Paused,27216,2024-08-03,2024-09-11,2024-07-21T00:00:00
153,FY2024 Brand Awareness - Organic Search,Organic Search,Brand Awareness,Completed,4469,2024-06-22,2024-09-01,2024-06-09T00:00:00
154,Thought Leadership Campaign - Partner,Partner,Thought Leadership,Draft,19180,2021-06-08,2021-08-07,2021-06-03T00:00:00
155,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Completed,7556,2024-08-24,2024-10-04,2024-08-18T00:00:00
156,Event Promotion Campaign - Organic Search,Organic Search,Event Promotion,Active,1907,2020-07-22,2020-08-09,2020-07-18T00:00:00
157,Paid Search - Nurture - Q3 2021,Paid Search,Nurture,Completed,21492,2021-09-13,2021-11-15,2021-09-08T00:00:00
158,Brand Awareness Campaign - Partner,Partner,Brand Awareness,Active,24971,2020-07-01,2020-08-22,2020-06-18T00:00:00
159,Product Launch Campaign - Paid Search,Paid Search,Product Launch,Active,26894,2022-05-05,2022-08-16,2022-04-27T00:00:00
160,FY2021 Thought Leadership - Partner,Partner,Thought Leadership,Completed,19576,2021-03-10,2021-04-15,2021-03-07T00:00:00
161,Webinar - Brand Awareness - Q3 2024,Webinar,Brand Awareness,Completed,23713,2024-08-17,2024-09-04,2024-08-04T00:00:00
162,Partner - Nurture - Q1 2023,Partner,Nurture,Completed,15956,2023-02-01,2023-02-17,2023-01-31T00:00:00
163,FY2024 Demand Gen - Partner,Partner,Demand Gen,Completed,7148,2024-08-08,2024-08-20,2024-08-04T00:00:00
164,FY2023 Nurture - Direct Mail,Direct Mail,Nurture,Paused,25560,2023-05-25,2023-07-22,2023-05-13T00:00:00
165,FY2020 Event Promotion - Email,Email,Event Promotion,Draft,9697,2020-09-12,2020-10-20,2020-09-02T00:00:00
166,Paid Social - Thought Leadership - Q4 2023,Paid Social,Thought Leadership,Completed,,2023-11-30,2024-03-17,2023-11-23T00:00:00
167,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Completed,9186,2020-07-12,2020-10-13,2020-07-04T00:00:00
168,FY2024 Demand Gen - Paid Social,Paid Social,Demand Gen,Active,86501,2024-01-14,2024-05-09,2024-01-08T00:00:00
169,Organic Search - Demand Gen - Q4 2022,,Demand Gen,Draft,,2022-11-12,2023-02-15,2022-11-01T00:00:00
170,Brand Awareness Campaign - Event,Event,Brand Awareness,Active,108938,2020-01-01,2020-02-19,2019-12-24T00:00:00
171,Webinar - Nurture - Q4 2020,Webinar,Nurture,Draft,20260,2020-10-19,2021-02-02,2020-10-10T00:00:00
172,Brand Awareness Campaign - Organic Search,Organic Search,Brand Awareness,Completed,2557,2022-05-07,2022-08-01,2022-05-01T00:00:00
173,Webinar - Demand Gen - Q4 2022,Webinar,Demand Gen,Completed,22222,2022-10-13,2023-02-04,2022-10-11T00:00:00
174,FY2021 Product Launch - Partner,Partner,Product Launch,Completed,11215,2021-03-27,2021-04-09,2021-03-23T00:00:00
175,FY2021 Demand Gen - Email,,Demand Gen,Paused,693,2021-01-22,2021-03-28,2021-01-21T00:00:00
176,Product Launch Campaign - Paid Social,Paid Social,Product Launch,Completed,45198,2021-07-09,2021-10-14,2021-06-26T00:00:00
177,Nurture Campaign - Email,Email,Nurture,Completed,7627,2020-12-16,2021-03-01,2020-12-05T00:00:00
178,Direct Mail - Product Launch - Q4 2023,Direct Mail,Product Launch,Completed,27540,2023-12-20,2024-04-14,2023-12-14T00:00:00
179,Nurture Campaign - Referral,Referral,Nurture,Completed,-8337,2022-01-09,2022-02-14,2022-01-01T00:00:00
180,ABM Campaign - Organic Search,Organic Search,ABM,Active,443,2024-11-11,2024-12-19,2024-11-07T00:00:00
181,Referral - Product Launch - Q1 2020,Referral,Product Launch,Completed,10927,2020-02-11,2020-04-03,2020-01-29T00:00:00
182,Product Launch Campaign - Event,Event,Product Launch,Completed,110908,2022-03-18,2022-04-15,2022-03-13T00:00:00
183,Event Promotion Campaign - Event,Event,Event Promotion,Completed,70958,2022-09-13,2022-09-25,2022-09-06T00:00:00
184,Event - Nurture - Q3 2020,Event,Nurture,Completed,60128,2020-08-17,2020-10-05,2020-08-10T00:00:00
185,FY2022 Product Launch - Referral,Referral,Product Launch,Draft,2559,2022-04-22,2022-05-23,2022-04-13T00:00:00
186,FY2024 Demand Gen - Email,Email,Demand Gen,Completed,3760,2024-09-07,2024-12-01,2024-08-30T00:00:00
187,Organic Search - Thought Leadership - Q4 2022,Organic Search,Thought Leadership,Completed,,2022-12-08,2023-03-27,2022-12-02T00:00:00
188,Thought Leadership Campaign - Paid Social,Paid Social,Thought Leadership,Completed,10863,2024-10-21,2025-02-13,2024-10-15T00:00:00
189,Paid Search - Product Launch - Q3 2021,Paid Search,Product Launch,Paused,7806,2021-08-15,2021-10-10,2021-08-03T00:00:00
190,Nurture Campaign - Referral,Referral,Nurture,Active,7502,2024-07-15,2024-11-10,2024-07-10T00:00:00
191,FY2023 Event Promotion - Paid Social,Paid Social,Event Promotion,Completed,50991,2023-11-26,2023-12-28,2023-11-17T00:00:00
192,Email - Nurture - Q1 2021,Email,Nurture,Completed,6361,2021-02-15,2021-02-27,2021-02-05T00:00:00
193,FY2020 Brand Awareness - Paid Search,Paid Search,Brand Awareness,Completed,61297,2020-07-01,2020-08-04,2020-06-20T00:00:00
194,Content Syndication - Demand Gen - Q4 2020,Content Syndication,Demand Gen,Completed,25146,2020-11-11,2020-12-21,2020-11-08T00:00:00
195,Paid Social - Nurture - Q4 2021,Paid Social,Nurture,Draft,51882,2021-11-28,2022-02-13,2021-11-22T00:00:00
196,ABM Campaign - Direct Mail,Direct Mail,ABM,Completed,8747,2023-02-17,2023-03-19,2023-02-03T00:00:00
197,Event - Brand Awareness - Q4 2022,Event,Brand Awareness,Completed,145425,2022-10-09,2022-11-04,2022-10-03T00:00:00
198,Demand Gen Campaign - Referral,,Demand Gen,Active,5768,2023-12-12,2023-12-31,2023-11-29T00:00:00
199,FY2024 Demand Gen - Organic Search,Organic Search,Demand Gen,Completed,2972,2024-02-19,2024-05-12,2024-02-09T00:00:00
200,FY2024 Thought Leadership - Organic Search,Organic Search,Thought Leadership,Completed,2794,2024-05-06,2024-08-19,2024-05-03T00:00:00
