tracker_id,call_id,tracker_name,tracker_category,mention_count
129,49,Risk - No Decision Likely,Risk,3
130,49,Competitor - CompetitorB,Competitor,4
131,50,Budget - Approved,Budget,5
132,50,Budget - Reallocating Funds,Budget,1
133,50,,,3
134,51,Objection - Need More Stakeholder Buy-in,Objection,1
135,51,Budget - Approved,Budget,5
136,51,Technical - Custom Workflow Needs,Technical,6
137,53,Budget - Reallocating Funds,Budget,2
138,53,Pricing - Volume Discount,Pricing,7
139,53,Technical - SSO / SAML Setup,Technical,5
140,54,Competitor - CompetitorE,Competitor,7
141,54,Budget - Needs Approval,Budget,1
142,54,Competitor - Open Source Alternative,Competitor,4
143,54,POC Requested,Buying Signal,6
144,54,Risk - Budget Freeze,Risk,3
145,54,Reference Call Requested,Buying Signal,6
146,57,Risk - Legal Blockers,Risk,7
147,57,Competitor - CompetitorD,Competitor,5
148,57,Pricing - Compared to Competitor,Pricing,8
149,57,Risk - No Decision Likely,Risk,6
150,58,Pricing - Enterprise Tier,Pricing,3
151,58,Technical - Data Migration Plan,Technical,5
152,58,Competitor - CompetitorA,Competitor,5
153,58,Technical - Custom Workflow Needs,Technical,6
154,58,Contract Review Started,Buying Signal,2
155,58,Competitor - Open Source Alternative,Competitor,5
156,60,Decision Maker Involved,Buying Signal,8
157,62,Risk - Stakeholder Pushback,Risk,8
158,62,Technical - Performance Requirements,Technical,6
159,63,Budget - Approved,Budget,2
160,63,Competitor - CompetitorA,Competitor,4
161,63,Next Steps Discussed,Buying Signal,1
162,64,Pricing - Volume Discount,Pricing,1
163,64,Security - SOC2 Compliance,Security,2
164,64,Reference Call Requested,Buying Signal,1
165,65,Pricing - Volume Discount,Pricing,3
166,65,POC Requested,Buying Signal,4
167,65,Competitor - Open Source Alternative,Competitor,5
168,66,Decision Maker Involved,Buying Signal,6
169,66,Competitor - CompetitorC,Competitor,5
170,66,Technical - Data Migration Plan,Technical,3
171,66,Pricing - Requested Quote,Pricing,4
172,66,Risk - No Decision Likely,Risk,6
173,66,Pricing - Compared to Competitor,Pricing,5
174,68,Objection - Too Complex,Objection,7
175,68,,,2
176,68,Objection - Team Adoption Concern,Objection,6
177,68,Budget - Reallocating Funds,Budget,3
178,68,Risk - Champion Leaving,Risk,7
179,71,Objection - Team Adoption Concern,Objection,3
180,73,Risk - Legal Blockers,Risk,7
181,73,Pricing - Enterprise Tier,Pricing,6
182,73,Competitor - CompetitorE,Competitor,1
183,73,Security - Data Residency,Security,6
184,73,Discount - Multi-Year Ask,Discount,4
185,73,Competitor - CompetitorA,Competitor,4
186,75,Procurement Process Started,Buying Signal,1
187,75,Technical - Data Migration Plan,Technical,2
188,75,Pricing - Too Expensive Objection,Pricing,-4
189,76,Competitor - CompetitorC,Competitor,5
190,76,Discount - Competitive Match,Discount,8
191,76,Competitor - CompetitorD,Competitor,7
192,77,Pricing - Too Expensive Objection,Pricing,7
193,77,Competitor - Open Source Alternative,Competitor,8
194,77,Competitor - CompetitorE,Competitor,1
195,78,Objection - Team Adoption Concern,Objection,5
196,78,Budget - Freeze Mentioned,Budget,8
197,78,Objection - Need More Stakeholder Buy-in,Objection,5
198,78,Budget - Needs Approval,Budget,6
199,78,Objection - Missing Feature,Objection,4
200,79,Security - Penetration Testing,Security,7
201,79,Risk - Champion Leaving,Risk,5
202,80,Pricing - Too Expensive Objection,Pricing,2
203,80,Objection - Need More Stakeholder Buy-in,Objection,1
204,80,Budget - Freeze Mentioned,Budget,4
205,81,,,1
206,81,Pricing - Too Expensive Objection,Pricing,7
207,82,,,3
208,82,Security - SSO Requirement,Security,2
209,86,Competitor - CompetitorD,Competitor,1
210,86,Objection - Missing Feature,Objection,8
211,86,Pricing - Too Expensive Objection,Pricing,1
212,87,Pricing - Compared to Competitor,Pricing,4
213,87,Risk - Champion Leaving,Risk,1
214,87,Competitor - CompetitorA,Competitor,2
215,88,Budget - Approved,Budget,4
216,88,Risk - Competitor Evaluation,Risk,3
217,89,Risk - No Decision Likely,Risk,5
218,89,Competitor - CompetitorE,Competitor,7
219,89,Decision Timeline Confirmed,Buying Signal,5
220,90,Discount - Competitive Match,Discount,4
221,90,Discount - Multi-Year Ask,Discount,6
222,90,Technical - Performance Requirements,Technical,8
223,93,Budget - Freeze Mentioned,Budget,4
224,93,Reference Call Requested,Buying Signal,7
225,93,Technical - Performance Requirements,Technical,1
226,93,Technical - Data Migration Plan,Technical,-2
227,94,Risk - Budget Freeze,Risk,4
228,94,Risk - Champion Leaving,Risk,1
229,94,Pricing - Too Expensive Objection,Pricing,4
230,95,Pricing - Volume Discount,Pricing,3
231,95,Objection - Too Complex,Objection,8
232,95,Objection - Switching Cost,Objection,1
233,95,Competitor - CompetitorA,Competitor,1
234,95,Pricing - Too Expensive Objection,Pricing,6
235,96,Competitor - CompetitorE,Competitor,5
236,96,Pricing - Compared to Competitor,Pricing,3
237,96,POC Requested,Buying Signal,7
238,98,Competitor - CompetitorE,Competitor,8
239,98,Security - SOC2 Compliance,Security,1
240,98,Risk - Budget Freeze,Risk,7
241,98,Risk - Champion Leaving,Risk,6
242,98,Objection - Need More Stakeholder Buy-in,Objection,5
243,101,Pricing - Volume Discount,Pricing,5
244,101,Risk - Stakeholder Pushback,Risk,3
245,101,,,6
246,102,Pricing - Compared to Competitor,Pricing,8
247,103,Competitor - CompetitorA,Competitor,1
248,103,Objection - Missing Feature,Objection,5
249,103,POC Requested,Buying Signal,6
250,103,Pricing - Volume Discount,Pricing,2
251,103,Risk - Budget Freeze,Risk,7
252,104,Security - SSO Requirement,Security,-4
253,104,Objection - Too Complex,Objection,6
254,105,Pricing - Compared to Competitor,Pricing,1
255,105,Decision Maker Involved,Buying Signal,8
256,105,Procurement Process Started,Buying Signal,6
257,106,Pricing - Volume Discount,Pricing,1
258,106,Competitor - Open Source Alternative,Competitor,2
259,106,Risk - Delayed Timeline,Risk,8
260,106,Budget - Approved,Budget,4
261,107,Pricing - Requested Quote,Pricing,4
262,107,Competitor - Open Source Alternative,Competitor,7
263,107,,,7
264,107,Objection - Switching Cost,Objection,1
265,107,Competitor - CompetitorC,Competitor,4
266,108,Objection - Team Adoption Concern,Objection,1
267,108,Competitor - CompetitorB,Competitor,6
268,108,Risk - Delayed Timeline,Risk,8
269,109,Risk - Budget Freeze,Risk,6
270,110,Risk - Delayed Timeline,Risk,7
271,110,Pricing - Requested Quote,Pricing,7
272,110,Objection - Team Adoption Concern,Objection,6
273,110,Competitor - CompetitorB,Competitor,6
274,110,Risk - Champion Leaving,Risk,4
275,110,Objection - Switching Cost,Objection,4
276,110,Discount - Multi-Year Ask,Discount,8
277,111,Next Steps Discussed,Buying Signal,6
278,111,Budget - Needs Approval,Budget,6
279,111,Technical - Custom Workflow Needs,Technical,3
280,111,Discount - End of Quarter,Discount,2
281,112,,,7
282,112,Objection - Switching Cost,Objection,5
283,112,Decision Timeline Confirmed,Buying Signal,8
284,112,Budget - Freeze Mentioned,Budget,1
285,114,,,5
286,114,Risk - Champion Leaving,Risk,6
287,114,Security - Penetration Testing,Security,4
288,114,Competitor - CompetitorD,Competitor,1
289,114,Competitor - CompetitorA,Competitor,1
290,115,,,4
291,115,Competitor - Open Source Alternative,Competitor,7
292,118,Risk - Champion Leaving,Risk,3
293,118,Budget - Approved,Budget,2
294,118,Competitor - CompetitorB,Competitor,2
295,118,Budget - Needs Approval,Budget,2
296,118,Budget - Freeze Mentioned,Budget,1
297,119,Technical - Data Migration Plan,Technical,1
298,125,Risk - Budget Freeze,Risk,2
299,125,Security - GDPR Compliance,Security,4
300,125,Competitor - Open Source Alternative,Competitor,4
301,126,Competitor - CompetitorD,Competitor,5
302,126,Technical - Performance Requirements,Technical,4
303,126,Budget - Approved,Budget,7
304,126,Pricing - Compared to Competitor,Pricing,1
305,126,Competitor - Open Source Alternative,Competitor,2
306,129,Discount - Multi-Year Ask,Discount,7
307,129,Competitor - CompetitorD,Competitor,8
308,129,Competitor - Open Source Alternative,Competitor,7
309,129,Discount - Competitive Match,Discount,8
310,129,Risk - Budget Freeze,Risk,5
311,129,,,6
312,130,Pricing - Enterprise Tier,Pricing,7
313,130,Objection - Switching Cost,Objection,3
314,130,Risk - Stakeholder Pushback,Risk,1
315,130,Security - Penetration Testing,Security,3
316,132,Discount - End of Quarter,Discount,5
317,132,Budget - Freeze Mentioned,Budget,6
318,132,Objection - Too Complex,Objection,6
319,135,Security - Penetration Testing,Security,5
320,135,Discount - Multi-Year Ask,Discount,2
321,135,Pricing - Too Expensive Objection,Pricing,7
322,135,Security - GDPR Compliance,Security,4
323,135,POC Requested,Buying Signal,8
324,137,Competitor - CompetitorE,Competitor,6
325,139,Security - Data Residency,Security,4
326,139,Risk - Budget Freeze,Risk,3
327,139,Contract Review Started,Buying Signal,5
328,139,Risk - Delayed Timeline,Risk,2
329,140,Pricing - Compared to Competitor,Pricing,1
330,141,Risk - No Decision Likely,Risk,5
331,141,Competitor - CompetitorE,Competitor,8
332,142,Risk - Stakeholder Pushback,Risk,5
333,142,Competitor - CompetitorC,Competitor,2
334,142,Technical - Custom Workflow Needs,Technical,6
335,142,Pricing - Volume Discount,Pricing,7
336,142,Competitor - CompetitorD,Competitor,1
337,144,Competitor - CompetitorE,Competitor,1
338,144,Risk - Delayed Timeline,Risk,7
339,145,Pricing - Requested Quote,Pricing,2
340,145,Pricing - Compared to Competitor,Pricing,6
341,145,Security - GDPR Compliance,Security,5
342,145,Technical - SSO / SAML Setup,Technical,4
343,145,Technical - Performance Requirements,Technical,7
344,146,POC Requested,Buying Signal,5
345,146,Discount - Competitive Match,Discount,7
346,146,Technical - API Integration,Technical,6
347,146,Budget - Freeze Mentioned,Budget,1
348,146,Budget - Approved,Budget,7
349,146,Pricing - Volume Discount,Pricing,8
350,147,Objection - Team Adoption Concern,Objection,4
351,147,Pricing - Volume Discount,Pricing,2
352,147,Competitor - CompetitorC,Competitor,3
353,147,,,7
354,147,Objection - Too Complex,Objection,8
355,148,Budget - Freeze Mentioned,Budget,2
356,151,Risk - Delayed Timeline,Risk,6
357,152,Budget - Freeze Mentioned,Budget,3
358,152,Technical - Custom Workflow Needs,Technical,7
359,152,Budget - Reallocating Funds,Budget,5
360,152,Technical - Data Migration Plan,Technical,3
361,152,POC Requested,Buying Signal,8
362,152,Discount - Competitive Match,Discount,7
363,153,POC Requested,Buying Signal,1
364,153,Objection - Need More Stakeholder Buy-in,Objection,5
365,153,Competitor - CompetitorA,Competitor,5
366,153,Risk - Champion Leaving,Risk,5
367,154,Pricing - Enterprise Tier,Pricing,2
368,154,Competitor - CompetitorB,Competitor,7
369,154,Procurement Process Started,Buying Signal,7
370,154,Pricing - Requested Quote,Pricing,7
371,155,Risk - Stakeholder Pushback,Risk,6
372,155,Competitor - CompetitorB,Competitor,8
373,157,Contract Review Started,Buying Signal,5
374,157,Security - GDPR Compliance,Security,5
375,157,Competitor - CompetitorC,Competitor,7
376,157,Security - SOC2 Compliance,Security,8
377,158,,,5
378,158,Reference Call Requested,Buying Signal,5
379,158,Pricing - Enterprise Tier,Pricing,3
380,158,Procurement Process Started,Buying Signal,8
381,159,Budget - Reallocating Funds,Budget,5
382,159,POC Requested,Buying Signal,3
383,159,Pricing - Compared to Competitor,Pricing,4
384,161,Risk - Delayed Timeline,Risk,5
385,161,Next Steps Discussed,Buying Signal,4
386,161,Budget - Needs Approval,Budget,1
387,161,Pricing - Compared to Competitor,Pricing,3
388,161,Budget - Approved,Budget,3
389,163,Objection - Need More Stakeholder Buy-in,Objection,5
390,163,Competitor - CompetitorA,Competitor,2
391,163,Budget - Freeze Mentioned,Budget,5
392,164,Budget - Freeze Mentioned,Budget,4
393,164,Objection - Switching Cost,Objection,8
394,168,Competitor - Open Source Alternative,Competitor,7
395,168,Competitor - CompetitorC,Competitor,2
396,168,Budget - Reallocating Funds,Budget,-8
397,169,Risk - Stakeholder Pushback,Risk,7
398,169,Reference Call Requested,Buying Signal,8
399,169,Decision Timeline Confirmed,Buying Signal,1
400,169,Budget - Freeze Mentioned,Budget,4
401,170,Technical - SSO / SAML Setup,Technical,4
402,170,Risk - Legal Blockers,Risk,2
403,170,Objection - Missing Feature,Objection,1
404,170,Discount - Competitive Match,Discount,8
405,172,Budget - Freeze Mentioned,Budget,3
406,172,Security - Data Residency,Security,2
407,172,Competitor - CompetitorE,Competitor,5
408,172,Competitor - CompetitorD,Competitor,6
409,172,Objection - Missing Feature,Objection,1
410,173,,,8
411,173,Reference Call Requested,Buying Signal,1
412,173,Risk - Competitor Evaluation,Risk,1
413,173,Budget - Needs Approval,Budget,3
414,174,Decision Maker Involved,Buying Signal,7
415,174,Discount - End of Quarter,Discount,5
416,180,Budget - Approved,Budget,3
417,180,Pricing - Too Expensive Objection,Pricing,8
418,181,POC Requested,Buying Signal,8
419,181,Pricing - Requested Quote,Pricing,7
420,181,Discount - Multi-Year Ask,Discount,1
421,182,Risk - Delayed Timeline,Risk,5
422,182,Decision Maker Involved,Buying Signal,8
423,183,Security - SOC2 Compliance,Security,4
424,183,Next Steps Discussed,Buying Signal,8
425,184,Competitor - CompetitorD,Competitor,8
426,184,Competitor - Open Source Alternative,Competitor,3
427,184,Pricing - Compared to Competitor,Pricing,3
428,184,Risk - Legal Blockers,Risk,5
429,184,Competitor - CompetitorB,Competitor,3
430,184,Technical - Performance Requirements,Technical,3
431,184,Risk - Competitor Evaluation,Risk,1
432,184,Risk - Budget Freeze,Risk,8
433,185,Risk - Stakeholder Pushback,Risk,8
434,185,Technical - Data Migration Plan,Technical,6
435,185,Objection - Team Adoption Concern,Objection,3
436,186,Risk - Champion Leaving,Risk,6
437,186,Budget - Approved,Budget,8
438,186,Pricing - Compared to Competitor,Pricing,5
439,186,Competitor - CompetitorB,Competitor,2
440,186,Discount - Multi-Year Ask,Discount,1
441,188,Competitor - CompetitorA,Competitor,6
442,188,Risk - Budget Freeze,Risk,5
443,189,Competitor - CompetitorE,Competitor,2
444,189,Risk - Stakeholder Pushback,Risk,2
445,189,Reference Call Requested,Buying Signal,3
446,189,Pricing - Requested Quote,Pricing,4
447,189,Competitor - CompetitorC,Competitor,7
448,190,Pricing - Enterprise Tier,Pricing,1
449,190,Competitor - CompetitorC,Competitor,7
450,190,Budget - Needs Approval,Budget,6
451,192,Competitor - CompetitorC,Competitor,2
452,192,Objection - Team Adoption Concern,Objection,7
453,192,Objection - Too Complex,Objection,8
454,193,Competitor - CompetitorD,Competitor,1
455,193,Competitor - Open Source Alternative,Competitor,1
456,193,Technical - API Integration,Technical,8
457,193,Risk - Delayed Timeline,Risk,7
458,194,Risk - Competitor Evaluation,Risk,1
459,194,Security - SOC2 Compliance,Security,7
460,194,Competitor - CompetitorD,Competitor,3
461,195,Competitor - CompetitorB,Competitor,1
462,195,Technical - SSO / SAML Setup,Technical,5
463,196,Objection - Need More Stakeholder Buy-in,Objection,5
464,196,Pricing - Too Expensive Objection,Pricing,7
465,196,Technical - Custom Workflow Needs,Technical,4
466,196,Objection - Missing Feature,Objection,4
467,196,Discount - Competitive Match,Discount,4
468,197,Competitor - CompetitorB,Competitor,5
469,197,Objection - Too Complex,Objection,1
470,199,Reference Call Requested,Buying Signal,6
471,199,Budget - Reallocating Funds,Budget,3
472,199,Objection - Switching Cost,Objection,5
473,199,Competitor - Open Source Alternative,Competitor,5
474,199,Competitor - CompetitorD,Competitor,6
475,199,Pricing - Enterprise Tier,Pricing,2
476,200,Competitor - CompetitorD,Competitor,7
477,200,Decision Timeline Confirmed,Buying Signal,5
478,200,Budget - Freeze Mentioned,Budget,2
479,200,Competitor - CompetitorE,Competitor,4
480,200,Risk - Budget Freeze,Risk,4
481,201,Decision Timeline Confirmed,Buying Signal,1
482,202,Competitor - CompetitorE,Competitor,5
483,202,Security - Data Residency,Security,6
484,203,Competitor - Open Source Alternative,Competitor,4
485,203,Pricing - Enterprise Tier,Pricing,4
486,203,Competitor - CompetitorD,Competitor,3
487,204,Technical - SSO / SAML Setup,Technical,1
488,204,Technical - API Integration,Technical,3
489,204,Risk - Competitor Evaluation,Risk,3
490,204,Competitor - CompetitorD,Competitor,8
491,204,Discount - Competitive Match,Discount,6
492,204,Procurement Process Started,Buying Signal,5
493,207,Risk - Stakeholder Pushback,Risk,5
494,207,Objection - Missing Feature,Objection,7
495,207,,,4
496,207,Technical - Performance Requirements,Technical,6
497,208,Risk - No Decision Likely,Risk,3
498,208,Risk - Champion Leaving,Risk,5
499,208,Competitor - Open Source Alternative,Competitor,6
500,208,Risk - Delayed Timeline,Risk,8
501,209,Pricing - Volume Discount,Pricing,2
502,209,Security - Penetration Testing,Security,6
503,209,Objection - Team Adoption Concern,Objection,6
504,209,Technical - Data Migration Plan,Technical,3
505,210,Competitor - CompetitorD,Competitor,8
506,210,Pricing - Volume Discount,Pricing,8
507,213,Competitor - CompetitorB,Competitor,5
508,213,Objection - Missing Feature,Objection,7
509,214,Objection - Team Adoption Concern,Objection,6
510,214,Procurement Process Started,Buying Signal,6
511,214,Competitor - CompetitorA,Competitor,2
512,216,Technical - Custom Workflow Needs,Technical,7
513,216,Security - SOC2 Compliance,Security,8
514,216,Budget - Reallocating Funds,Budget,1
515,216,Security - SSO Requirement,Security,1
516,216,Technical - SSO / SAML Setup,Technical,5
517,217,Technical - API Integration,Technical,3
518,217,Security - SOC2 Compliance,Security,1
519,217,Reference Call Requested,Buying Signal,5
520,217,POC Requested,Buying Signal,2
521,217,Budget - Reallocating Funds,Budget,3
522,217,Objection - Team Adoption Concern,Objection,6
523,219,Decision Maker Involved,Buying Signal,6
524,220,Pricing - Enterprise Tier,Pricing,1
525,220,,,7
526,220,Objection - Missing Feature,Objection,-6
527,220,Risk - Champion Leaving,Risk,4
528,222,POC Requested,Buying Signal,8
529,222,Security - Penetration Testing,Security,7
530,222,Security - SSO Requirement,Security,8
531,222,Procurement Process Started,Buying Signal,7
532,222,Pricing - Compared to Competitor,Pricing,3
533,223,Objection - Missing Feature,Objection,4
534,223,Next Steps Discussed,Buying Signal,5
535,223,Risk - Budget Freeze,Risk,5
536,223,Risk - Competitor Evaluation,Risk,3
537,223,Pricing - Too Expensive Objection,Pricing,7
538,223,Technical - Data Migration Plan,Technical,-5
539,223,Contract Review Started,Buying Signal,8
540,223,Technical - Performance Requirements,Technical,8
541,226,Competitor - CompetitorD,Competitor,5
542,226,Technical - Data Migration Plan,Technical,3
543,226,Discount - Competitive Match,Discount,6
544,226,Risk - Champion Leaving,Risk,7
545,226,Pricing - Compared to Competitor,Pricing,3
546,227,Risk - Champion Leaving,Risk,6
547,227,Budget - Freeze Mentioned,Budget,8
548,227,Objection - Switching Cost,Objection,6
549,227,Risk - Legal Blockers,Risk,2
550,227,Reference Call Requested,Buying Signal,6
551,228,Security - Penetration Testing,Security,3
552,228,Decision Maker Involved,Buying Signal,2
553,229,Technical - Data Migration Plan,Technical,3
554,229,Competitor - CompetitorE,Competitor,6
555,230,Competitor - CompetitorA,Competitor,7
556,230,Budget - Reallocating Funds,Budget,7
557,230,Discount - Multi-Year Ask,Discount,5
558,232,Technical - Data Migration Plan,Technical,3
559,232,Security - Penetration Testing,Security,2
560,232,Discount - End of Quarter,Discount,8
561,232,Budget - Approved,Budget,1
562,232,Pricing - Too Expensive Objection,Pricing,2
563,233,Objection - Switching Cost,Objection,3
564,233,Budget - Freeze Mentioned,Budget,6
565,233,Competitor - CompetitorD,Competitor,5
566,233,Discount - Competitive Match,Discount,6
567,234,POC Requested,Buying Signal,1
568,234,Pricing - Requested Quote,Pricing,5
569,234,Technical - Performance Requirements,Technical,7
570,234,Procurement Process Started,Buying Signal,3
571,234,Technical - Custom Workflow Needs,Technical,1
572,234,Technical - API Integration,Technical,2
573,234,Pricing - Volume Discount,Pricing,8
574,235,Risk - Competitor Evaluation,Risk,6
575,235,Security - SSO Requirement,Security,8
576,235,Discount - Multi-Year Ask,Discount,1
577,235,Pricing - Volume Discount,Pricing,1
578,235,Pricing - Compared to Competitor,Pricing,7
579,235,Technical - Data Migration Plan,Technical,7
580,238,Competitor - CompetitorC,Competitor,4
581,238,POC Requested,Buying Signal,4
582,238,Discount - Competitive Match,Discount,1
583,238,Discount - End of Quarter,Discount,5
584,238,Objection - Need More Stakeholder Buy-in,Objection,8
585,239,Risk - Delayed Timeline,Risk,5
586,239,Risk - Champion Leaving,Risk,5
587,239,Budget - Needs Approval,Budget,2
588,239,Risk - Budget Freeze,Risk,8
589,239,Competitor - CompetitorB,Competitor,3
590,240,Risk - Budget Freeze,Risk,3
591,240,Risk - Competitor Evaluation,Risk,7
592,240,Discount - End of Quarter,Discount,3
593,240,Competitor - Open Source Alternative,Competitor,6
594,240,Technical - Data Migration Plan,Technical,3
595,240,Competitor - CompetitorD,Competitor,5
596,243,POC Requested,Buying Signal,4
597,243,Pricing - Enterprise Tier,Pricing,3
598,243,Pricing - Requested Quote,Pricing,3
599,244,Objection - Too Complex,Objection,5
600,244,Budget - Reallocating Funds,Budget,4
601,244,Competitor - CompetitorD,Competitor,5
602,246,Risk - Competitor Evaluation,Risk,1
603,246,Objection - Switching Cost,Objection,4
604,246,Objection - Missing Feature,Objection,7
605,247,Risk - Legal Blockers,Risk,6
606,247,Pricing - Volume Discount,Pricing,5
607,247,Competitor - Open Source Alternative,Competitor,5
608,247,Security - Data Residency,Security,3
609,249,Reference Call Requested,Buying Signal,8
610,251,Technical - SSO / SAML Setup,Technical,8
611,251,Pricing - Compared to Competitor,Pricing,6
612,251,Competitor - CompetitorC,Competitor,5
613,251,Technical - Data Migration Plan,Technical,5
614,251,Technical - API Integration,Technical,7
615,253,Technical - SSO / SAML Setup,Technical,2
616,253,Competitor - CompetitorA,Competitor,1
617,254,Competitor - CompetitorA,Competitor,3
618,254,Risk - Budget Freeze,Risk,8
619,254,Risk - Legal Blockers,Risk,3
620,255,Technical - SSO / SAML Setup,Technical,5
621,255,Discount - Multi-Year Ask,Discount,7
622,257,Technical - API Integration,Technical,8
623,257,Technical - Data Migration Plan,Technical,3
624,258,Competitor - Open Source Alternative,Competitor,6
