call_id,opp_id,owner_id,call_date,duration_minutes,direction,call_type,disposition,num_participants,talk_ratio_rep,longest_monologue_sec,question_count,next_steps_mentioned
72,4000,6,2021-12-29T12:30:00,19,Outbound,Negotiation,Completed,7,0.44,231,12,False
73,2641,8,2024-11-04T11:30:00,44,Outbound,Follow-Up,Completed,6,0.56,211,7,False
74,1415,8,2024-07-10T16:30:00,27,Outbound,Technical Deep Dive,Completed,8,0.44,211,11,False
75,1109,13,2022-12-04T14:00:00,42,Outbound,Negotiation,Completed,7,0.58,123,7,True
76,2921,5,2021-04-17T13:15:00,38,Outbound,Demo,Completed,3,0.38,212,17,True
77,897,7,2024-11-16T16:15:00,33,Outbound,QBR,Completed,6,0.74,65,8,False
78,3555,11,2024-05-31T12:30:00,54,Outbound,Negotiation,Completed,6,0.74,100,4,False
79,389,6,2022-11-26T13:15:00,20,Outbound,Technical Deep Dive,Completed,6,0.46,37,23,True
80,856,9,2024-11-17T11:00:00,22,Outbound,Negotiation,Completed,8,0.64,36,9,True
81,1464,12,2021-10-30T14:00:00,23,Outbound,Negotiation,Completed,2,0.63,186,16,True
82,1123,5,2024-03-11T16:45:00,40,Outbound,Technical Deep Dive,Completed,4,0.7,78,17,True
83,1627,3,2023-12-14T15:45:00,24,Outbound,Discovery,Rescheduled,1,,,0,False
84,4486,3,2024-03-20T14:45:00,0,Outbound,QBR,No Show,1,,,0,False
85,403,7,2024-12-18T10:45:00,1,Outbound,Negotiation,Voicemail,1,,,0,False
86,2853,6,2024-01-19T15:15:00,50,Outbound,Follow-Up,Completed,5,0.42,150,11,True
87,3048,4,2022-01-05T15:45:00,37,Inbound,Demo,Completed,7,0.69,126,3,False
88,2064,11,2024-04-02T10:15:00,43,Inbound,QBR,Completed,7,0.38,72,9,True
89,729,8,2024-10-08T11:00:00,27,Outbound,Negotiation,Completed,6,0.7,199,10,False
90,495,12,2024-11-22T14:15:00,51,Outbound,Technical Deep Dive,Completed,8,0.51,96,15,True
91,2827,10,2022-08-03T09:15:00,40,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
92,915,8,2022-04-14T13:45:00,26,Inbound,Discovery,Rescheduled,1,,,0,False
93,1253,8,2023-12-10T10:45:00,55,Outbound,Check-In,Completed,5,0.42,127,6,False
94,2441,15,2024-11-09T11:30:00,19,Outbound,Demo,Completed,8,0.67,172,7,True
95,4311,16,2024-12-01T11:30:00,39,Outbound,QBR,Completed,4,0.63,160,5,False
96,2066,10,2024-12-18T09:00:00,49,Outbound,Demo,Completed,5,0.54,46,3,False
97,2515,4,2024-06-18T10:30:00,30,Outbound,Negotiation,Rescheduled,1,,,0,False
98,1050,3,2024-09-28T13:15:00,60,Outbound,Check-In,Completed,7,0.31,66,13,False
99,3006,6,2023-11-24T10:30:00,0,Inbound,Negotiation,No Show,1,,,0,False
100,4833,16,2024-12-05T10:15:00,0,Outbound,Follow-Up,No Show,1,,,0,False
101,919,11,2023-02-04T11:30:00,24,Outbound,Follow-Up,Completed,5,0.64,237,3,False
102,3409,6,2024-09-05T11:30:00,18,Outbound,Check-In,Completed,8,0.45,204,9,False
103,1820,3,2022-05-16T14:45:00,58,Outbound,Demo,Completed,3,0.63,134,15,True
104,1194,9,2030-06-15T10:00:00,33,Inbound,Technical Deep Dive,Completed,5,0.55,108,13,True
105,4215,6,2021-02-21T10:30:00,48,Outbound,Check-In,Completed,4,0.49,157,22,False
106,4786,9,2024-04-19T12:15:00,39,Outbound,Follow-Up,Completed,4,0.61,60,10,False
107,2789,7,2024-12-27T13:45:00,40,Outbound,Technical Deep Dive,Completed,3,0.55,220,17,True
108,3677,1,2024-05-28T11:00:00,17,Outbound,Negotiation,Completed,8,0.56,111,8,False
109,3204,5,2024-08-13T14:15:00,17,Inbound,Follow-Up,Completed,7,0.71,127,13,False
110,3576,16,2024-12-16T13:15:00,56,Outbound,Check-In,Completed,4,0.69,98,11,False
111,4799,11,2024-05-13T15:30:00,37,Inbound,Discovery,Completed,8,0.45,83,9,False
112,2590,15,2024-12-29T11:15:00,43,Outbound,Follow-Up,Completed,5,0.44,178,12,True
113,4207,16,2024-12-31T15:45:00,30,Inbound,Demo,Rescheduled,1,,,0,False
114,4807,14,2021-12-21T15:00:00,57,Outbound,Technical Deep Dive,Completed,4,0.67,194,13,True
115,2390,12,2024-10-27T14:30:00,25,Inbound,QBR,Completed,2,0.53,39,15,False
116,1053,6,2023-01-19T14:15:00,28,Inbound,Demo,Completed,5,0.84,217,3,False
117,216,16,2024-08-05T16:45:00,18,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
118,4719,7,2024-07-26T10:30:00,47,Outbound,Follow-Up,Completed,4,0.67,142,20,False
119,1581,15,2024-10-25T12:00:00,20,Outbound,Follow-Up,Completed,3,1.38,44,6,False
120,3103,1,2021-12-30T15:45:00,0,Inbound,Discovery,No Show,1,,,0,False
121,764,12,2024-09-04T13:00:00,19,Outbound,Check-In,Rescheduled,1,,,0,False
122,4409,10,2024-12-26T14:15:00,41,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
123,1180,14,2024-12-28T14:15:00,0,Inbound,Negotiation,No Show,1,,,0,False
124,1997,6,2023-07-29T12:45:00,39,Inbound,Follow-Up,Rescheduled,1,,,0,False
125,4300,13,2024-09-30T11:00:00,20,Outbound,Demo,Completed,7,0.77,276,2,False
126,2620,3,2024-12-24T10:00:00,44,Outbound,QBR,Completed,6,0.65,177,20,False
127,1090,16,2021-03-05T14:30:00,15,Outbound,Check-In,Completed,4,0.45,93,9,False
128,56,1,2024-02-03T15:30:00,51,Outbound,Demo,Rescheduled,1,,,0,False
129,977,12,2024-08-04T12:30:00,50,Outbound,Demo,Completed,6,0.63,266,1,False
130,2159,3,2024-09-28T13:15:00,50,Inbound,Discovery,Completed,4,0.34,94,12,False
131,4438,13,2024-09-13T11:45:00,0,Inbound,Discovery,No Show,1,,,0,False
132,4198,4,2024-11-27T12:15:00,39,Outbound,Discovery,Completed,8,0.62,263,11,False
133,851,13,2024-07-21T10:00:00,0,Outbound,Demo,No Show,1,,,0,False
134,3815,15,2024-12-08T12:45:00,0,Inbound,Follow-Up,No Show,1,,,0,False
135,1471,10,2024-10-14T13:30:00,41,Outbound,Discovery,Completed,3,0.71,209,5,False
136,2216,4,2024-09-26T14:15:00,19,Inbound,Technical Deep Dive,Rescheduled,1,,,0,False
137,1298,2,2023-06-14T11:30:00,19,Outbound,Check-In,Completed,7,1.22,112,10,True
138,347,9,2024-05-27T16:30:00,54,Inbound,QBR,Rescheduled,1,,,0,False
139,2373,8,2024-02-04T14:00:00,33,Inbound,Demo,Completed,4,0.6,235,10,False
140,2946,14,2024-11-07T13:30:00,23,Outbound,Negotiation,Completed,5,0.66,218,6,False
141,3669,10,2024-04-18T10:00:00,27,Outbound,Demo,Completed,7,0.44,46,12,True
142,3605,2,2024-09-12T10:15:00,39,Outbound,Check-In,Completed,8,0.36,238,7,True
143,4507,2,2024-12-27T13:00:00,42,Outbound,Negotiation,Rescheduled,1,,,0,False
144,1948,15,2024-07-17T17:15:00,27,Inbound,Negotiation,Completed,3,1.31,238,1,False
145,3015,1,2024-10-21T09:15:00,42,Outbound,Negotiation,Completed,6,0.54,190,7,True
146,3146,15,2024-09-22T12:30:00,60,Inbound,QBR,Completed,4,0.5,163,16,True
147,2325,3,2030-06-15T10:00:00,36,Inbound,Follow-Up,Completed,2,0.59,152,22,False
148,87,6,2024-09-29T11:00:00,23,Outbound,Technical Deep Dive,Completed,4,0.69,207,12,True
149,1834,3,2023-10-27T12:45:00,27,Outbound,Demo,Completed,3,0.36,187,15,False
150,391,8,2024-09-11T13:00:00,3,Outbound,Technical Deep Dive,Voicemail,1,,,0,False
151,923,4,2024-01-13T15:45:00,45,Outbound,QBR,Completed,4,0.58,102,9,False
152,4640,5,2021-09-14T10:30:00,47,Inbound,Check-In,Completed,4,0.44,103,24,True
153,814,12,2024-12-03T08:15:00,40,Outbound,QBR,Completed,2,0.41,188,9,False
154,2000,10,2022-07-22T09:30:00,45,Inbound,Follow-Up,Completed,8,0.49,236,18,True
155,4428,9,2030-06-15T10:00:00,28,Outbound,Discovery,Completed,7,0.61,134,12,False
156,1795,7,2024-10-18T10:15:00,0,Outbound,Discovery,No Show,1,,,0,False
157,4179,6,2024-10-16T08:30:00,23,Inbound,Check-In,Completed,8,0.67,120,15,True
158,2599,3,2024-11-23T11:15:00,51,Inbound,Demo,Completed,8,0.31,107,15,False
159,2696,8,2024-12-30T14:15:00,31,Outbound,Discovery,Completed,8,0.55,212,16,True
160,2946,14,2030-06-15T10:00:00,16,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
161,4930,7,2024-05-20T10:00:00,50,Outbound,Technical Deep Dive,Completed,3,0.51,48,15,True
162,1503,7,2023-10-25T12:00:00,,Outbound,Follow-Up,Completed,3,0.49,48,6,True
163,4035,10,2024-12-19T14:30:00,29,Outbound,Discovery,Completed,6,0.57,152,17,True
164,3796,3,2024-07-25T14:30:00,34,Outbound,Demo,Completed,4,0.65,226,18,False
165,2246,1,2023-12-14T15:30:00,0,Outbound,Discovery,No Show,1,,,0,False
166,3451,15,2024-12-28T08:15:00,1,Outbound,Negotiation,Voicemail,1,,,0,False
167,2998,1,2024-11-09T11:45:00,32,Inbound,QBR,Rescheduled,1,,,0,False
168,2107,6,2024-03-26T11:30:00,32,Inbound,Negotiation,Completed,6,0.41,89,4,False
169,2213,13,2024-01-30T13:00:00,47,Outbound,Follow-Up,Completed,6,0.56,57,8,True
170,589,5,2030-06-15T10:00:00,59,Inbound,Demo,Completed,5,0.56,75,14,False
171,1227,8,2024-12-19T10:45:00,49,Inbound,Negotiation,Rescheduled,1,,,0,False
172,1961,14,2024-11-25T12:15:00,37,Inbound,Check-In,Completed,3,0.52,131,11,False
173,4278,2,2021-08-17T09:15:00,53,Outbound,Technical Deep Dive,Completed,2,0.54,154,6,False
174,3960,1,2024-08-17T09:45:00,39,Outbound,Check-In,Completed,5,0.6,128,22,True
175,1401,13,2024-06-09T11:30:00,,Outbound,QBR,Completed,6,1.47,153,2,False
176,3413,9,2024-12-24T10:00:00,0,Outbound,Follow-Up,No Show,1,,,0,False
177,2899,6,2024-05-28T16:30:00,22,Inbound,Negotiation,Completed,2,1.36,113,6,True
178,4795,5,2024-11-09T10:45:00,,Outbound,Negotiation,Completed,2,0.71,39,14,False
179,112,4,2021-05-08T12:00:00,,Outbound,QBR,Completed,8,0.5,212,5,False
180,878,3,2023-06-02T12:00:00,30,Outbound,Discovery,Completed,4,1.44,116,22,True
181,1371,2,2024-03-21T11:00:00,22,Outbound,Demo,Completed,3,0.38,181,7,True
182,4976,6,2024-06-21T11:15:00,40,Outbound,Negotiation,Completed,5,0.56,286,5,True
183,1570,6,2024-09-06T13:30:00,15,Outbound,Discovery,Completed,2,0.36,148,14,True
184,335,12,2022-01-21T10:15:00,46,Outbound,Check-In,Completed,8,0.65,93,5,False
185,2861,5,2023-02-17T13:00:00,29,Outbound,Check-In,Completed,8,0.42,162,12,False
186,4079,7,2023-04-13T12:15:00,58,Outbound,Negotiation,Completed,2,0.46,193,10,True
187,4471,5,2023-08-06T15:45:00,35,Outbound,QBR,Rescheduled,1,,,0,False
188,1771,16,2024-12-29T09:15:00,35,Outbound,Technical Deep Dive,Completed,4,0.46,179,3,False
189,526,6,2022-08-26T12:00:00,51,Inbound,Check-In,Completed,4,0.58,177,7,True
190,2799,13,2024-12-17T09:00:00,33,Inbound,QBR,Completed,4,0.82,127,9,False
191,1175,16,2024-12-28T15:45:00,,Inbound,Demo,Completed,8,0.6,193,8,True
192,378,11,2024-12-19T09:15:00,44,Inbound,Negotiation,Completed,3,0.61,234,12,False
193,4638,12,2024-12-27T16:00:00,40,Outbound,Technical Deep Dive,Completed,6,0.77,100,4,False
194,4588,1,2024-12-20T15:15:00,58,Outbound,Check-In,Completed,7,0.6,88,13,True
195,2492,7,2024-01-05T10:30:00,34,Outbound,Follow-Up,Completed,4,0.59,209,5,False
196,3244,15,2024-11-25T13:15:00,51,Outbound,Check-In,Completed,4,0.67,131,12,False
197,4961,1,2024-02-07T14:00:00,42,Outbound,QBR,Completed,7,0.69,132,6,False
198,3133,6,2024-03-22T10:45:00,37,Outbound,Discovery,Rescheduled,1,,,0,False
199,1073,5,2023-03-15T16:45:00,49,Outbound,Technical Deep Dive,Completed,3,0.71,169,3,False
200,818,11,2024-11-09T08:00:00,38,Inbound,Demo,Completed,8,0.43,38,11,True
201,4139,6,2024-12-18T13:30:00,27,Outbound,Check-In,Completed,4,0.4,185,12,False
202,4071,1,2024-12-12T12:00:00,43,Outbound,Negotiation,Completed,8,0.37,65,4,True
203,1043,6,2023-01-10T09:00:00,53,Inbound,QBR,Completed,6,0.49,59,4,True
204,1494,14,2024-12-19T13:00:00,58,Inbound,Technical Deep Dive,Completed,4,0.69,89,11,True
205,2002,5,2023-11-10T11:45:00,2,Outbound,Demo,Voicemail,1,,,0,False
206,4691,4,2024-08-13T14:15:00,0,Outbound,Demo,No Show,1,,,0,False
207,4539,7,2024-11-19T12:45:00,31,Outbound,Technical Deep Dive,Completed,7,0.47,163,14,True
208,16,6,2030-06-15T10:00:00,39,Outbound,Discovery,Completed,8,0.37,163,18,False
209,2175,7,2024-03-26T10:45:00,52,Outbound,Technical Deep Dive,Completed,5,0.69,104,19,True
210,4897,15,2024-10-18T10:45:00,35,Outbound,QBR,Completed,4,0.57,153,5,False
211,4309,12,2030-06-15T10:00:00,21,Inbound,QBR,Completed,8,0.65,195,6,True
212,3769,4,2024-11-13T17:00:00,,Outbound,Follow-Up,Completed,4,0.51,216,4,False
213,2206,12,2022-12-04T12:15:00,15,Outbound,Demo,Completed,7,0.62,233,16,False
214,821,14,2022-10-04T12:45:00,42,Outbound,Technical Deep Dive,Completed,6,0.57,43,6,True
215,4942,14,2021-11-13T13:00:00,-54,Outbound,Discovery,Completed,6,0.69,90,8,True
216,3989,2,2024-06-29T12:30:00,60,Outbound,Negotiation,Completed,3,0.63,186,22,True
217,2539,15,2024-03-28T14:45:00,59,Outbound,Demo,Completed,4,0.67,94,6,True
218,3561,15,2024-09-21T12:30:00,,Outbound,Check-In,Completed,6,0.67,118,4,False
219,119,8,2024-07-23T11:45:00,22,Outbound,QBR,Completed,8,0.41,70,18,True
220,1859,2,2022-03-29T16:45:00,56,Outbound,Demo,Completed,7,0.4,118,10,True
221,3048,4,2022-02-24T15:15:00,30,Outbound,Negotiation,Completed,7,0.57,241,15,False
222,1493,6,2024-12-05T14:30:00,39,Outbound,Follow-Up,Completed,3,0.55,227,13,True
223,225,16,2030-06-15T10:00:00,56,Outbound,Negotiation,Completed,6,0.84,213,8,True
224,2238,14,2024-12-06T13:00:00,0,Inbound,Discovery,No Show,1,,,0,False
225,662,3,2024-05-17T11:15:00,0,Outbound,Negotiation,No Show,1,,,0,False
226,2533,12,2023-01-18T10:00:00,48,Outbound,QBR,Completed,2,0.65,135,18,True
227,4970,9,2020-10-16T09:45:00,41,Outbound,Negotiation,Completed,8,0.62,182,14,True
228,241,10,2022-12-24T11:45:00,15,Outbound,Technical Deep Dive,Completed,3,0.57,153,9,True
229,2429,14,2024-08-06T11:30:00,35,Outbound,Negotiation,Completed,2,0.62,179,6,False
230,3935,7,2024-09-27T14:15:00,22,Inbound,Demo,Completed,6,0.5,234,13,True
231,4110,9,2023-01-22T15:45:00,0,Outbound,QBR,No Show,1,,,0,False
232,3776,11,2024-12-28T13:00:00,60,Outbound,Discovery,Completed,3,0.5,232,9,True
233,4220,14,2024-10-07T15:15:00,29,Outbound,QBR,Completed,4,0.78,165,13,True
234,2299,3,2024-12-10T16:30:00,53,Outbound,QBR,Completed,4,0.61,127,9,False
235,1040,14,2022-06-11T16:00:00,53,Inbound,Technical Deep Dive,Completed,3,0.52,203,10,True
236,3931,8,2024-12-31T08:15:00,0,Inbound,QBR,No Show,1,,,0,False
237,3906,11,2024-01-19T12:00:00,38,Inbound,QBR,Rescheduled,1,,,0,False
238,608,11,2024-05-05T14:30:00,47,Outbound,Technical Deep Dive,Completed,4,0.56,171,13,True
239,571,9,2024-12-23T16:30:00,46,Outbound,Technical Deep Dive,Completed,7,0.71,208,11,False
240,1734,4,2022-10-13T13:00:00,34,Outbound,Demo,Completed,2,0.81,109,2,False
241,4531,4,2024-06-11T11:30:00,27,Outbound,Demo,Rescheduled,1,,,0,False
242,3737,9,2024-12-02T15:45:00,38,Outbound,Demo,Rescheduled,1,,,0,False
243,2173,13,2024-09-22T13:15:00,30,Inbound,Discovery,Completed,7,0.59,71,11,False
244,4773,11,2024-12-06T17:45:00,37,Inbound,Demo,Completed,8,0.54,60,3,False
245,2825,12,2022-04-23T11:00:00,0,Outbound,QBR,No Show,1,,,0,False
246,1313,11,2022-02-07T12:45:00,30,Outbound,Negotiation,Completed,3,0.65,239,4,False
247,3199,1,2024-03-17T12:30:00,56,Outbound,Discovery,Completed,5,0.41,233,4,True
248,3602,16,2024-12-19T16:30:00,0,Outbound,Demo,No Show,1,,,0,False
249,386,11,2024-01-03T15:30:00,29,Outbound,Discovery,Completed,5,0.58,226,6,True
250,4209,4,2024-12-22T13:30:00,0,Inbound,Follow-Up,No Show,1,,,0,False
251,2734,5,2023-07-22T09:30:00,58,Outbound,QBR,Completed,5,0.51,89,18,True
252,1967,15,2024-12-19T15:45:00,40,Inbound,Check-In,Rescheduled,1,,,0,False
253,1378,6,2024-06-25T14:15:00,22,Inbound,Demo,Completed,8,0.39,88,4,True
254,4002,16,2023-10-18T11:30:00,53,Outbound,Technical Deep Dive,Completed,3,0.59,59,14,True
255,2053,11,2023-01-18T13:45:00,15,Outbound,Follow-Up,Completed,7,0.6,143,9,True
256,2321,10,2024-12-31T09:30:00,16,Outbound,Follow-Up,Completed,8,0.39,36,18,True
257,2517,15,2024-12-25T10:15:00,28,Inbound,Discovery,Completed,5,0.72,225,8,True
258,3619,2,2024-06-25T13:45:00,33,Outbound,Technical Deep Dive,Completed,4,0.3,139,15,True
259,4392,9,2030-06-15T10:00:00,36,Inbound,Demo,Completed,4,1.39,184,9,False
260,3919,11,2024-12-02T14:00:00,52,Inbound,Demo,Completed,6,0.6,149,12,True
261,2832,4,2024-09-25T15:15:00,44,Outbound,Negotiation,Completed,3,0.79,271,11,False
262,1424,9,2023-02-08T15:45:00,38,Outbound,QBR,Completed,6,0.45,97,6,True
263,824,4,2024-06-05T15:15:00,55,Inbound,Technical Deep Dive,Rescheduled,1,,,0,False
264,256,4,2024-07-27T15:15:00,22,Outbound,Follow-Up,Rescheduled,1,,,0,False
265,571,9,2024-12-25T11:15:00,41,Inbound,Negotiation,Completed,6,0.6,30,14,True
266,4840,15,2024-12-15T12:15:00,44,Outbound,Check-In,Completed,8,0.61,49,12,False
267,166,13,2022-07-31T08:15:00,31,Outbound,Technical Deep Dive,Completed,2,0.64,77,5,True
268,4050,5,2024-09-10T11:00:00,0,Outbound,Discovery,No Show,1,,,0,False
269,4231,12,2024-12-31T11:30:00,52,Outbound,QBR,Rescheduled,1,,,0,False
270,4364,9,2023-10-13T15:30:00,15,Inbound,Check-In,Completed,2,0.45,150,7,False
271,2391,12,2024-11-24T11:45:00,0,Inbound,Technical Deep Dive,No Show,1,,,0,False
272,3960,1,2024-10-01T15:45:00,45,Inbound,Technical Deep Dive,Rescheduled,1,,,0,False
273,4342,5,2023-07-28T14:15:00,27,Inbound,Negotiation,Completed,8,0.58,232,12,False
274,4873,6,2024-05-26T15:45:00,40,Outbound,QBR,Completed,5,0.57,70,12,True
275,1157,11,2024-11-13T11:15:00,58,Inbound,Discovery,Completed,5,0.52,191,12,True
276,3605,2,2024-09-15T17:30:00,41,Outbound,Check-In,Completed,7,1.28,208,13,True
277,3533,4,2022-08-23T15:15:00,-39,Inbound,Technical Deep Dive,Completed,6,0.67,106,17,False
278,1379,9,2022-08-26T14:15:00,27,Outbound,Technical Deep Dive,Completed,8,0.6,75,15,False
279,3984,9,2024-09-08T09:30:00,56,Inbound,Discovery,Completed,5,0.79,275,7,False
280,943,4,2023-03-16T09:30:00,45,Inbound,Discovery,Rescheduled,1,,,0,False
281,3741,10,2030-06-15T10:00:00,55,Outbound,Check-In,Completed,3,0.66,47,13,False
282,2831,14,2024-08-15T12:45:00,15,Outbound,Negotiation,Completed,7,0.62,167,2,False
283,4028,12,2024-08-15T10:00:00,36,Outbound,Follow-Up,Completed,2,0.59,289,6,False
284,4637,14,2021-12-11T14:30:00,0,Inbound,QBR,No Show,1,,,0,False
285,1670,16,2024-04-26T12:15:00,57,Outbound,Technical Deep Dive,Completed,3,0.49,200,16,False
286,4355,15,2024-12-25T10:30:00,26,Outbound,Follow-Up,Completed,3,0.87,220,7,False
287,1203,3,2024-05-08T09:45:00,47,Outbound,Technical Deep Dive,Completed,2,0.35,116,14,True
