account_id,name,industry,employee_count,arr,region,owner_id,created_at
49,Elevate Group,Education,25,47654,LATAM,8,2023-11-22T00:00:00
50,Fusion Technologies,Transportation,1268,34254,North America,13,2022-12-19T00:00:00
51,Zenith Services,Education,1993,38785,LATAM,16,2024-10-02T00:00:00
52,Fusion Inc,Media & Entertainment,133,39248,LATAM,5,2021-08-23T00:00:00
53,Fusion Digital,Financial Services,1611,-247849,North America,10,2021-03-26T00:00:00
54,Vertex Holdings,Telecommunications,1590,215634,North America,4,2024-03-13T00:00:00
55,Vertex Group,Professional Services,177,779,APAC,7,2021-02-26T00:00:00
56,Elevate Technologies,Media & Entertainment,24,3410,EMEA,6,2021-05-28T00:00:00
57,Nexus Corp,Professional Services,102,10311,,15,2024-08-09T00:00:00
58,Acme Group,Transportation,1274,46548,EMEA,12,2022-03-13T00:00:00
59,Horizon Labs,Retail,1379,214909,EMEA,3,2024-01-09T00:00:00
60,Elevate Corp,Education,1429,195278,LATAM,6,2024-10-24T00:00:00
61,Synergy Platforms,Transportation,145,34619,LATAM,16,2024-02-08T00:00:00
62,Horizon Holdings,Professional Services,18,8171,EMEA,15,2024-01-24T00:00:00
63,Quantum Dynamics,Media & Entertainment,21,32327,North America,7,2021-10-12T00:00:00
64,Pinnacle Analytics,Financial Services,338,224566,EMEA,12,2023-11-10T00:00:00
65,Horizon Inc,Financial Services,491,101038,,11,2021-01-25T00:00:00
66,Velocity Software,Telecommunications,44548,1802991,APAC,3,2022-04-16T00:00:00
67,Catalyst Corp,Technology,167,10078,APAC,4,2022-04-22T00:00:00
68,Global Partners,,20390,1012075,North America,11,2020-01-04T00:00:00
69,Fusion Services,Professional Services,99,28121,EMEA,16,2024-11-23T00:00:00
70,Velocity Digital,Telecommunications,144,27163,LATAM,4,2023-02-25T00:00:00
71,Zenith Enterprises,Financial Services,188,29250,EMEA,16,2024-10-16T00:00:00
72,Horizon Solutions,Professional Services,145,3874,EMEA,11,2024-07-22T00:00:00
73,Vertex Software,Financial Services,87,35958,EMEA,9,2024-04-12T00:00:00
74,Pinnacle Platforms,Government,866,207673,North America,3,2022-10-20T00:00:00
75,Acme Systems,Technology,152,20757,LATAM,13,2022-07-23T00:00:00
76,Optima Solutions,Media & Entertainment,50,26647,LATAM,2,2024-01-14T00:00:00
77,Vanguard Services,Transportation,260,43713,,7,2020-10-17T00:00:00
78,Zenith Partners,Manufacturing,10552,1762878,North America,3,2022-06-20T00:00:00
79,Nexus Labs,Telecommunications,34396,1876172,North America,1,2023-07-12T00:00:00
80,Catalyst Digital,Technology,,32998,North America,7,2023-12-28T00:00:00
81,Acme Analytics,,1903,44917,APAC,2,2023-09-03T00:00:00
82,Pinnacle Systems,Government,356,201218,LATAM,11,2024-12-06T00:00:00
83,Zenith Networks,Media & Entertainment,31,30862,North America,15,2024-10-11T00:00:00
84,Synergy Platforms,Technology,67,24411,APAC,10,2020-10-22T00:00:00
85,Acme Systems,Transportation,937,83425,LATAM,8,2023-01-17T00:00:00
86,Quantum Labs,Telecommunications,33,10428,,6,2023-06-09T00:00:00
87,Elevate Holdings,Media & Entertainment,,48889,EMEA,13,2023-09-21T00:00:00
88,Elevate Inc,Government,159,38581,EMEA,15,2024-02-09T00:00:00
89,Quantum Systems,Manufacturing,113,7403,EMEA,3,2021-11-03T00:00:00
90,Vertex Solutions,Media & Entertainment,571,61890,EMEA,16,2024-11-13T00:00:00
91,Pinnacle Systems,Media & Entertainment,112,34709,North America,3,2022-12-01T00:00:00
92,Acme Labs,Media & Entertainment,176,26771,EMEA,8,2022-08-25T00:00:00
93,Fusion Holdings,Manufacturing,26,34898,,12,2021-02-13T00:00:00
94,Pacific Dynamics,Technology,362,242900,EMEA,11,2024-12-15T00:00:00
95,Vertex Networks,Education,99,42997,LATAM,7,2022-03-13T00:00:00
96,Atlas Technologies,Media & Entertainment,106,26820,LATAM,11,2022-04-19T00:00:00
97,Nova Labs,Retail,57,23899,North America,15,2024-04-28T00:00:00
98,Velocity Solutions,Media & Entertainment,56,4786,LATAM,4,2021-12-13T00:00:00
99,Fusion Digital,Retail,1120,154578,EMEA,8,2021-01-11T00:00:00
100,Apex Corp,Technology,183,9657,APAC,15,2024-10-28T00:00:00
101,Fusion Platforms,Retail,,171712,APAC,16,2024-02-27T00:00:00
102,Apex Inc,Financial Services,14206,437496,APAC,15,2024-04-04T00:00:00
103,Pacific Systems,Financial Services,34331,1536459,EMEA,13,2022-02-17T00:00:00
104,Optima Labs,Healthcare,115,942,APAC,1,2023-12-02T00:00:00
105,Fusion Partners,Retail,1204,120687,APAC,6,2024-09-03T00:00:00
106,Fusion Group,,1022,188904,North America,8,2022-04-20T00:00:00
107,Acme Platforms,,85,9256,APAC,7,2023-05-30T00:00:00
108,Acme Labs,Financial Services,1383,21743,APAC,5,2024-09-22T00:00:00
109,Nexus Dynamics,Professional Services,40126,916643,LATAM,14,2023-09-27T00:00:00
110,Catalyst Dynamics,Professional Services,164,28990,EMEA,6,2023-08-06T00:00:00
111,Pinnacle Partners,Education,1784,150114,APAC,11,2023-02-16T00:00:00
112,Catalyst Inc,Education,30,20814,EMEA,6,2023-07-26T00:00:00
113,Acme Services,Energy,18,21158,LATAM,5,2024-10-24T00:00:00
114,Nova Partners,Energy,115,24582,EMEA,8,2024-07-20T00:00:00
115,Pacific Inc,Manufacturing,920,37487,APAC,4,2020-04-08T00:00:00
116,Catalyst Platforms,Education,44,2116,APAC,13,2021-08-25T00:00:00
117,Elevate Digital,Professional Services,711,116900,LATAM,2,2020-02-19T00:00:00
118,Global Systems,Transportation,223,248799,North America,15,2024-04-14T00:00:00
119,Optima Partners,Education,165,27115,EMEA,10,2022-04-01T00:00:00
120,Summit Holdings,Manufacturing,42169,535740,APAC,4,2023-07-10T00:00:00
121,Summit Analytics,Professional Services,165,25131,LATAM,16,2024-01-05T00:00:00
122,Global Services,Manufacturing,68,11894,APAC,4,2023-04-07T00:00:00
123,Atlas Inc,Financial Services,991,126873,LATAM,10,2021-06-11T00:00:00
124,Vertex Holdings,Transportation,166,28469,North America,10,2024-02-24T00:00:00
125,Acme Platforms,Energy,1740,166428,North America,7,2021-08-26T00:00:00
126,Nexus Networks,Financial Services,1288,123794,LATAM,3,2024-06-01T00:00:00
127,Pinnacle Platforms,Professional Services,1785,118044,APAC,5,2023-10-30T00:00:00
128,Pinnacle Inc,Transportation,41,25609,APAC,5,2024-09-30T00:00:00
129,Atlas Technologies,Transportation,91,34712,EMEA,3,2020-01-31T00:00:00
130,Pinnacle Solutions,Technology,1025,242770,North America,9,2023-05-13T00:00:00
131,Pinnacle Holdings,Media & Entertainment,225,193221,EMEA,11,2024-03-16T00:00:00
132,Fusion Digital,Government,1558,95509,,12,2021-10-29T00:00:00
133,Synergy Enterprises,,141,19758,North America,10,2021-04-14T00:00:00
134,Nexus Dynamics,Transportation,63,9374,APAC,1,2021-03-12T00:00:00
135,Horizon Analytics,Government,1695,155249,EMEA,8,2022-08-09T00:00:00
136,Horizon Software,Financial Services,1181,155918,North America,7,2023-05-27T00:00:00
137,Catalyst Holdings,Professional Services,191,16997,LATAM,5,2022-03-22T00:00:00
138,Elevate Platforms,Financial Services,96,39592,EMEA,15,2024-03-22T00:00:00
139,Zenith Systems,Retail,1306,150913,APAC,3,2023-12-16T00:00:00
140,Velocity Enterprises,Transportation,1087,171625,APAC,5,2024-07-03T00:00:00
141,Acme Platforms,Energy,80,7981,LATAM,2,2024-04-09T00:00:00
142,Summit Digital,Manufacturing,62,466,LATAM,12,2021-12-05T00:00:00
143,Horizon Dynamics,Education,29791,1139700,APAC,3,2020-05-20T00:00:00
144,Apex Holdings,Professional Services,394,247009,APAC,14,2024-05-18T00:00:00
145,Nexus Platforms,Government,195,16297,EMEA,16,2024-07-23T00:00:00
146,Vanguard Platforms,Media & Entertainment,144,35249,LATAM,6,2024-08-01T00:00:00
147,Vanguard Group,Retail,169,27603,LATAM,9,2020-03-28T00:00:00
148,Fusion Technologies,Healthcare,159,27061,LATAM,12,2023-09-23T00:00:00
149,Quantum Labs,Healthcare,64,23461,LATAM,15,2024-12-23T00:00:00
150,Quantum Holdings,Technology,69,49074,APAC,16,2024-04-28T00:00:00
151,Atlas Group,Professional Services,1738,64917,LATAM,16,2024-09-13T00:00:00
152,Vertex Services,Telecommunications,85,4015,,9,2020-10-20T00:00:00
153,Acme Software,Education,1179,45259,EMEA,3,2024-06-26T00:00:00
154,Acme Inc,Media & Entertainment,332,117728,LATAM,3,2022-10-01T00:00:00
155,Horizon Dynamics,Manufacturing,53,40321,EMEA,14,2021-01-30T00:00:00
156,Summit Systems,Manufacturing,520,222234,North America,11,2020-01-12T00:00:00
157,Pacific Partners,Healthcare,77,14390,EMEA,8,2020-07-26T00:00:00
158,Pinnacle Holdings,Professional Services,99,24049,North America,14,2020-06-27T00:00:00
159,Horizon Systems,Professional Services,9319,167019,APAC,10,2023-07-13T00:00:00
160,Pacific Systems,,132,9782,LATAM,5,2021-09-24T00:00:00
161,Acme Holdings,Healthcare,1425,-176744,APAC,8,2024-03-10T00:00:00
162,Pinnacle Services,Media & Entertainment,125,39729,North America,6,2021-12-22T00:00:00
163,Nexus Inc,Transportation,824,76928,APAC,9,2023-06-26T00:00:00
164,Summit Group,Energy,18375,104818,EMEA,15,2024-09-25T00:00:00
165,Global Networks,Government,43,10342,North America,6,2021-06-02T00:00:00
166,Pinnacle Inc,Energy,152,20217,APAC,10,2020-06-09T00:00:00
167,Optima Platforms,Professional Services,180,37234,APAC,15,2024-12-29T00:00:00
168,Catalyst Platforms,Government,74,21946,LATAM,14,2023-04-30T00:00:00
169,Nexus Platforms,Education,,21071,North America,4,2020-02-02T00:00:00
170,Quantum Labs,Transportation,184,37569,LATAM,6,2021-12-06T00:00:00
171,Nexus Group,Professional Services,46456,381466,APAC,2,2020-07-09T00:00:00
172,Acme Networks,Government,1821,242030,APAC,9,2022-06-30T00:00:00
173,Global Systems,Government,346,24747,LATAM,1,2022-05-10T00:00:00
174,Nexus Services,Healthcare,17981,98388,EMEA,14,2020-10-23T00:00:00
175,Pinnacle Solutions,Professional Services,64,45524,APAC,6,2024-02-20T00:00:00
176,Quantum Partners,Technology,99,10438,,8,2023-09-30T00:00:00
177,Vertex Labs,Education,17524,257977,APAC,11,2021-03-29T00:00:00
178,Nova Dynamics,Manufacturing,107,-27597,APAC,7,2023-06-15T00:00:00
179,Quantum Dynamics,Healthcare,543,142540,North America,5,2020-03-02T00:00:00
180,Quantum Digital,Manufacturing,183,2645,North America,2,2024-08-30T00:00:00
181,Synergy Holdings,Education,,113866,LATAM,4,2020-09-14T00:00:00
182,Catalyst Solutions,Government,141,8612,EMEA,2,2023-05-26T00:00:00
183,Global Solutions,Energy,,112156,APAC,5,2024-07-22T00:00:00
184,Fusion Holdings,Education,11585,679698,LATAM,3,2022-07-07T00:00:00
185,Synergy Software,Energy,,972223,EMEA,4,2024-01-25T00:00:00
186,Acme Inc,Transportation,685,216667,North America,14,2023-04-06T00:00:00
187,Atlas Platforms,Manufacturing,155,46082,APAC,6,2021-12-09T00:00:00
188,Apex Dynamics,Transportation,164,37991,LATAM,1,2020-11-20T00:00:00
189,Quantum Analytics,Technology,50,38376,North America,16,2024-06-19T00:00:00
190,Pinnacle Digital,Transportation,1008,148047,North America,11,2020-12-09T00:00:00
191,Nova Group,Media & Entertainment,412,142468,,12,2020-01-27T00:00:00
192,Apex Services,Education,587,85963,LATAM,6,2024-10-11T00:00:00
193,Quantum Corp,Healthcare,42138,1156511,North America,3,2024-05-01T00:00:00
194,Vanguard Services,Retail,1372,65241,North America,15,2024-06-16T00:00:00
195,Zenith Holdings,Education,816,248265,LATAM,16,2024-03-27T00:00:00
196,Pacific Enterprises,Healthcare,15079,604001,EMEA,14,2022-06-28T00:00:00
197,Fusion Labs,Healthcare,217,42951,EMEA,7,2023-10-22T00:00:00
198,Catalyst Inc,Healthcare,299,238865,North America,16,2024-11-30T00:00:00
199,Velocity Group,Financial Services,39877,1425637,LATAM,12,2021-11-18T00:00:00
200,Summit Partners,Healthcare,19,6721,North America,1,2020-11-29T00:00:00
201,Global Dynamics,Energy,397,62150,LATAM,1,2020-07-20T00:00:00
202,Apex Digital,Retail,40590,612516,EMEA,1,2022-03-02T00:00:00
203,Zenith Networks,Manufacturing,474,103502,LATAM,6,2024-06-14T00:00:00
204,Elevate Analytics,Transportation,89,38443,LATAM,14,2020-10-20T00:00:00
205,Fusion Dynamics,Media & Entertainment,97,14605,EMEA,12,2021-02-11T00:00:00
206,Synergy Digital,Government,402,209049,APAC,12,2021-01-26T00:00:00
207,Pinnacle Networks,Manufacturing,662,182898,APAC,1,2022-10-12T00:00:00
208,Vertex Enterprises,Manufacturing,79,42229,APAC,10,2024-08-31T00:00:00
209,Apex Services,Government,35425,663395,LATAM,9,2024-02-04T00:00:00
210,Synergy Holdings,Telecommunications,196,23894,EMEA,9,2023-11-28T00:00:00
211,Quantum Networks,Telecommunications,118,15619,LATAM,2,2024-06-28T00:00:00
212,Nexus Partners,Media & Entertainment,175,24851,APAC,16,2024-05-27T00:00:00
213,Fusion Analytics,Retail,1544,126270,EMEA,4,2020-06-13T00:00:00
214,Pacific Partners,Media & Entertainment,,29163,EMEA,14,2020-08-15T00:00:00
215,Acme Solutions,Healthcare,1063,34949,North America,14,2023-03-06T00:00:00
216,Acme Enterprises,Manufacturing,78,4102,North America,10,2020-01-26T00:00:00
217,Quantum Technologies,Energy,,588537,APAC,3,2023-12-25T00:00:00
218,Fusion Holdings,Media & Entertainment,1755,177121,EMEA,11,2021-10-08T00:00:00
219,Synergy Labs,Transportation,9870,1845515,APAC,6,2021-08-18T00:00:00
220,Horizon Partners,,1320,28628,EMEA,9,2021-01-14T00:00:00
221,Vertex Networks,Retail,1278,16808,APAC,16,2024-04-07T00:00:00
222,Pinnacle Corp,Professional Services,1199,150131,LATAM,8,2020-11-08T00:00:00
223,Catalyst Software,Professional Services,1056,67795,LATAM,6,2024-03-12T00:00:00
224,Fusion Digital,Retail,967,97465,APAC,1,2021-12-28T00:00:00
225,Optima Systems,Education,511,128893,LATAM,6,2023-10-11T00:00:00
226,Nova Corp,Professional Services,1440,32954,LATAM,13,2021-03-20T00:00:00
227,Catalyst Networks,Education,1965,22514,APAC,6,2021-05-24T00:00:00
228,Summit Services,Transportation,122,50,EMEA,12,2022-10-22T00:00:00
229,Nova Enterprises,Retail,29015,981572,EMEA,14,2022-01-03T00:00:00
230,Summit Systems,Energy,178,41772,North America,15,2024-06-23T00:00:00
231,Global Corp,Energy,2951,789667,North America,7,2024-09-10T00:00:00
232,Global Enterprises,Government,95,7100,LATAM,15,2024-12-03T00:00:00
233,Optima Networks,Education,,128727,EMEA,14,2023-02-13T00:00:00
234,Elevate Platforms,Professional Services,979,147258,LATAM,11,2021-04-06T00:00:00
235,Synergy Networks,Technology,942,74600,APAC,3,2022-02-05T00:00:00
236,Apex Software,Professional Services,141,40199,,9,2020-06-12T00:00:00
237,Elevate Corp,Transportation,13,26479,LATAM,9,2024-01-22T00:00:00
238,Fusion Group,Technology,33760,557817,LATAM,6,2020-12-03T00:00:00
239,Catalyst Analytics,Government,,21799,North America,11,2024-07-10T00:00:00
240,Optima Digital,Manufacturing,37,9939,LATAM,10,2023-01-04T00:00:00
241,Nexus Dynamics,Energy,18782,680780,LATAM,4,2023-10-07T00:00:00
242,Vanguard Corp,Media & Entertainment,35,3363,LATAM,13,2024-05-26T00:00:00
243,Zenith Digital,Technology,,27628,EMEA,4,2023-08-10T00:00:00
244,Vertex Inc,Transportation,40,43321,EMEA,10,2021-12-19T00:00:00
245,Global Labs,Telecommunications,164,26934,LATAM,11,2023-11-05T00:00:00
246,Fusion Labs,Financial Services,12319,1005940,North America,2,2022-05-26T00:00:00
247,Quantum Holdings,Energy,1023,-118632,EMEA,16,2024-08-03T00:00:00
248,Horizon Digital,Energy,368,102079,LATAM,10,2024-01-23T00:00:00
249,Acme Digital,Transportation,,1464,APAC,14,2023-02-15T00:00:00
250,Pinnacle Services,Government,154,1051,North America,9,2024-04-27T00:00:00
251,Nexus Enterprises,Transportation,1399,84560,North America,15,2024-09-26T00:00:00
252,Optima Solutions,Government,66,22711,North America,10,2021-05-07T00:00:00
253,Zenith Corp,Retail,86,4746,LATAM,12,2023-01-17T00:00:00
254,Nexus Platforms,Government,1588,16676,,12,2022-06-27T00:00:00
255,Pacific Labs,Professional Services,40640,262371,EMEA,1,2024-09-14T00:00:00
256,Summit Solutions,Media & Entertainment,89,47696,APAC,15,2024-02-02T00:00:00
257,Synergy Labs,Healthcare,1224,186707,North America,6,2020-10-07T00:00:00
258,Atlas Services,Retail,559,124169,APAC,2,2021-01-17T00:00:00
259,Optima Services,Telecommunications,100,44800,North America,14,2024-08-24T00:00:00
260,Nova Services,Government,65,29112,North America,12,2022-02-11T00:00:00
261,Summit Partners,Telecommunications,61,13239,,9,2024-05-02T00:00:00
262,Zenith Group,Technology,198,34907,North America,5,2020-04-15T00:00:00
263,Nexus Inc,Financial Services,147,27305,North America,11,2020-12-26T00:00:00
264,Global Holdings,Energy,478,226883,APAC,3,2020-11-25T00:00:00
265,Pacific Solutions,Energy,57,18057,North America,14,2024-05-23T00:00:00
266,Summit Enterprises,Government,1463,80025,EMEA,1,2022-09-23T00:00:00
267,Quantum Analytics,Energy,90,4777,North America,4,2023-06-04T00:00:00
268,Catalyst Labs,Professional Services,1506,137921,North America,9,2022-12-23T00:00:00
269,Optima Digital,,124,18158,APAC,3,2024-01-02T00:00:00
270,Horizon Platforms,Manufacturing,289,35396,LATAM,10,2022-10-24T00:00:00
271,Global Labs,Retail,52,25332,EMEA,10,2021-02-23T00:00:00
272,Catalyst Software,Energy,80,-16450,EMEA,1,2022-04-07T00:00:00
273,Synergy Technologies,Education,1457,217606,EMEA,15,2024-02-11T00:00:00
274,Optima Dynamics,Media & Entertainment,5280,997057,EMEA,14,2020-01-28T00:00:00
275,Acme Inc,Professional Services,34792,105821,LATAM,10,2022-06-01T00:00:00
276,Nova Partners,Healthcare,1755,-221919,LATAM,2,2024-10-26T00:00:00
277,Vanguard Digital,Government,172,40657,EMEA,12,2021-05-18T00:00:00
278,Vanguard Technologies,Energy,176,33761,APAC,2,2024-02-26T00:00:00
279,Summit Solutions,Professional Services,46,13329,APAC,8,2023-04-25T00:00:00
280,Acme Platforms,Retail,1778,17248,EMEA,8,2021-12-11T00:00:00
281,Horizon Systems,Education,95,-24757,EMEA,7,2024-07-02T00:00:00
282,Global Networks,Energy,68,46740,EMEA,15,2024-08-13T00:00:00
283,Global Analytics,Financial Services,1027,244696,APAC,3,2020-03-22T00:00:00
284,Nova Labs,Financial Services,48,11165,EMEA,15,2024-09-09T00:00:00
285,Catalyst Enterprises,Media & Entertainment,92,25652,North America,4,2021-04-12T00:00:00
286,Vanguard Inc,Technology,196,49557,North America,14,2024-03-04T00:00:00
287,Global Solutions,Education,,29821,EMEA,13,2020-09-01T00:00:00
288,Quantum Enterprises,Education,98,40103,LATAM,10,2023-11-26T00:00:00
289,Nova Dynamics,,1253,140956,North America,14,2021-03-30T00:00:00
290,Vertex Partners,Energy,44,37742,EMEA,12,2023-06-05T00:00:00
291,Summit Enterprises,Energy,50,43095,LATAM,10,2023-01-23T00:00:00
292,Velocity Analytics,Education,1923,14942,EMEA,10,2020-10-15T00:00:00
293,Zenith Digital,Technology,24,26134,EMEA,10,2021-04-07T00:00:00
294,Horizon Digital,Media & Entertainment,1638,32407,LATAM,14,2024-03-14T00:00:00
295,Pacific Technologies,Healthcare,144,20921,LATAM,3,2021-10-07T00:00:00
296,Vertex Corp,Media & Entertainment,708,160990,North America,1,2021-03-14T00:00:00
297,Horizon Group,Transportation,210,182879,North America,6,2023-05-18T00:00:00
298,Summit Technologies,Healthcare,1080,53626,EMEA,16,2024-12-18T00:00:00
299,Catalyst Solutions,Professional Services,5002,920832,APAC,3,2022-11-04T00:00:00
300,Vanguard Services,Education,,4108,North America,10,2023-08-08T00:00:00
301,Horizon Partners,Telecommunications,490,90333,LATAM,12,2022-10-02T00:00:00
302,Atlas Partners,Education,624,89481,APAC,12,2023-05-30T00:00:00
303,Vanguard Enterprises,Government,147,25608,North America,11,2021-03-25T00:00:00
304,Horizon Systems,Healthcare,25,47748,EMEA,15,2024-09-15T00:00:00
305,Pacific Dynamics,Government,1342,27854,APAC,2,2024-01-31T00:00:00
306,Synergy Corp,Technology,125,49470,LATAM,11,2020-01-30T00:00:00
307,Summit Partners,Media & Entertainment,196,26371,APAC,10,2022-01-14T00:00:00
308,Apex Enterprises,Government,110,47708,EMEA,11,2023-06-23T00:00:00
309,Quantum Inc,Financial Services,,30886,LATAM,3,2020-08-01T00:00:00
310,Optima Systems,Technology,19995,1663081,LATAM,13,2022-09-26T00:00:00
311,Vertex Analytics,Professional Services,157,23868,LATAM,14,2022-05-18T00:00:00
312,Fusion Networks,Transportation,1362,133837,EMEA,13,2023-12-26T00:00:00
313,Global Solutions,Healthcare,233,25868,LATAM,6,2024-07-24T00:00:00
314,Summit Technologies,Technology,,561938,LATAM,16,2024-12-22T00:00:00
315,Vanguard Platforms,Government,546,92228,EMEA,2,2020-06-05T00:00:00
316,Fusion Enterprises,Media & Entertainment,1295,132732,North America,2,2023-06-30T00:00:00
317,Vertex Systems,Transportation,161,11353,LATAM,13,2021-03-30T00:00:00
318,Summit Labs,Transportation,1260,245644,EMEA,6,2022-10-12T00:00:00
319,Acme Partners,Retail,600,67566,North America,16,2024-12-20T00:00:00
320,Synergy Solutions,Media & Entertainment,23179,1620362,North America,4,2021-12-12T00:00:00
321,Horizon Labs,Media & Entertainment,451,132799,North America,9,2023-12-03T00:00:00
322,Velocity Digital,Healthcare,33316,1322586,LATAM,3,2023-04-18T00:00:00
323,Zenith Partners,Retail,10124,396105,APAC,16,2024-11-28T00:00:00
324,Catalyst Labs,Technology,19,4149,LATAM,12,2021-07-27T00:00:00
325,Pacific Corp,Education,84,5809,North America,6,2023-09-22T00:00:00
326,Atlas Networks,Healthcare,1478,162055,APAC,4,2020-11-16T00:00:00
327,Horizon Inc,Energy,965,50823,APAC,11,2020-06-21T00:00:00
328,Nexus Dynamics,Retail,1058,123819,APAC,11,2021-06-12T00:00:00
329,Horizon Digital,Media & Entertainment,11235,1835149,LATAM,1,2023-08-19T00:00:00
330,Vertex Partners,Government,47063,1904837,APAC,5,2021-03-09T00:00:00
331,Vertex Services,Manufacturing,1667,198743,EMEA,12,2021-07-02T00:00:00
332,Apex Labs,Professional Services,53,9125,EMEA,15,2024-08-17T00:00:00
333,Apex Networks,Transportation,686,57550,LATAM,6,2023-05-23T00:00:00
334,Summit Labs,,43,2464,North America,11,2024-12-04T00:00:00
335,Pacific Digital,Education,1781,49219,APAC,2,2024-03-24T00:00:00
336,Horizon Technologies,Telecommunications,1098,93569,LATAM,2,2021-04-16T00:00:00
337,Optima Analytics,Retail,1733,40892,North America,5,2022-04-12T00:00:00
338,Elevate Services,Energy,739,201202,LATAM,16,2024-07-14T00:00:00
339,Acme Solutions,Media & Entertainment,43,28198,LATAM,9,2024-10-21T00:00:00
340,Velocity Networks,Professional Services,15,39279,North America,9,2022-09-02T00:00:00
341,Elevate Digital,Education,1668,125478,APAC,14,2020-08-30T00:00:00
342,Optima Group,Telecommunications,1868,163850,North America,4,2022-02-09T00:00:00
343,Velocity Networks,Professional Services,151,44166,North America,1,2024-04-03T00:00:00
344,Optima Corp,Manufacturing,131,35579,APAC,10,2021-09-13T00:00:00
345,Nova Analytics,Healthcare,49,21947,LATAM,9,2023-11-11T00:00:00
346,Vertex Technologies,Government,727,216648,EMEA,2,2020-03-03T00:00:00
347,Optima Group,Telecommunications,62,6362,LATAM,3,2024-06-09T00:00:00
348,Vanguard Solutions,Financial Services,24,3580,North America,11,2024-11-08T00:00:00
349,Pacific Group,Telecommunications,89,41995,LATAM,5,2024-09-27T00:00:00
