activity_id,lead_id,campaign_id,activity_type,activity_date,utm_source
116,7247,51,Page Visit,2020-07-21T13:16:00,twitter
117,5012,190,Form Fill,2024-09-12T19:22:00,twitter
118,2734,44,Email Open,2024-10-19T06:59:00,
119,2587,39,Webinar Registration,2024-09-04T04:37:00,
120,1342,39,Email Open,2024-07-16T05:43:00,
121,3954,143,Content Download,2022-07-31T08:04:00,
122,1063,174,Content Download,2021-04-08T08:52:00,
123,3788,17,Unsubscribe,2021-07-31T04:46:00,
124,5679,50,Email Click,2022-07-25T02:02:00,
125,1552,34,Email Bounce,2023-03-19T17:33:00,
126,4976,4,,2021-07-13T08:37:00,
127,3917,177,Form Fill,2020-12-25T04:32:00,google
128,6542,144,Content Download,2023-02-02T17:20:00,
129,1311,194,Email Open,2020-12-07T08:12:00,
130,4816,104,Content Download,2023-08-11T12:30:00,
131,474,93,Email Click,2024-01-18T15:59:00,
132,1375,35,Email Open,2022-11-07T07:42:00,
133,5807,36,Ad Click,2020-08-08T04:22:00,referral
134,5723,4,Email Open,2021-06-29T19:39:00,
135,5133,99,Unsubscribe,2020-12-31T10:21:00,
136,7973,125,Email Open,2023-09-26T15:43:00,
137,4219,143,Page Visit,2022-08-13T15:32:00,
138,2157,79,Email Click,2021-06-10T16:08:00,
139,104,53,Email Open,2024-03-02T04:40:00,
140,3589,161,Form Fill,2024-09-01T03:59:00,referral
141,6511,72,,2022-03-18T08:55:00,
142,1030,125,Email Open,2023-10-06T09:54:00,
143,3304,199,Form Fill,2024-03-29T03:38:00,facebook
144,537,115,Page Visit,2023-10-26T02:34:00,
145,6570,188,Form Fill,2024-12-29T00:00:00,twitter
146,1168,19,Content Download,2022-02-12T20:30:00,
147,636,4,Email Open,2021-06-08T21:38:00,
148,5841,80,Form Fill,2023-01-17T12:23:00,facebook
149,5563,163,Webinar Attended,2024-08-18T09:17:00,
150,1096,138,Ad Click,2024-08-05T16:27:00,twitter
151,2317,110,Email Click,2024-02-15T09:58:00,
152,7391,119,Email Open,2022-12-12T13:04:00,
153,5636,126,Page Visit,2023-09-07T00:18:00,direct
154,1006,,Ad Click,2020-12-12T09:14:00,twitter
155,3707,10,Unsubscribe,2021-11-04T23:25:00,
156,7494,37,Email Click,2024-12-29T00:00:00,
157,4027,117,Email Open,2022-08-28T23:24:00,
158,6419,29,Ad Click,2024-12-15T00:00:00,linkedin
159,4265,114,Page Visit,2020-09-12T15:03:00,twitter
160,2627,83,Webinar Registration,2021-07-19T07:39:00,
161,4674,121,Email Open,2021-04-09T04:17:00,
162,3073,32,Form Fill,2024-03-31T20:57:00,twitter
163,5316,124,Webinar Attended,2021-11-20T13:35:00,
164,5370,2,Ad Click,2023-09-10T07:01:00,facebook
165,3754,,Unsubscribe,2021-08-19T02:50:00,
166,1223,8,Form Fill,2022-04-08T06:29:00,twitter
167,2020,197,Email Open,2022-10-22T11:45:00,
168,1162,72,Webinar Registration,2022-05-22T18:12:00,
169,6942,168,Email Bounce,2024-03-16T21:07:00,
170,4259,109,Email Click,2023-01-06T14:27:00,
171,5457,128,,2030-03-15T14:30:00,
172,6809,169,Form Fill,2022-12-31T11:16:00,referral
173,4767,171,Form Fill,2021-01-30T06:50:00,referral
174,4500,196,Content Download,2023-02-19T20:46:00,
175,5997,26,Content Download,2020-11-15T20:48:00,
176,3484,39,Form Fill,2024-08-24T19:09:00,facebook
177,6339,,Webinar Registration,2021-04-05T19:38:00,
178,2625,,,2021-07-04T02:40:00,referral
179,3493,98,Page Visit,2023-01-19T14:51:00,google
180,2272,159,Email Open,2022-06-10T12:53:00,
181,2968,64,Unsubscribe,2023-08-19T21:13:00,
182,2488,23,Email Open,2020-09-23T05:14:00,
183,1967,117,Content Download,2022-09-05T01:50:00,
184,8000,130,Form Fill,2024-12-15T00:00:00,facebook
185,5633,112,Content Download,2020-02-20T20:26:00,
186,2069,154,Form Fill,2021-06-28T06:33:00,direct
187,2551,136,Email Open,2021-01-09T01:26:00,
188,540,109,Webinar Attended,2023-01-06T12:38:00,
189,7759,118,Page Visit,2024-01-01T08:46:00,direct
190,6360,117,Webinar Registration,2030-03-15T14:30:00,
191,7886,109,Email Open,2023-01-28T16:42:00,
192,118,29,,2024-12-05T00:00:00,
193,3347,55,Email Open,2023-11-26T19:14:00,
194,679,113,Email Open,2021-11-13T13:53:00,
195,3254,122,Ad Click,2020-09-24T13:18:00,twitter
196,3838,107,Content Download,2022-09-10T02:46:00,
197,1579,127,Form Fill,2023-10-16T08:56:00,google
198,4925,138,Email Click,2024-07-29T16:46:00,
199,1398,144,Content Download,2023-02-13T05:53:00,
200,3641,192,Page Visit,2021-02-18T06:06:00,twitter
201,3673,46,Webinar Registration,2024-07-06T16:14:00,
202,6818,67,Email Bounce,2020-04-03T18:49:00,
203,3099,107,Unsubscribe,2022-09-15T15:18:00,
204,4187,39,Content Download,2024-08-08T20:25:00,
205,1302,41,Ad Click,2024-03-27T15:38:00,google
206,2998,,Content Download,2020-11-05T01:39:00,
207,3190,75,Content Download,2024-09-12T10:08:00,
208,1912,110,Email Open,2024-02-18T19:04:00,
209,501,132,Ad Click,2020-10-14T11:49:00,
210,5329,65,Email Click,2024-09-30T07:25:00,
211,4044,38,Email Bounce,2020-05-03T12:19:00,
212,5980,59,Form Fill,2021-12-09T10:03:00,google
213,5759,136,Content Download,2021-01-06T06:52:00,
214,4498,149,Email Open,2024-06-29T10:12:00,
215,7290,140,Page Visit,2021-06-30T03:48:00,twitter
216,275,11,Form Fill,2023-12-15T14:19:00,twitter
217,7705,45,Webinar Attended,2024-09-20T13:13:00,
218,5488,41,Page Visit,2024-03-20T13:10:00,referral
219,6829,141,Ad Click,2023-01-30T10:12:00,
220,6829,116,Email Open,2024-12-14T00:00:00,
221,5771,36,,2020-08-06T06:48:00,
222,2518,39,Unsubscribe,2024-07-23T14:22:00,
223,7030,61,Page Visit,2024-01-16T18:59:00,
224,1960,193,Email Click,2020-07-18T08:58:00,
225,288,66,Webinar Registration,2022-04-13T16:41:00,
226,2577,47,Unsubscribe,2024-05-05T14:43:00,
227,2104,59,Email Click,2021-12-16T20:56:00,
228,3594,184,Page Visit,2020-09-10T23:50:00,direct
229,896,115,Email Click,2023-09-05T17:24:00,
230,3241,148,Ad Click,2021-10-17T14:50:00,
231,1096,,Email Click,2023-12-07T16:34:00,
232,7046,29,Unsubscribe,2024-12-28T00:00:00,
233,3918,6,Content Download,2023-08-03T22:33:00,
234,2695,52,Form Fill,2024-01-09T12:56:00,facebook
235,3336,147,Webinar Registration,2023-11-24T21:23:00,
236,3942,134,,2021-04-18T14:53:00,
237,199,83,Content Download,2021-08-06T02:29:00,
238,7188,107,Email Bounce,2022-09-07T02:34:00,
239,5766,134,Content Download,2021-04-20T16:09:00,
240,2668,1,Form Fill,2020-07-27T18:44:00,direct
241,7580,116,Email Open,2030-03-15T14:30:00,
242,456,,Webinar Attended,2021-10-11T03:07:00,
243,6161,34,Email Click,2023-04-20T02:21:00,
244,3753,119,Email Bounce,2022-11-12T20:56:00,
245,7929,44,Form Fill,2024-10-23T18:29:00,referral
246,6228,12,Form Fill,2020-09-27T14:45:00,google
247,6017,10,Email Click,2021-10-04T12:07:00,
248,560,54,Email Open,2022-01-13T22:58:00,
249,3351,79,Content Download,2021-04-25T00:22:00,
250,1444,153,Ad Click,2024-07-12T10:09:00,twitter
251,141,139,Email Open,2020-10-03T12:43:00,
252,5851,50,Webinar Registration,2022-06-23T13:16:00,
253,1652,154,Unsubscribe,2021-07-29T18:03:00,
254,4910,66,Unsubscribe,2022-03-30T16:03:00,
255,2580,7,Content Download,2020-10-26T08:59:00,
256,2078,75,Email Open,2024-11-13T05:46:00,
257,3081,52,Email Click,2023-12-30T11:14:00,
258,939,21,Webinar Registration,2023-01-20T21:31:00,
259,2511,41,Email Open,2024-03-09T06:38:00,
260,5960,125,Email Open,2023-09-22T14:15:00,
261,7987,165,Content Download,2020-09-28T10:38:00,
262,6775,149,Ad Click,2024-05-19T00:44:00,twitter
263,4823,155,Email Open,2024-09-10T04:27:00,
264,106,165,Email Open,2020-09-30T23:48:00,
265,2996,132,Email Bounce,2020-10-08T17:51:00,
266,196,48,Email Open,2023-01-19T05:57:00,
267,3513,117,Email Click,2022-09-03T22:40:00,
268,7131,176,Email Open,2021-08-09T07:23:00,
269,832,162,Ad Click,2023-02-13T08:20:00,referral
270,6855,73,Unsubscribe,2022-10-22T15:48:00,
271,3349,95,Form Fill,2022-07-02T12:21:00,google
272,4407,4,Content Download,2021-08-27T20:11:00,
273,2550,187,Email Click,2023-01-05T18:08:00,
274,2429,183,Email Open,2022-09-16T06:47:00,
275,2167,34,Form Fill,2023-05-05T12:03:00,linkedin
276,6558,31,Unsubscribe,2024-03-29T13:07:00,
277,4269,101,Webinar Registration,2021-04-10T20:51:00,
278,3630,197,Email Click,2022-11-03T18:16:00,
279,1319,100,Content Download,2021-10-05T23:51:00,
280,7364,10,Form Fill,2021-10-14T10:33:00,facebook
281,3944,72,Form Fill,2022-06-08T22:45:00,google
282,7578,115,Email Bounce,2023-12-07T05:51:00,
283,7920,,Form Fill,2023-02-14T18:38:00,
284,1906,136,Webinar Registration,2021-01-17T21:12:00,
285,4464,155,Form Fill,2024-10-01T23:23:00,
286,3536,2,Webinar Attended,2023-08-17T03:33:00,
287,5164,66,Form Fill,2022-04-30T12:33:00,twitter
288,7628,86,Ad Click,2020-12-02T15:02:00,referral
289,353,37,Webinar Attended,2024-12-30T17:02:00,
290,510,178,Content Download,2024-01-26T00:46:00,
291,5555,52,Email Open,2023-12-25T22:06:00,
292,6242,147,Content Download,2023-09-29T15:43:00,
293,3040,150,Form Fill,2020-10-15T15:10:00,linkedin
294,2511,95,Email Open,2022-07-18T04:29:00,
295,7616,200,Email Open,2024-08-16T03:42:00,
296,639,140,Content Download,2021-07-04T08:14:00,
297,6146,157,Page Visit,2021-09-15T17:59:00,direct
298,1665,126,Email Click,2023-11-02T05:10:00,
299,1791,168,Form Fill,2024-01-25T19:59:00,referral
300,1224,174,Email Bounce,2021-04-08T01:24:00,
301,2470,138,Email Click,2024-08-22T09:10:00,
302,1253,39,Content Download,2024-08-11T17:27:00,
303,6686,94,Email Click,2024-12-11T00:00:00,
304,6219,80,Email Click,2023-01-16T05:51:00,
305,6109,111,Form Fill,2020-05-27T22:01:00,direct
306,658,14,Email Open,2020-06-28T22:03:00,
307,2099,167,Email Open,2020-10-11T09:35:00,
308,4744,90,Content Download,2022-01-06T04:05:00,
309,1370,164,Email Click,2023-07-20T05:00:00,
310,4,96,Webinar Attended,2021-11-01T04:55:00,
311,4729,79,,2021-06-15T22:04:00,
312,2045,146,Content Download,2023-05-30T03:41:00,
313,7430,81,Email Open,2020-04-29T12:42:00,
314,6747,42,Webinar Registration,2020-05-09T13:35:00,
315,2235,153,Unsubscribe,2024-08-25T16:40:00,
316,6413,159,Email Bounce,2022-05-19T03:45:00,
317,4541,37,Email Open,2024-12-21T16:29:00,
318,4034,171,Email Bounce,2020-12-15T07:12:00,
319,5776,106,Email Click,2023-08-22T05:13:00,
320,5060,29,Email Click,2024-12-01T00:00:00,
321,4479,82,Email Open,2021-11-09T05:24:00,
322,1209,,Form Fill,2024-05-10T13:54:00,
323,2365,10,Email Open,2021-11-21T18:49:00,
324,5932,122,Ad Click,2020-09-04T02:38:00,
325,2665,190,Ad Click,2024-10-24T12:32:00,facebook
326,3649,192,Email Open,2021-02-20T07:35:00,
327,7828,185,Webinar Registration,2022-05-04T02:37:00,
328,4440,22,Email Open,2021-09-16T13:17:00,
329,5522,,Form Fill,2022-02-13T11:29:00,facebook
330,7580,7,Content Download,2020-10-18T08:30:00,
331,2748,50,Webinar Attended,2022-07-14T20:44:00,
332,287,169,Webinar Registration,2022-12-25T05:29:00,
333,2449,158,Content Download,2020-07-30T17:34:00,
334,7755,187,Email Bounce,2023-03-07T18:22:00,
335,4844,110,Content Download,2024-02-24T09:49:00,
336,2935,135,Webinar Registration,2024-06-18T21:29:00,
337,426,41,Email Open,2024-03-29T13:23:00,
338,2257,176,Content Download,2021-08-08T20:47:00,
339,3396,156,Form Fill,2020-08-09T14:40:00,facebook
340,5664,55,Email Open,2023-12-05T06:13:00,
341,6994,173,Email Open,2023-01-11T05:29:00,
342,5966,19,Webinar Attended,2030-03-15T14:30:00,
343,5239,9,Page Visit,2024-01-01T22:52:00,twitter
344,5922,40,Email Open,2020-05-31T16:56:00,
345,7204,68,Email Click,2023-07-31T11:56:00,
346,7473,49,Webinar Registration,2024-10-05T20:12:00,
347,4564,165,Webinar Attended,2020-10-11T05:50:00,
348,2234,30,Page Visit,2020-02-20T12:42:00,direct
349,4898,185,Ad Click,2022-05-11T07:25:00,google
350,6373,51,Webinar Attended,2020-07-18T07:32:00,
351,6523,146,Email Bounce,2023-05-11T13:49:00,
352,3429,22,Content Download,2021-10-01T14:57:00,
353,6983,19,Ad Click,2022-03-11T05:34:00,google
354,6665,73,Ad Click,2022-11-07T18:56:00,twitter
355,7537,152,Email Open,2024-08-30T11:58:00,
356,4162,56,Form Fill,2020-07-17T22:59:00,linkedin
357,6391,198,Email Open,2023-12-23T06:34:00,
358,3857,66,Webinar Registration,2022-04-27T13:20:00,
359,5169,16,Email Open,2020-05-24T00:09:00,
360,4820,115,Email Open,2023-11-13T17:30:00,
361,6923,48,Unsubscribe,2023-01-18T15:41:00,
362,5542,62,Form Fill,2022-01-17T19:47:00,twitter
363,643,140,Email Open,2021-06-30T23:24:00,
364,1603,,Page Visit,2023-01-17T07:24:00,
365,5906,133,Content Download,2022-05-24T14:11:00,
366,4167,179,Content Download,2022-01-16T07:13:00,
367,3364,1,Email Open,2020-05-14T17:22:00,
368,4466,17,Form Fill,2021-08-02T03:00:00,direct
369,6690,26,Email Open,2020-11-23T05:33:00,
370,9,126,Webinar Registration,2023-09-01T15:09:00,
371,570,93,Webinar Registration,2023-12-20T17:25:00,
372,1813,27,Email Click,2022-01-15T17:31:00,
373,3353,143,Form Fill,2022-08-31T10:43:00,direct
374,4816,73,Content Download,2022-11-28T10:55:00,
375,493,158,Email Open,2020-08-09T23:34:00,
376,1047,124,Webinar Registration,2021-11-16T17:06:00,
377,5298,121,Ad Click,2021-03-27T13:19:00,linkedin
378,5291,83,Webinar Attended,2021-06-25T23:40:00,
379,5592,113,Email Open,2021-11-17T17:03:00,
380,5253,37,Email Open,2024-12-24T08:46:00,
381,2403,,Email Click,2022-04-21T11:44:00,
382,7862,122,Webinar Attended,2020-07-29T00:05:00,
383,7315,197,Form Fill,2022-10-12T18:06:00,google
384,7343,199,Webinar Registration,2024-05-06T18:46:00,
385,6626,103,Email Open,2022-12-25T20:54:00,
386,2269,53,Page Visit,2024-01-15T07:55:00,linkedin
387,5211,179,Form Fill,2022-01-22T13:41:00,twitter
388,2409,79,Form Fill,2021-04-02T14:20:00,facebook
389,4049,105,Content Download,2020-03-13T17:11:00,
390,3118,112,Form Fill,2020-01-29T06:38:00,
391,3230,69,Content Download,2021-07-27T17:17:00,
392,283,81,Form Fill,2020-04-30T02:26:00,facebook
393,5823,32,Email Open,2024-06-21T10:49:00,
394,2413,32,Content Download,2030-03-15T14:30:00,
395,6327,68,Page Visit,2023-06-24T20:53:00,facebook
396,4638,100,Unsubscribe,2021-10-05T11:21:00,
397,844,106,Email Open,2030-03-15T14:30:00,
398,5254,106,Unsubscribe,2023-07-05T18:23:00,
399,5590,114,Content Download,2020-08-21T08:20:00,
400,6077,136,Page Visit,2021-01-19T08:03:00,twitter
401,404,65,Form Fill,2024-11-10T10:34:00,referral
402,5660,12,Page Visit,2020-09-29T11:28:00,twitter
403,6602,103,Ad Click,2022-12-25T01:54:00,
404,7874,153,Ad Click,2024-08-23T14:28:00,
405,1042,112,Webinar Registration,2020-02-03T19:14:00,
406,7290,134,Page Visit,2021-05-01T18:39:00,google
407,7481,136,Content Download,2021-01-17T14:42:00,
408,2515,137,Unsubscribe,2020-10-20T22:47:00,
409,895,128,Email Bounce,2020-09-09T12:52:00,
410,6991,6,Form Fill,2023-07-07T16:06:00,linkedin
411,1355,94,Email Open,2024-12-25T00:00:00,
412,1644,12,Form Fill,2020-09-25T23:59:00,direct
413,6225,167,Content Download,2020-08-18T15:50:00,
414,4209,198,Form Fill,2023-12-29T10:53:00,twitter
415,308,181,Ad Click,2020-03-22T14:34:00,twitter
416,2268,191,Content Download,2023-12-19T04:22:00,
417,5133,,Webinar Attended,2024-09-15T22:15:00,
418,4495,57,Page Visit,2023-10-04T19:53:00,referral
419,2705,183,Ad Click,2022-09-14T17:42:00,linkedin
420,6670,41,Form Fill,2024-03-23T14:10:00,
421,993,181,Page Visit,2020-03-01T18:56:00,linkedin
422,3310,194,Webinar Registration,2020-11-21T02:13:00,
423,1408,135,Email Open,2024-06-05T23:32:00,
424,449,74,Webinar Attended,2024-08-10T05:20:00,
425,5385,27,Page Visit,2022-01-04T11:59:00,referral
426,6714,149,Email Click,2024-03-23T19:51:00,
427,6888,144,Form Fill,2022-12-17T19:54:00,linkedin
428,2604,121,Form Fill,2021-03-31T08:59:00,direct
429,1901,90,Email Click,2021-12-20T15:07:00,
430,5603,115,Form Fill,2023-10-28T01:46:00,referral
431,796,100,Email Open,2021-08-29T09:16:00,
432,2453,11,Content Download,2024-01-01T13:01:00,
433,6004,94,Form Fill,2024-12-07T00:00:00,facebook
434,7824,32,Email Click,2024-05-23T20:19:00,
435,5009,172,Content Download,2022-07-31T05:22:00,
436,6390,154,,2021-06-08T08:29:00,
437,5771,149,Form Fill,2024-03-23T02:48:00,
438,5934,109,Ad Click,2022-12-27T06:24:00,facebook
439,4616,37,Email Click,2024-12-05T00:00:00,
440,2927,130,Ad Click,2024-12-18T00:00:00,linkedin
441,2392,,Content Download,2023-05-04T06:39:00,
442,1705,143,Email Bounce,2022-08-18T20:25:00,
443,6126,17,Ad Click,2021-07-23T04:27:00,twitter
444,3431,4,Page Visit,2021-09-14T10:52:00,twitter
445,6622,164,Email Click,2023-07-11T04:43:00,
446,6171,133,Email Click,2022-04-02T01:50:00,
447,296,169,Content Download,2023-01-13T05:47:00,
448,1142,170,Ad Click,2020-02-19T01:28:00,direct
449,6446,161,Page Visit,2024-09-01T14:21:00,facebook
450,1389,48,Content Download,2023-01-18T21:46:00,
451,7846,86,Email Click,2021-01-01T13:17:00,
452,7305,195,Form Fill,2022-01-20T07:00:00,google
453,2891,165,Ad Click,2020-09-26T22:41:00,linkedin
454,3914,198,Email Open,2023-12-18T08:50:00,
455,594,36,Email Open,2020-08-10T11:20:00,
456,4943,24,,2021-09-21T08:22:00,
457,4487,70,Email Open,2022-10-08T07:36:00,
458,5263,104,Content Download,2023-06-26T10:55:00,
459,1645,32,Email Click,2024-05-20T05:55:00,
460,4737,127,Email Bounce,2023-12-06T13:09:00,
461,5376,154,Email Open,2021-07-26T06:29:00,
462,1283,143,Unsubscribe,2022-06-09T06:09:00,
463,2366,,Form Fill,2023-01-03T21:20:00,referral
464,6257,164,Page Visit,2023-07-10T18:45:00,linkedin
465,2658,25,Content Download,2022-10-25T04:10:00,
466,4864,78,Form Fill,2023-09-06T00:14:00,
467,5438,152,Content Download,2024-08-14T14:47:00,
468,1641,58,Email Open,2023-06-27T09:44:00,
469,4861,134,Unsubscribe,2021-05-07T04:23:00,
470,1133,138,Webinar Attended,2024-09-05T06:54:00,
471,1621,49,Ad Click,2024-09-21T14:00:00,direct
472,7676,136,Webinar Attended,2021-01-03T12:12:00,
473,5680,187,Email Open,2023-02-13T10:13:00,
474,1895,,Email Open,2020-11-12T04:01:00,
475,3156,24,Content Download,2021-09-18T12:37:00,
476,3401,35,Email Open,2023-02-09T17:30:00,
477,2181,39,Email Open,2024-08-28T12:41:00,
478,5028,4,Webinar Attended,2021-08-10T22:42:00,
479,2301,,Email Bounce,2022-08-09T10:28:00,
480,7825,136,Webinar Attended,2021-01-08T22:43:00,
481,1031,114,Content Download,2020-09-18T15:19:00,
482,3421,51,Webinar Registration,2020-07-23T18:36:00,
483,199,125,Ad Click,2023-09-30T18:00:00,referral
484,2892,67,Content Download,2020-04-25T06:20:00,
485,5003,125,Email Open,2023-09-25T13:18:00,
486,4365,21,Unsubscribe,2030-03-15T14:30:00,
487,7347,151,Webinar Registration,2024-07-18T18:40:00,
488,2317,200,Email Bounce,2024-06-05T03:02:00,
489,7035,58,Content Download,2023-05-29T13:05:00,
490,7618,115,Form Fill,2023-12-11T03:06:00,
491,491,15,Email Open,2020-10-26T21:42:00,
492,363,186,Email Open,2024-11-01T18:17:00,
493,7960,47,Email Open,2024-05-23T18:12:00,
494,1106,175,Email Open,2021-03-17T02:37:00,
495,4243,166,Unsubscribe,2023-12-26T14:57:00,
496,1276,73,Email Open,2030-03-15T14:30:00,
497,3708,7,Webinar Attended,2020-10-26T21:57:00,
498,1162,154,Page Visit,2021-06-27T15:08:00,linkedin
499,7012,38,,2020-04-14T15:10:00,
500,3412,67,Content Download,2020-04-14T22:53:00,
501,886,118,,2024-01-08T04:45:00,
502,7753,,Webinar Registration,2030-03-15T14:30:00,
503,3807,,Content Download,2024-01-29T22:18:00,
504,5359,169,Email Open,2023-01-06T23:47:00,
505,4950,138,Webinar Attended,2024-08-28T19:29:00,
506,4305,128,Email Bounce,2020-08-24T03:31:00,
507,4664,193,Email Click,2020-07-05T20:54:00,
508,5656,180,Email Click,2024-11-20T11:33:00,
509,5019,148,,2021-09-04T16:04:00,
